Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Devin Booker,3,21:05,102.2,26,98,3,2,0,11,23,47.8,0,5,0.0,4,4,1,Josh Hart
Anthony Edwards,3,18:21,91.5,25,94,4,3,0,10,19,52.6,4,6,66.7,1,3,2,Josh Hart
Aaron Gordon,4,16:38,81.0,19,96,1,3,0,8,12,66.7,2,4,50.0,1,2,1,Josh Hart
Keldon Johnson,3,15:05,77.5,17,74,3,3,0,7,15,46.7,2,6,33.3,1,2,1,Josh Hart
Jamal Murray,4,12:30,66.3,18,76,11,2,0,7,10,70.0,2,4,50.0,2,3,1,Josh Hart
Luka Doncic,3,11:39,64.5,16,80,8,2,0,5,11,45.5,0,2,0.0,6,7,4,Josh Hart
Jimmy Butler,2,10:36,47.6,6,35,2,1,0,2,12,16.7,0,2,0.0,2,2,1,Josh Hart
Jabari Smith Jr.,2,8:44,45.9,5,35,0,1,0,2,8,25.0,1,5,20.0,0,0,0,Josh Hart
Luguentz Dort,2,9:10,44.9,9,46,1,1,0,4,6,66.7,1,3,33.3,0,0,0,Josh Hart
LeBron James,2,8:55,44.7,13,44,2,1,0,6,11,54.5,1,4,25.0,0,0,0,Josh Hart
Desmond Bane,2,7:60,42.9,7,44,2,3,1,2,7,28.6,1,3,33.3,2,2,0,Josh Hart
Evan Mobley,2,8:34,41.3,6,41,2,1,0,3,5,60.0,0,0,0.0,0,0,0,Josh Hart
Michael Porter Jr.,3,6:35,38.7,19,48,0,0,0,7,12,58.3,4,7,57.1,1,1,1,Josh Hart
P.J. Washington,2,6:54,34.7,7,31,1,0,0,3,6,50.0,1,2,50.0,0,0,0,Josh Hart
Buddy Hield,2,5:57,33.6,6,33,0,0,0,1,5,20.0,1,3,33.3,3,3,1,Josh Hart
Kelly Oubre Jr.,2,7:09,32.4,3,22,2,1,0,1,9,11.1,1,8,12.5,0,0,0,Josh Hart
Spencer Dinwiddie,4,5:60,31.5,8,34,0,0,0,2,5,40.0,1,3,33.3,3,3,2,Josh Hart
De'Andre Hunter,1,7:44,30.4,2,38,0,0,0,1,5,20.0,0,1,0.0,0,0,0,Josh Hart
Jordan Clarkson,2,5:46,30.1,4,41,0,1,0,2,9,22.2,0,2,0.0,0,0,0,Josh Hart
Kevin Durant,2,6:19,29.9,16,34,3,1,0,7,9,77.8,1,2,50.0,1,1,1,Josh Hart
Giannis Antetokounmpo,2,5:29,29.9,12,36,3,1,0,5,8,62.5,0,0,0.0,2,2,1,Josh Hart
Mikal Bridges,3,5:53,28.6,11,43,1,0,0,5,6,83.3,1,1,100.0,0,0,0,Josh Hart
Harrison Barnes,1,5:43,27.6,6,37,1,0,0,3,5,60.0,0,1,0.0,0,0,0,Josh Hart
Christian Wood,3,5:42,26.5,8,32,1,2,1,4,10,40.0,0,3,0.0,0,0,0,Josh Hart
Dillon Brooks,2,5:52,26.5,5,28,0,0,0,2,4,50.0,1,2,50.0,0,0,0,Josh Hart
RJ Barrett,1,5:00,26.4,5,28,1,0,0,2,6,33.3,0,2,0.0,1,2,1,Josh Hart
Zach LaVine,1,4:58,26.3,12,31,3,1,0,5,8,62.5,2,4,50.0,0,0,0,Josh Hart
Pascal Siakam,1,5:43,25.9,6,22,1,0,0,1,3,33.3,0,0,0.0,4,4,2,Josh Hart
Donovan Mitchell,2,4:37,25.2,15,35,0,1,0,4,8,50.0,2,4,50.0,5,5,2,Josh Hart
Paolo Banchero,1,5:34,24.7,11,26,0,1,0,4,7,57.1,1,2,50.0,2,4,1,Josh Hart
D'Angelo Russell,3,3:54,24.6,5,21,0,1,0,2,4,50.0,1,3,33.3,0,0,0,Josh Hart
Ben Simmons,2,4:40,24.3,2,30,2,0,0,0,0,0.0,0,0,0.0,2,2,0,Josh Hart
Shai Gilgeous-Alexander,2,3:38,23.9,8,24,1,2,0,4,9,44.4,0,0,0.0,0,0,0,Josh Hart
