Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Talen Horton-Tucker,1,3:25,17.5,9,24,3,0,0,4,6,66.7,0,0,0.0,1,1,1,Josh Minott
Vlatko Cancar,2,3:36,15.4,2,14,0,0,0,1,4,25.0,0,3,0.0,0,0,0,Josh Minott
Peyton Watson,2,1:54,11.2,0,13,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Josh Minott
Rudy Gay,1,1:49,8.1,0,6,1,0,0,0,4,0.0,0,0,0.0,0,0,0,Josh Minott
Jordan Clarkson,1,1:20,6.9,0,5,1,0,0,0,2,0.0,0,1,0.0,0,0,0,Josh Minott
Amir Coffey,2,0:58,6.8,0,3,0,0,1,0,1,0.0,0,0,0.0,0,0,0,Josh Minott
Lauri Markkanen,1,1:13,6.3,0,2,1,0,1,0,2,0.0,0,1,0.0,0,0,0,Josh Minott
Ish Smith,2,0:57,6.2,0,6,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Josh Minott
Jabari Walker,1,1:13,6.2,3,3,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Josh Minott
Ochai Agbaji,1,1:00,5.9,0,11,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Josh Minott
Davon Reed,2,1:08,5.7,0,8,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Josh Minott
Isaiah Todd,1,1:33,5.5,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Josh Minott
Walker Kessler,1,0:40,4.1,2,2,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Josh Minott
Simone Fontecchio,1,0:41,3.9,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Josh Minott
Shaedon Sharpe,1,0:10,2.7,2,2,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Josh Minott
Udoka Azubuike,1,0:24,2.3,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Josh Minott
Patrick Williams,1,0:22,2.0,0,0,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Josh Minott
Justin Jackson,1,0:24,1.8,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Josh Minott
Brandon Boston Jr.,2,0:36,1.8,3,3,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Josh Minott
Collin Sexton,1,0:11,1.5,1,3,1,0,0,0,0,0.0,0,0,0.0,1,2,1,Josh Minott
Jack White,1,0:08,1.4,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Josh Minott
Devon Dotson,1,0:23,1.4,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Josh Minott
Jeff Green,1,0:10,1.4,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Josh Minott
Leandro Bolmaro,1,0:10,1.3,0,2,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Josh Minott
Bruce Brown,1,0:12,1.3,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Josh Minott
Aaron Gordon,1,0:23,1.3,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Josh Minott
Ayo Dosunmu,1,0:03,1.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Josh Minott
Sam Hauser,1,0:02,1.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Josh Minott
Keon Johnson,1,0:19,1.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Josh Minott
Kemba Walker,1,0:11,1.0,3,3,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Josh Minott
