Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Zion Williamson,3,6:26,31.5,13,39,2,3,0,4,5,80.0,0,0,0.0,5,7,2,Josh Okogie
Dejounte Murray,2,6:34,30.3,8,31,0,3,1,3,4,75.0,1,1,100.0,1,2,1,Josh Okogie
Desmond Bane,4,5:27,28.8,6,22,0,3,0,3,5,60.0,0,1,0.0,0,0,0,Josh Okogie
Ja Morant,4,4:08,26.6,9,36,2,1,0,4,9,44.4,1,3,33.3,0,0,0,Josh Okogie
Spencer Dinwiddie,3,4:19,24.4,0,15,2,0,0,0,4,0.0,0,1,0.0,0,0,0,Josh Okogie
Jordan Poole,2,3:58,23.5,11,22,1,2,0,3,3,100.0,3,3,100.0,2,2,0,Josh Okogie
Stephen Curry,2,3:36,22.2,10,15,0,1,0,3,11,27.3,2,8,25.0,2,3,1,Josh Okogie
Bennedict Mathurin,1,4:13,21.5,6,15,0,0,2,1,3,33.3,0,0,0.0,4,4,2,Josh Okogie
Tyus Jones,4,3:01,18.6,2,21,4,0,0,1,4,25.0,0,1,0.0,0,0,0,Josh Okogie
Trae Young,2,3:12,17.1,7,17,5,4,0,2,3,66.7,1,2,50.0,2,2,1,Josh Okogie
Jamal Murray,2,4:04,17.1,3,10,0,0,0,1,3,33.3,1,3,33.3,0,0,0,Josh Okogie
T.J. McConnell,1,2:46,15.5,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Josh Okogie
Marcus Morris Sr.,1,3:16,15.0,2,14,1,2,0,1,2,50.0,0,1,0.0,0,0,0,Josh Okogie
Bruce Brown,2,2:44,14.4,2,13,0,1,0,1,2,50.0,0,1,0.0,0,0,0,Josh Okogie
CJ McCollum,3,2:44,13.7,2,14,2,0,0,1,5,20.0,0,2,0.0,0,0,0,Josh Okogie
Doug McDermott,1,2:38,13.6,2,6,0,1,0,1,2,50.0,0,0,0.0,0,0,0,Josh Okogie
Bones Hyland,2,2:18,12.5,2,18,1,1,0,1,4,25.0,0,1,0.0,0,0,0,Josh Okogie
Devin Vassell,1,2:09,12.0,0,3,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Josh Okogie
Aaron Gordon,2,2:55,11.9,3,14,0,0,0,1,1,100.0,0,0,0.0,1,2,1,Josh Okogie
Bogdan Bogdanovic,2,1:55,11.8,3,15,1,0,0,1,1,100.0,1,1,100.0,0,0,0,Josh Okogie
Trendon Watford,1,2:59,11.8,4,11,1,0,0,0,0,0.0,0,0,0.0,4,4,2,Josh Okogie
Brandon Clarke,4,2:04,11.7,6,18,1,0,0,3,3,100.0,0,0,0.0,0,0,0,Josh Okogie
John Konchar,3,1:53,11.7,2,19,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Josh Okogie
Jaylen Nowell,1,1:53,11.6,2,11,2,1,0,1,1,100.0,0,0,0.0,0,0,0,Josh Okogie
Luka Doncic,1,2:42,11.4,7,10,1,1,0,3,6,50.0,1,3,33.3,0,0,0,Josh Okogie
Ziaire Williams,4,2:10,11.2,0,9,0,1,0,0,1,0.0,0,0,0.0,0,0,0,Josh Okogie
Daishen Nix,1,1:60,11.1,2,11,0,2,0,0,1,0.0,0,1,0.0,2,2,0,Josh Okogie
Josh Green,3,2:32,11.0,2,20,0,0,0,0,0,0.0,0,0,0.0,2,2,1,Josh Okogie
Dennis Smith Jr.,1,2:30,10.9,2,9,1,0,0,1,4,25.0,0,0,0.0,0,0,0,Josh Okogie
Kyle Kuzma,1,1:48,10.2,0,12,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Josh Okogie
Aaron Nesmith,1,1:30,9.9,0,13,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Josh Okogie
Alec Burks,1,2:03,9.8,2,6,0,1,1,0,1,0.0,0,0,0.0,2,2,0,Josh Okogie
Anthony Lamb,2,1:28,9.5,3,13,1,1,0,1,3,33.3,1,1,100.0,0,0,0,Josh Okogie
Buddy Hield,1,1:46,9.4,7,15,0,0,0,3,5,60.0,1,3,33.3,0,0,0,Josh Okogie
Jalen Green,1,2:14,9.3,4,10,1,0,1,1,2,50.0,0,1,0.0,2,2,0,Josh Okogie
Anfernee Simons,1,1:47,9.3,2,9,1,1,0,1,3,33.3,0,2,0.0,0,0,0,Josh Okogie
Pascal Siakam,2,1:34,9.0,5,8,1,1,0,2,2,100.0,1,1,100.0,0,0,0,Josh Okogie
Jayson Tatum,1,1:37,8.6,5,9,0,1,0,2,5,40.0,1,2,50.0,0,0,0,Josh Okogie
Devonte' Graham,4,1:36,8.6,4,6,3,0,0,1,1,100.0,0,0,0.0,2,2,1,Josh Okogie
Malaki Branham,2,1:32,8.5,2,4,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Josh Okogie
Dillon Brooks,3,1:37,8.5,2,6,0,1,0,1,2,50.0,0,0,0.0,0,0,0,Josh Okogie
Kendrick Nunn,2,1:39,8.4,5,5,0,2,0,2,4,50.0,1,2,50.0,0,0,0,Josh Okogie
Keldon Johnson,2,1:30,8.2,3,6,0,0,0,1,3,33.3,1,1,100.0,0,0,0,Josh Okogie
D'Angelo Russell,2,1:23,8.1,0,8,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Josh Okogie
Larry Nance Jr.,3,1:39,8.0,2,11,1,0,0,0,1,0.0,0,0,0.0,2,2,1,Josh Okogie
Nassir Little,3,1:32,7.9,2,6,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Josh Okogie
O.G. Anunoby,1,1:51,7.7,0,12,2,0,0,0,1,0.0,0,1,0.0,0,0,0,Josh Okogie
Keita Bates-Diop,2,1:08,7.7,0,4,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Josh Okogie
Jimmy Butler,1,1:37,7.7,3,9,1,0,0,1,1,100.0,0,0,0.0,1,1,1,Josh Okogie
Taurean Prince,2,1:52,7.6,2,11,0,0,1,1,2,50.0,0,0,0.0,0,0,0,Josh Okogie
