Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Malik Monk,3,7:15,38.6,2,51,5,1,0,1,3,33.3,0,2,0.0,0,0,0,Josh Richardson
Reggie Jackson,3,7:02,35.8,2,41,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Josh Richardson
Anfernee Simons,3,7:14,35.2,9,43,1,1,0,3,4,75.0,3,4,75.0,0,0,0,Josh Richardson
Damian Lillard,3,6:60,35.1,15,47,4,1,0,5,11,45.5,4,7,57.1,1,2,0,Josh Richardson
Desmond Bane,3,7:12,30.7,3,26,1,2,0,1,2,50.0,1,1,100.0,0,0,0,Josh Richardson
Jaden McDaniels,2,5:43,29.8,5,48,1,0,0,2,3,66.7,1,2,50.0,0,0,0,Josh Richardson
De'Aaron Fox,3,6:00,29.7,14,42,3,0,0,7,10,70.0,0,0,0.0,0,0,0,Josh Richardson
Gary Trent Jr.,2,4:57,27.5,7,38,0,0,0,3,5,60.0,1,2,50.0,0,0,0,Josh Richardson
Bones Hyland,2,5:10,26.6,9,22,1,3,0,3,4,75.0,3,4,75.0,0,0,0,Josh Richardson
Russell Westbrook,2,4:50,26.1,8,28,2,2,0,4,5,80.0,0,0,0.0,0,0,0,Josh Richardson
Zach LaVine,1,4:60,25.5,0,18,1,1,0,0,1,0.0,0,1,0.0,0,0,0,Josh Richardson
Coby White,2,3:55,24.9,2,33,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Josh Richardson
Immanuel Quickley,2,4:58,24.2,4,32,4,1,0,2,4,50.0,0,2,0.0,0,0,0,Josh Richardson
Harrison Barnes,3,4:29,24.1,9,29,1,0,0,3,4,75.0,3,4,75.0,0,0,0,Josh Richardson
Tyus Jones,3,4:25,23.4,10,31,0,1,0,4,7,57.1,2,2,100.0,0,0,0,Josh Richardson
Kevin Huerter,3,4:29,22.7,5,27,0,0,0,2,5,40.0,1,3,33.3,0,0,0,Josh Richardson
James Harden,2,4:02,20.2,6,16,1,1,0,3,4,75.0,0,0,0.0,0,0,0,Josh Richardson
Jalen Brunson,1,4:05,20.1,7,31,1,0,0,3,5,60.0,1,2,50.0,0,0,0,Josh Richardson
Jalen Green,1,3:38,19.9,3,18,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Josh Richardson
Davion Mitchell,3,3:40,19.8,0,22,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Josh Richardson
John Wall,2,3:07,19.8,2,18,6,0,0,0,1,0.0,0,0,0.0,2,4,2,Josh Richardson
Pascal Siakam,2,3:29,19.4,4,14,1,0,1,2,5,40.0,0,0,0.0,0,0,0,Josh Richardson
Jordan Poole,2,3:18,18.5,11,22,1,1,0,4,6,66.7,2,3,66.7,1,1,1,Josh Richardson
Tyrese Maxey,2,3:38,17.6,1,20,2,2,0,0,1,0.0,0,1,0.0,1,2,1,Josh Richardson
Ayo Dosunmu,2,3:27,17.5,0,21,1,1,0,0,0,0.0,0,0,0.0,0,0,0,Josh Richardson
Jamal Murray,2,2:57,17.5,2,20,4,0,0,1,1,100.0,0,0,0.0,0,0,0,Josh Richardson
Scottie Barnes,2,2:49,17.2,3,22,2,1,0,1,3,33.3,1,2,50.0,0,0,0,Josh Richardson
Alex Caruso,1,2:36,17.2,0,17,2,1,0,0,1,0.0,0,0,0.0,0,0,0,Josh Richardson
Stephen Curry,2,3:40,17.2,3,27,1,0,0,1,3,33.3,1,2,50.0,0,0,0,Josh Richardson
Dennis Schroder,2,2:56,16.9,2,19,1,1,0,1,3,33.3,0,2,0.0,0,0,0,Josh Richardson
John Konchar,3,3:21,16.7,0,18,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Josh Richardson
Cam Thomas,2,3:21,16.2,4,14,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Josh Richardson
Josh Hart,3,3:05,16.0,2,25,1,0,0,1,2,50.0,0,1,0.0,0,0,0,Josh Richardson
Bruce Brown,2,2:55,16.0,3,16,3,0,0,1,2,50.0,0,0,0.0,1,1,1,Josh Richardson
T.J. Warren,2,3:19,15.9,4,11,0,0,0,2,4,50.0,0,0,0.0,0,0,0,Josh Richardson
Anthony Edwards,2,2:37,15.5,6,18,1,1,0,3,5,60.0,0,1,0.0,0,0,0,Josh Richardson
George Hill,1,3:49,15.3,0,8,1,0,0,0,2,0.0,0,2,0.0,0,0,0,Josh Richardson
Ziaire Williams,2,2:30,14.8,2,14,0,1,0,1,3,33.3,0,0,0.0,0,0,0,Josh Richardson
Paul George,3,3:11,14.4,13,33,4,1,0,6,7,85.7,1,2,50.0,0,0,0,Josh Richardson
Moses Moody,2,2:28,14.0,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Josh Richardson
Bennedict Mathurin,1,2:38,14.0,9,24,0,0,0,3,4,75.0,2,3,66.7,1,2,1,Josh Richardson
Buddy Hield,1,2:07,13.6,0,13,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Josh Richardson
Donovan Mitchell,1,2:55,13.6,5,14,0,0,0,1,6,16.7,1,4,25.0,2,2,1,Josh Richardson
Dillon Brooks,3,2:26,13.4,1,14,0,1,0,0,1,0.0,0,1,0.0,1,2,1,Josh Richardson
Norman Powell,2,3:01,13.3,0,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Josh Richardson
