Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
De'Aaron Fox,3,3:36,22.0,18,38,4,1,1,7,10,70.0,1,2,50.0,3,5,3,Juan Toscano Anderson
Luka Doncic,1,3:47,21.8,8,26,2,0,0,4,6,66.7,0,2,0.0,0,1,1,Juan Toscano Anderson
James Harden,1,4:50,21.5,5,23,1,0,0,2,3,66.7,1,2,50.0,0,0,0,Juan Toscano Anderson
Aaron Gordon,2,4:23,19.5,2,26,0,2,0,1,5,20.0,0,2,0.0,0,0,0,Juan Toscano Anderson
Trae Young,2,2:41,19.0,9,18,2,1,0,4,5,80.0,0,1,0.0,1,3,1,Juan Toscano Anderson
Jerami Grant,2,4:03,17.4,7,15,0,0,0,3,4,75.0,1,1,100.0,0,0,0,Juan Toscano Anderson
Bogdan Bogdanovic,2,3:13,17.1,0,14,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Juan Toscano Anderson
Jimmy Butler,2,2:47,14.9,2,20,2,0,0,1,3,33.3,0,1,0.0,0,0,0,Juan Toscano Anderson
Keegan Murray,3,2:28,14.8,3,22,0,1,0,1,1,100.0,1,1,100.0,0,0,0,Juan Toscano Anderson
Pascal Siakam,1,2:38,14.1,6,16,1,0,0,3,5,60.0,0,1,0.0,0,0,0,Juan Toscano Anderson
Caleb Martin,2,2:42,12.8,0,17,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Juan Toscano Anderson
Max Strus,2,2:37,12.2,3,16,1,0,0,0,1,0.0,0,1,0.0,3,3,1,Juan Toscano Anderson
John Collins,2,1:51,12.0,0,12,1,0,1,0,4,0.0,0,2,0.0,0,0,0,Juan Toscano Anderson
De'Andre Hunter,1,1:37,11.8,3,13,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Juan Toscano Anderson
Robert Covington,2,2:15,9.9,0,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Juan Toscano Anderson
Rudy Gay,2,1:22,9.8,0,13,2,0,0,0,1,0.0,0,0,0.0,0,0,0,Juan Toscano Anderson
Simone Fontecchio,2,1:44,9.7,0,4,0,0,0,0,3,0.0,0,3,0.0,0,0,0,Juan Toscano Anderson
Kawhi Leonard,2,2:38,9.7,4,6,0,0,0,2,6,33.3,0,3,0.0,0,0,0,Juan Toscano Anderson
Kevin Love,1,2:23,9.4,6,13,0,0,0,2,4,50.0,2,4,50.0,0,0,0,Juan Toscano Anderson
Paul George,2,1:43,8.8,1,8,1,0,0,0,1,0.0,0,0,0.0,1,2,0,Juan Toscano Anderson
Harrison Barnes,2,1:32,8.8,4,16,1,0,0,1,2,50.0,0,1,0.0,2,2,1,Juan Toscano Anderson
Ivica Zubac,2,1:50,8.5,1,8,0,0,0,0,0,0.0,0,0,0.0,1,2,1,Juan Toscano Anderson
Chimezie Metu,2,1:48,8.3,2,4,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Juan Toscano Anderson
Bam Adebayo,2,1:41,8.2,3,12,0,0,1,1,2,50.0,0,0,0.0,1,2,1,Juan Toscano Anderson
Jeff Green,1,1:23,8.2,5,12,0,0,0,2,3,66.7,0,1,0.0,1,1,1,Juan Toscano Anderson
Kevin Huerter,3,1:35,8.1,5,17,0,0,0,2,3,66.7,1,2,50.0,0,0,0,Juan Toscano Anderson
Justise Winslow,1,1:57,7.9,2,6,0,0,0,0,2,0.0,0,0,0.0,2,2,1,Juan Toscano Anderson
Evan Mobley,2,1:58,7.8,0,3,0,0,0,0,2,0.0,0,0,0.0,0,0,0,Juan Toscano Anderson
JT Thor,1,0:56,7.8,0,11,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Juan Toscano Anderson
Nikola Jokic,2,1:18,7.7,7,12,1,0,0,2,2,100.0,1,1,100.0,2,2,0,Juan Toscano Anderson
Nicolas Batum,3,1:12,7.7,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Juan Toscano Anderson
Jalen Green,1,1:20,7.5,4,15,1,0,0,1,1,100.0,1,1,100.0,1,2,1,Juan Toscano Anderson
Nassir Little,2,1:41,7.5,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Juan Toscano Anderson
Draymond Green,1,1:15,7.3,0,11,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Juan Toscano Anderson
Christian Wood,1,1:20,7.0,4,8,0,1,0,2,3,66.7,0,1,0.0,0,0,0,Juan Toscano Anderson
Joel Embiid,1,1:26,7.0,2,11,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Juan Toscano Anderson
Onyeka Okongwu,2,1:03,6.7,4,7,0,1,0,2,2,100.0,0,0,0.0,0,0,0,Juan Toscano Anderson
Marcus Morris Sr.,1,1:20,6.6,5,12,0,0,0,2,3,66.7,0,0,0.0,1,1,1,Juan Toscano Anderson
Tyler Herro,2,1:41,6.5,3,13,2,1,0,1,2,50.0,1,1,100.0,0,0,0,Juan Toscano Anderson
Dejounte Murray,2,1:16,6.5,5,9,0,0,0,2,2,100.0,1,1,100.0,0,0,0,Juan Toscano Anderson
Jonathan Kuminga,1,1:11,6.5,0,0,0,1,0,0,1,0.0,0,0,0.0,0,0,0,Juan Toscano Anderson
Norman Powell,3,1:18,6.4,5,13,1,1,0,1,2,50.0,1,1,100.0,2,2,1,Juan Toscano Anderson
Trey Lyles,2,1:32,6.1,0,5,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Juan Toscano Anderson
Lauri Markkanen,2,1:50,5.9,2,6,0,0,0,0,1,0.0,0,0,0.0,2,2,1,Juan Toscano Anderson
Domantas Sabonis,2,0:50,5.8,4,8,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Juan Toscano Anderson
John Wall,1,0:47,5.7,2,8,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Juan Toscano Anderson
Tim Hardaway Jr.,1,0:54,5.5,3,8,0,0,1,1,2,50.0,1,1,100.0,0,0,0,Juan Toscano Anderson
Jordan Clarkson,2,1:05,5.2,7,9,0,0,0,2,2,100.0,2,2,100.0,1,1,0,Juan Toscano Anderson
Jae'Sean Tate,1,0:59,5.2,0,13,3,0,0,0,2,0.0,0,1,0.0,0,0,0,Juan Toscano Anderson
Tobias Harris,1,0:55,5.1,2,6,0,1,0,1,2,50.0,0,1,0.0,0,0,0,Juan Toscano Anderson
