Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
De'Andre Hunter,2,5:56,32.6,2,27,0,0,0,0,2,0.0,0,2,0.0,2,2,1,Juancho Hernangomez
Immanuel Quickley,2,6:22,27.3,7,35,0,0,0,3,4,75.0,1,2,50.0,0,0,0,Juancho Hernangomez
Isaac Okoro,2,5:20,26.9,2,18,1,0,0,1,3,33.3,0,1,0.0,0,0,0,Juancho Hernangomez
Royce O'Neale,3,5:27,25.9,3,30,3,1,0,1,2,50.0,1,2,50.0,0,0,0,Juancho Hernangomez
Joe Harris,3,4:57,24.4,3,18,0,0,0,1,3,33.3,1,2,50.0,0,0,0,Juancho Hernangomez
Donte DiVincenzo,2,4:36,23.9,0,26,2,0,1,0,2,0.0,0,1,0.0,0,0,0,Juancho Hernangomez
Malik Monk,2,4:28,23.3,9,34,2,0,0,2,2,100.0,1,1,100.0,4,4,2,Juancho Hernangomez
T.J. Warren,2,4:20,21.2,4,21,0,0,0,2,6,33.3,0,3,0.0,0,0,0,Juancho Hernangomez
AJ Griffin,3,4:13,20.8,4,20,0,0,0,2,4,50.0,0,2,0.0,0,0,0,Juancho Hernangomez
Kevin Durant,3,2:47,17.8,4,28,2,1,0,2,4,50.0,0,0,0.0,0,0,0,Juancho Hernangomez
Jalen Brunson,3,3:32,17.4,1,14,1,0,0,0,4,0.0,0,2,0.0,1,1,1,Juancho Hernangomez
Dorian Finney-Smith,1,3:13,15.5,2,12,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Juancho Hernangomez
Duncan Robinson,1,2:32,14.9,0,12,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Juancho Hernangomez
Kyrie Irving,3,2:24,14.4,9,21,2,1,0,4,8,50.0,1,3,33.3,0,0,0,Juancho Hernangomez
Cody Martin,2,3:25,14.1,3,12,1,0,0,1,1,100.0,0,0,0.0,1,1,1,Juancho Hernangomez
Dyson Daniels,1,3:08,14.0,2,9,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Juancho Hernangomez
Dean Wade,2,2:60,14.0,0,11,1,0,0,0,3,0.0,0,2,0.0,0,0,0,Juancho Hernangomez
