Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Georges Niang,3,9:29,48.4,3,35,2,0,0,1,4,25.0,1,4,25.0,0,0,0,Justin Holiday
Terrence Ross,2,7:00,33.6,4,22,0,0,0,1,4,25.0,0,2,0.0,2,2,1,Justin Holiday
Bojan Bogdanovic,2,5:60,30.6,10,34,0,0,0,3,6,50.0,2,5,40.0,2,2,0,Justin Holiday
Isaiah Livers,2,6:11,28.5,3,42,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Justin Holiday
Chris Boucher,1,4:02,23.7,7,26,0,0,0,2,2,100.0,1,1,100.0,2,2,0,Justin Holiday
Trey Murphy III,1,3:19,19.4,0,19,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Justin Holiday
Cedi Osman,1,4:06,17.7,0,19,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Justin Holiday
Furkan Korkmaz,3,2:52,17.7,7,16,0,0,1,3,4,75.0,0,0,0.0,1,2,1,Justin Holiday
Chuma Okeke,1,3:58,16.5,0,17,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Justin Holiday
George Hill,2,3:27,15.9,0,22,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Justin Holiday
David Roddy,1,2:53,15.4,2,19,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Justin Holiday
Jordan Nwora,2,3:22,15.4,2,17,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Justin Holiday
Garrison Mathews,1,3:05,15.2,0,16,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Justin Holiday
Jalen McDaniels,1,2:33,15.2,0,21,1,0,0,0,2,0.0,0,1,0.0,0,0,0,Justin Holiday
Shake Milton,3,2:47,14.7,3,15,0,0,0,1,1,100.0,0,0,0.0,1,2,1,Justin Holiday
Talen Horton-Tucker,1,2:42,12.9,3,13,0,1,0,1,2,50.0,1,2,50.0,0,0,0,Justin Holiday
RJ Barrett,2,2:37,12.5,0,11,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Justin Holiday
Immanuel Quickley,2,2:20,12.3,2,11,1,0,0,0,0,0.0,0,0,0.0,2,2,1,Justin Holiday
Tobias Harris,3,2:58,11.9,4,12,0,0,0,2,3,66.7,0,0,0.0,0,0,0,Justin Holiday
Miles McBride,1,1:58,10.9,0,9,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Justin Holiday
Jrue Holiday,2,1:42,9.9,0,6,0,0,0,0,3,0.0,0,2,0.0,0,0,0,Justin Holiday
Klay Thompson,1,2:09,9.8,5,20,2,0,0,2,3,66.7,1,1,100.0,0,0,0,Justin Holiday
Danuel House Jr.,3,1:39,9.5,6,22,0,0,0,2,2,100.0,1,1,100.0,1,1,1,Justin Holiday
Malik Beasley,1,1:23,9.2,3,12,0,0,0,1,3,33.3,1,3,33.3,0,0,0,Justin Holiday
Seth Curry,2,1:57,9.2,0,2,0,0,1,0,3,0.0,0,1,0.0,0,0,0,Justin Holiday
Bobby Portis,2,1:52,9.1,2,11,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Justin Holiday
T.J. Warren,2,1:31,8.6,3,17,0,0,0,1,1,100.0,0,0,0.0,1,2,1,Justin Holiday
Franz Wagner,2,1:18,8.6,2,12,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Justin Holiday
Cade Cunningham,2,1:32,8.5,6,10,1,1,0,2,2,100.0,0,0,0.0,2,2,1,Justin Holiday
O.G. Anunoby,2,1:38,8.0,2,4,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Justin Holiday
Cory Joseph,3,1:49,7.5,0,10,1,0,0,0,2,0.0,0,2,0.0,0,0,0,Justin Holiday
Cam Reddish,1,1:31,7.5,1,11,1,0,0,0,0,0.0,0,0,0.0,1,2,1,Justin Holiday
Obi Toppin,2,1:20,7.4,7,9,0,0,0,3,5,60.0,1,1,100.0,0,0,0,Justin Holiday
Sam Hauser,1,1:41,7.2,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Justin Holiday
Coby White,1,1:17,7.2,3,7,1,0,0,1,2,50.0,1,2,50.0,0,0,0,Justin Holiday
Kenyon Martin Jr.,2,1:11,7.1,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Justin Holiday
Grayson Allen,2,1:27,6.9,0,5,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Justin Holiday
Quentin Grimes,1,1:19,6.6,2,8,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Justin Holiday
Gary Trent Jr.,1,1:21,6.5,0,11,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Justin Holiday
Hamidou Diallo,2,1:29,6.4,4,6,0,0,0,2,4,50.0,0,0,0.0,0,0,0,Justin Holiday
Wesley Matthews,2,1:09,6.4,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Justin Holiday
Malachi Flynn,2,1:43,6.2,3,8,2,0,0,1,3,33.3,1,2,50.0,0,0,0,Justin Holiday
Saddiq Bey,3,1:01,6.1,0,8,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Justin Holiday
Jalen Green,2,1:16,5.9,0,2,0,1,0,0,3,0.0,0,1,0.0,0,0,0,Justin Holiday
Derrick Rose,1,1:23,5.9,0,0,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Justin Holiday
Ziaire Williams,1,1:08,5.6,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Justin Holiday
Paul Reed,3,1:28,5.5,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Justin Holiday
Joe Harris,1,1:05,5.3,0,3,0,0,1,0,1,0.0,0,1,0.0,0,0,0,Justin Holiday
Mo Bamba,2,1:06,5.2,0,8,0,0,0,0,0,0.0,0,0,0.0,0,2,1,Justin Holiday
Mike Conley,1,1:19,5.1,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Justin Holiday
