Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Nikola Jokic,4,29:50,154.4,56,176,28,6,3,22,36,61.1,2,3,66.7,10,12,6,Jusuf Nurkic
Rudy Gobert,3,19:54,107.3,18,98,3,2,1,8,15,53.3,0,0,0.0,2,6,3,Jusuf Nurkic
Deandre Ayton,3,20:24,92.8,19,85,4,4,0,9,21,42.9,0,0,0.0,1,4,2,Jusuf Nurkic
Jarrett Allen,2,15:55,75.2,16,77,5,5,0,8,11,72.7,0,1,0.0,0,0,0,Jusuf Nurkic
Anthony Davis,2,13:41,66.9,17,66,1,1,1,7,15,46.7,1,2,50.0,2,2,0,Jusuf Nurkic
Jarred Vanderbilt,3,13:41,66.0,8,74,4,0,0,3,5,60.0,1,1,100.0,1,2,1,Jusuf Nurkic
Bam Adebayo,2,12:59,61.2,16,72,2,1,0,7,12,58.3,0,1,0.0,2,2,1,Jusuf Nurkic
Nic Claxton,2,11:04,56.4,11,59,3,2,1,5,9,55.6,0,0,0.0,1,2,1,Jusuf Nurkic
Alperen Sengun,2,9:59,53.0,6,34,0,1,0,3,9,33.3,0,0,0.0,0,0,0,Jusuf Nurkic
Dwight Powell,3,10:14,52.2,10,64,1,2,0,4,4,100.0,0,0,0.0,2,3,2,Jusuf Nurkic
Myles Turner,2,9:18,51.4,23,61,2,1,0,9,15,60.0,2,4,50.0,3,3,2,Jusuf Nurkic
Steven Adams,1,9:22,45.1,9,44,4,1,0,4,5,80.0,0,0,0.0,1,2,1,Jusuf Nurkic
Jakob Poeltl,2,7:54,43.0,25,58,4,2,0,11,12,91.7,0,0,0.0,3,4,2,Jusuf Nurkic
Walker Kessler,3,7:31,39.9,6,42,1,2,0,3,4,75.0,0,0,0.0,0,0,0,Jusuf Nurkic
Scottie Barnes,1,7:04,35.4,15,36,4,1,0,7,11,63.6,1,3,33.3,0,0,0,Jusuf Nurkic
Domantas Sabonis,1,5:32,33.6,2,39,3,2,0,1,4,25.0,0,1,0.0,0,0,0,Jusuf Nurkic
Wendell Carter Jr.,1,6:44,32.2,20,40,2,1,0,7,9,77.8,3,4,75.0,3,4,2,Jusuf Nurkic
