Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Karl-Anthony Towns,1,3:47,24.8,1,24,3,0,0,0,6,0.0,0,4,0.0,1,2,1,Kai Jones
Saddiq Bey,1,4:12,20.3,5,27,0,0,0,2,5,40.0,1,3,33.3,0,1,1,Kai Jones
Jalen Johnson,2,3:54,19.2,2,19,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Kai Jones
Jericho Sims,1,3:23,17.2,2,17,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Kai Jones
Nicolas Batum,1,2:45,15.4,6,23,0,0,0,2,2,100.0,2,2,100.0,0,0,0,Kai Jones
Kyle Kuzma,2,3:01,14.1,5,20,2,0,0,2,3,66.7,1,2,50.0,0,0,0,Kai Jones
T.J. Warren,2,3:23,13.8,0,14,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kai Jones
Sandro Mamukelashvili,1,2:46,13.7,0,12,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Kai Jones
Grant Williams,1,2:60,13.7,6,15,1,1,0,2,3,66.7,2,2,100.0,0,0,0,Kai Jones
Xavier Tillman,2,2:51,12.6,0,6,1,1,1,0,1,0.0,0,0,0.0,0,0,0,Kai Jones
P.J. Tucker,2,2:17,12.0,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kai Jones
Julius Randle,1,2:19,11.0,5,12,0,1,1,1,4,25.0,1,2,50.0,2,2,1,Kai Jones
Georges Niang,1,1:40,10.6,3,15,1,1,0,1,1,100.0,1,1,100.0,0,0,0,Kai Jones
Kyle Anderson,1,1:44,10.5,2,9,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Kai Jones
Admiral Schofield,1,2:13,10.2,2,11,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Kai Jones
Ish Wainright,1,1:45,9.4,2,13,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Kai Jones
Nikola Vucevic,1,1:52,8.5,0,6,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Kai Jones
Jaden McDaniels,1,1:25,8.4,0,11,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Kai Jones
Kevin Love,1,1:48,8.1,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kai Jones
Noah Vonleh,1,1:54,8.0,2,7,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Kai Jones
Naz Reid,1,1:34,7.6,0,6,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Kai Jones
Montrezl Harrell,2,1:13,7.3,7,11,0,0,0,1,2,50.0,0,0,0.0,5,7,4,Kai Jones
Thanasis Antetokounmpo,1,1:41,7.3,0,13,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kai Jones
David Roddy,2,1:37,6.9,1,4,0,0,0,0,0,0.0,0,0,0.0,1,2,1,Kai Jones
Deni Avdija,1,1:41,6.8,0,6,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Kai Jones
Markieff Morris,1,1:25,6.3,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kai Jones
Nikola Jokic,1,1:04,6.2,0,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kai Jones
Isaiah Hartenstein,1,1:12,5.9,2,7,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Kai Jones
Payton Pritchard,2,0:58,5.7,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kai Jones
Moses Brown,2,1:36,5.6,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kai Jones
