Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Dillon Brooks,4,22:25,109.1,19,126,11,3,0,9,21,42.9,1,7,14.3,0,0,0,Keegan Murray
Jabari Smith Jr.,4,14:41,79.7,8,93,1,1,0,3,8,37.5,0,2,0.0,2,2,0,Keegan Murray
Kenyon Martin Jr.,4,13:28,67.1,8,93,0,0,1,3,6,50.0,0,2,0.0,2,2,1,Keegan Murray
Kyle Anderson,2,14:37,65.8,15,60,4,2,0,5,5,100.0,2,2,100.0,3,3,1,Keegan Murray
Gordon Hayward,2,12:05,65.6,8,55,3,1,1,3,8,37.5,2,2,100.0,0,0,0,Keegan Murray
Draymond Green,3,11:06,63.9,9,77,3,4,0,4,6,66.7,0,1,0.0,1,3,2,Keegan Murray
Kelly Olynyk,2,10:20,49.0,0,49,2,0,0,0,2,0.0,0,1,0.0,0,0,0,Keegan Murray
P.J. Tucker,2,10:03,45.9,0,34,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Keegan Murray
Lonnie Walker IV,2,9:17,45.6,9,43,2,0,0,4,9,44.4,1,3,33.3,0,0,0,Keegan Murray
Scottie Barnes,2,9:23,43.5,9,36,2,0,0,4,4,100.0,1,1,100.0,0,0,0,Keegan Murray
Troy Brown Jr.,3,9:40,41.4,2,35,1,0,0,1,7,14.3,0,3,0.0,0,0,0,Keegan Murray
Michael Porter Jr.,2,8:30,39.5,6,53,0,1,0,3,6,50.0,0,1,0.0,0,0,0,Keegan Murray
RJ Barrett,1,7:44,38.5,4,35,2,0,0,1,4,25.0,0,1,0.0,2,4,2,Keegan Murray
Andrew Wiggins,3,7:11,35.8,6,42,0,0,0,3,4,75.0,0,0,0.0,0,0,0,Keegan Murray
De'Andre Hunter,2,6:33,35.0,9,35,0,1,0,4,7,57.1,1,2,50.0,0,0,0,Keegan Murray
Caleb Martin,2,8:08,34.8,5,23,0,0,0,2,7,28.6,1,2,50.0,0,0,0,Keegan Murray
Franz Wagner,2,6:12,32.3,10,38,2,1,0,5,5,100.0,0,0,0.0,0,0,0,Keegan Murray
Max Christie,4,6:17,32.1,2,22,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Keegan Murray
