Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Jerami Grant,2,9:05,47.4,8,56,0,2,0,3,4,75.0,2,3,66.7,0,0,0,Keita Bates Diop
Pascal Siakam,2,7:05,39.0,15,44,5,1,0,6,11,54.5,3,5,60.0,0,0,0,Keita Bates Diop
Harrison Barnes,2,6:20,35.2,2,36,1,1,0,1,1,100.0,0,0,0.0,0,0,0,Keita Bates Diop
Cameron Johnson,1,7:36,34.9,0,40,2,0,0,0,1,0.0,0,1,0.0,0,0,0,Keita Bates Diop
Paul George,3,7:05,34.0,19,58,2,0,0,7,9,77.8,4,4,100.0,1,1,1,Keita Bates Diop
Jabari Smith Jr.,1,6:08,30.7,0,25,0,1,0,0,4,0.0,0,1,0.0,0,0,0,Keita Bates Diop
DeMar DeRozan,2,6:11,30.3,6,41,0,0,1,3,8,37.5,0,0,0.0,0,0,0,Keita Bates Diop
Bradley Beal,1,5:03,26.5,5,33,4,1,0,2,3,66.7,1,1,100.0,0,0,0,Keita Bates Diop
Kevin Huerter,2,4:55,25.1,3,32,1,0,0,1,3,33.3,1,2,50.0,0,0,0,Keita Bates Diop
Trey Murphy III,2,4:28,21.7,6,24,0,1,0,2,5,40.0,2,5,40.0,0,0,0,Keita Bates Diop
Devin Booker,1,4:41,21.5,4,21,1,1,0,2,5,40.0,0,1,0.0,0,0,0,Keita Bates Diop
Tobias Harris,2,3:57,21.3,0,17,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Keita Bates Diop
Zion Williamson,2,3:30,21.0,16,31,3,1,0,7,10,70.0,0,1,0.0,2,2,1,Keita Bates Diop
Troy Brown Jr.,2,3:40,20.9,3,26,1,0,0,1,3,33.3,1,3,33.3,0,0,0,Keita Bates Diop
Marcus Morris Sr.,2,3:58,20.7,0,17,1,0,0,0,4,0.0,0,2,0.0,0,0,0,Keita Bates Diop
Kawhi Leonard,2,4:59,20.5,2,22,0,1,1,1,4,25.0,0,2,0.0,0,0,0,Keita Bates Diop
Chris Boucher,2,3:36,19.5,5,15,0,0,0,2,2,100.0,1,1,100.0,0,0,0,Keita Bates Diop
Dillon Brooks,1,3:24,17.8,3,19,0,0,0,1,3,33.3,1,2,50.0,0,0,0,Keita Bates Diop
Draymond Green,1,4:00,17.6,0,17,1,0,0,0,2,0.0,0,2,0.0,0,0,0,Keita Bates Diop
Jimmy Butler,1,3:45,17.6,2,16,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Keita Bates Diop
Naji Marshall,3,3:42,16.9,0,12,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Keita Bates Diop
Mikal Bridges,2,2:47,16.5,2,25,0,0,0,1,3,33.3,0,0,0.0,0,0,0,Keita Bates Diop
Damian Lillard,3,3:36,16.1,11,27,1,1,0,5,9,55.6,1,5,20.0,0,0,0,Keita Bates Diop
Trey Lyles,2,2:27,15.1,5,25,0,1,0,2,2,100.0,0,0,0.0,1,1,1,Keita Bates Diop
Jayson Tatum,1,2:40,14.4,2,9,1,0,0,1,6,16.7,0,1,0.0,0,0,0,Keita Bates Diop
Dennis Schroder,2,2:14,14.2,0,18,0,0,0,0,3,0.0,0,2,0.0,0,0,0,Keita Bates Diop
Jaden McDaniels,2,2:03,13.5,0,14,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Keita Bates Diop
Karl-Anthony Towns,2,2:48,13.3,6,12,0,1,0,3,5,60.0,0,1,0.0,0,0,0,Keita Bates Diop
Taurean Prince,2,2:36,13.3,2,12,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Keita Bates Diop
Brandon Ingram,1,2:51,13.1,0,20,3,0,0,0,1,0.0,0,0,0.0,0,0,0,Keita Bates Diop
CJ McCollum,2,1:54,13.1,6,22,1,2,0,2,4,50.0,1,2,50.0,1,1,1,Keita Bates Diop
Bruce Brown,2,2:26,12.8,4,18,1,0,0,2,4,50.0,0,1,0.0,0,0,0,Keita Bates Diop
