Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Nikola Vucevic,2,15:02,69.6,16,82,5,1,0,7,14,50.0,2,4,50.0,0,0,0,Kelly Olynyk
Kevon Looney,3,14:38,64.8,6,80,6,1,0,3,3,100.0,0,0,0.0,0,1,1,Kelly Olynyk
Nikola Jokic,3,14:30,62.6,21,63,10,3,0,9,19,47.4,1,6,16.7,2,4,0,Kelly Olynyk
Ivica Zubac,3,13:17,62.0,9,56,0,2,0,4,6,66.7,0,0,0.0,1,1,1,Kelly Olynyk
Jonas Valanciunas,3,11:28,58.8,10,61,3,1,0,5,14,35.7,0,0,0.0,0,0,0,Kelly Olynyk
Jusuf Nurkic,2,11:21,55.3,17,63,3,4,1,7,11,63.6,0,1,0.0,3,7,4,Kelly Olynyk
Domantas Sabonis,2,11:15,52.0,16,75,10,1,0,7,8,87.5,1,1,100.0,1,1,1,Kelly Olynyk
Jaden McDaniels,3,9:58,49.2,9,51,1,2,0,4,8,50.0,1,5,20.0,0,0,0,Kelly Olynyk
Xavier Tillman,3,7:32,42.7,4,30,1,3,0,2,3,66.7,0,1,0.0,0,1,0,Kelly Olynyk
Kenyon Martin Jr.,3,8:04,42.6,2,33,0,2,0,1,9,11.1,0,4,0.0,0,1,1,Kelly Olynyk
John Collins,2,7:01,35.5,9,48,1,0,0,4,9,44.4,1,6,16.7,0,0,0,Kelly Olynyk
Steven Adams,2,6:33,34.1,0,38,1,4,0,0,0,0.0,0,0,0.0,0,0,0,Kelly Olynyk
Larry Nance Jr.,3,6:52,33.5,7,40,0,2,0,3,5,60.0,1,2,50.0,0,0,0,Kelly Olynyk
Deandre Ayton,2,5:57,32.6,17,44,2,1,0,6,10,60.0,0,0,0.0,5,6,3,Kelly Olynyk
Rudy Gobert,2,6:32,32.5,7,40,1,1,0,3,6,50.0,0,0,0.0,1,1,1,Kelly Olynyk
Joel Embiid,1,6:52,32.5,27,39,5,4,0,10,14,71.4,1,1,100.0,6,7,3,Kelly Olynyk
Zion Williamson,3,5:47,31.7,16,42,4,2,0,7,13,53.8,0,0,0.0,2,3,2,Kelly Olynyk
Torrey Craig,2,5:45,27.8,6,26,1,1,0,2,5,40.0,2,3,66.7,0,0,0,Kelly Olynyk
Clint Capela,2,4:35,27.4,15,39,0,1,0,7,12,58.3,0,0,0.0,1,2,1,Kelly Olynyk
Aaron Gordon,3,4:30,26.3,11,32,3,1,0,5,13,38.5,0,4,0.0,1,2,1,Kelly Olynyk
Jabari Smith Jr.,3,4:57,26.2,7,24,2,2,0,3,5,60.0,1,2,50.0,0,0,0,Kelly Olynyk
Marcus Morris Sr.,3,5:34,25.9,2,19,0,2,0,1,4,25.0,0,0,0.0,0,2,1,Kelly Olynyk
Alperen Sengun,1,5:23,25.4,6,21,0,3,0,2,6,33.3,0,0,0.0,2,2,1,Kelly Olynyk
Brandon Clarke,2,3:43,22.2,4,16,0,2,0,2,2,100.0,0,0,0.0,0,2,1,Kelly Olynyk
Trendon Watford,2,4:21,21.6,0,8,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Kelly Olynyk
Josh Green,3,4:41,21.4,10,24,1,0,0,4,7,57.1,2,3,66.7,0,0,0,Kelly Olynyk
Anthony Davis,2,3:55,21.3,15,34,1,0,1,6,11,54.5,0,1,0.0,3,3,2,Kelly Olynyk
Harrison Barnes,2,3:49,21.2,3,30,1,1,1,1,2,50.0,1,1,100.0,0,0,0,Kelly Olynyk
Brook Lopez,1,4:03,21.1,8,19,0,0,0,4,8,50.0,0,1,0.0,0,0,0,Kelly Olynyk
