Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Kevin Durant,2,16:39,74.4,22,83,3,1,0,9,13,69.2,2,3,66.7,2,2,1,Kelly Oubre Jr
Bradley Beal,2,11:48,62.2,14,52,6,2,1,6,8,75.0,2,3,66.7,0,0,0,Kelly Oubre Jr
Paul George,2,13:08,61.4,22,78,6,3,0,8,12,66.7,3,4,75.0,3,3,2,Kelly Oubre Jr
Josh Hart,2,10:30,47.5,3,42,2,0,0,1,3,33.3,0,0,0.0,1,2,1,Kelly Oubre Jr
Donovan Mitchell,1,7:51,37.1,13,41,3,1,0,4,8,50.0,2,5,40.0,3,4,1,Kelly Oubre Jr
Dejounte Murray,1,6:52,37.1,10,41,1,0,0,4,7,57.1,1,1,100.0,1,1,1,Kelly Oubre Jr
Caleb Martin,2,7:39,36.2,8,55,2,0,1,3,5,60.0,2,3,66.7,0,0,0,Kelly Oubre Jr
Kevin Huerter,2,7:58,36.1,17,53,5,2,0,6,9,66.7,5,6,83.3,0,0,0,Kelly Oubre Jr
Brandon Ingram,1,6:03,36.0,12,42,1,3,0,4,5,80.0,0,0,0.0,4,4,1,Kelly Oubre Jr
Max Strus,2,7:23,35.9,6,43,1,0,0,2,6,33.3,2,5,40.0,0,0,0,Kelly Oubre Jr
RJ Barrett,2,6:55,35.5,6,45,2,0,1,1,6,16.7,0,2,0.0,4,4,1,Kelly Oubre Jr
Dillon Brooks,1,6:38,34.5,13,42,2,1,0,5,7,71.4,3,4,75.0,0,0,0,Kelly Oubre Jr
Jayson Tatum,1,6:26,33.7,11,43,2,0,0,5,7,71.4,0,2,0.0,1,1,1,Kelly Oubre Jr
James Harden,1,6:00,33.4,2,29,4,2,0,0,1,0.0,0,1,0.0,2,2,1,Kelly Oubre Jr
Evan Fournier,1,6:43,33.2,11,41,0,2,0,5,7,71.4,1,3,33.3,0,0,0,Kelly Oubre Jr
Grayson Allen,1,7:42,32.9,7,27,1,1,0,3,6,50.0,1,4,25.0,0,0,0,Kelly Oubre Jr
Buddy Hield,1,5:25,30.9,2,33,1,0,0,0,2,0.0,0,1,0.0,2,2,0,Kelly Oubre Jr
Kristaps Porzingis,3,5:15,30.8,17,48,2,4,0,6,13,46.2,1,4,25.0,4,4,1,Kelly Oubre Jr
Anfernee Simons,2,6:15,30.2,3,28,2,0,0,0,1,0.0,0,1,0.0,3,3,1,Kelly Oubre Jr
Tobias Harris,2,5:30,29.6,4,39,0,1,0,2,2,100.0,0,0,0.0,0,0,0,Kelly Oubre Jr
Bojan Bogdanovic,1,5:34,28.7,5,39,1,0,1,2,4,50.0,1,1,100.0,0,0,0,Kelly Oubre Jr
AJ Griffin,2,5:24,28.3,10,38,0,0,0,4,4,100.0,2,2,100.0,0,0,0,Kelly Oubre Jr
Chuma Okeke,2,5:26,26.6,2,15,0,0,0,1,4,25.0,0,2,0.0,0,0,0,Kelly Oubre Jr
De'Aaron Fox,2,4:47,25.8,8,22,0,0,0,3,7,42.9,2,4,50.0,0,0,0,Kelly Oubre Jr
Kyle Lowry,2,4:55,25.3,0,27,2,0,0,0,2,0.0,0,1,0.0,0,0,0,Kelly Oubre Jr
Zach LaVine,1,4:43,24.4,0,25,2,0,0,0,2,0.0,0,2,0.0,0,0,0,Kelly Oubre Jr
Deni Avdija,3,5:02,22.0,3,20,1,0,0,1,5,20.0,0,3,0.0,1,2,1,Kelly Oubre Jr
