Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Mikal Bridges,2,3:29,17.7,4,22,1,1,0,2,6,33.3,0,1,0.0,0,0,0,Keon Johnson
Landry Shamet,2,3:27,17.7,0,17,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Keon Johnson
Chris Paul,2,3:07,16.7,0,18,3,0,0,0,0,0.0,0,0,0.0,0,0,0,Keon Johnson
Damion Lee,2,2:38,14.3,2,12,0,0,0,0,2,0.0,0,0,0.0,2,2,1,Keon Johnson
Jaden Ivey,1,1:38,13.8,4,12,0,1,0,1,2,50.0,0,0,0.0,2,3,2,Keon Johnson
Isaiah Joe,2,1:60,13.2,3,17,0,0,1,1,3,33.3,1,2,50.0,0,0,0,Keon Johnson
Theo Maledon,1,2:25,11.9,2,15,2,0,0,0,0,0.0,0,0,0.0,2,2,1,Keon Johnson
Frank Ntilikina,3,2:38,11.8,0,13,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Keon Johnson
Eric Gordon,2,1:53,11.2,5,15,1,0,0,1,2,50.0,1,2,50.0,2,2,0,Keon Johnson
Jamal Murray,3,2:43,11.2,0,14,3,0,1,0,3,0.0,0,0,0.0,0,0,0,Keon Johnson
Daishen Nix,2,1:53,10.7,0,7,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Keon Johnson
Tyus Jones,1,1:50,10.5,0,14,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Keon Johnson
Devin Booker,2,1:12,9.5,4,22,3,0,0,1,1,100.0,0,0,0.0,2,2,0,Keon Johnson
Bones Hyland,3,2:10,9.2,2,7,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Keon Johnson
Jaylen Nowell,2,1:57,9.1,2,9,1,0,0,1,2,50.0,0,1,0.0,0,0,0,Keon Johnson
Bruce Brown,3,1:36,9.1,2,11,1,1,0,1,1,100.0,0,0,0.0,0,0,0,Keon Johnson
D'Angelo Russell,1,1:56,9.1,2,8,0,0,0,0,2,0.0,0,1,0.0,2,2,0,Keon Johnson
Josh Okogie,2,1:34,8.5,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Keon Johnson
McKinley Wright IV,2,1:23,7.9,2,13,4,0,0,1,1,100.0,0,0,0.0,0,0,0,Keon Johnson
Kenyon Martin Jr.,2,0:53,7.7,0,6,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Keon Johnson
Kevin Porter Jr.,2,1:46,7.6,2,9,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Keon Johnson
Jalen Williams,2,1:25,7.5,0,8,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Keon Johnson
Gabe Vincent,1,1:18,7.5,2,4,0,1,0,0,0,0.0,0,0,0.0,2,2,0,Keon Johnson
LaMelo Ball,1,1:34,7.1,0,5,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Keon Johnson
Tari Eason,2,1:22,7.1,2,8,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Keon Johnson
TyTy Washington Jr.,1,1:38,7.0,2,8,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Keon Johnson
Shai Gilgeous-Alexander,2,1:03,6.9,7,14,1,1,0,2,4,50.0,1,1,100.0,2,2,0,Keon Johnson
T.J. McConnell,1,1:04,6.6,0,4,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Keon Johnson
John Konchar,1,1:22,6.5,2,10,2,0,0,1,1,100.0,0,0,0.0,0,0,0,Keon Johnson
Reggie Bullock,2,1:09,6.1,0,12,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Keon Johnson
Desmond Bane,1,0:57,6.1,3,8,1,0,0,1,1,100.0,0,0,0.0,1,2,1,Keon Johnson
Gordon Hayward,1,1:06,6.1,0,5,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Keon Johnson
Luka Garza,2,0:46,5.8,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Keon Johnson
Malaki Branham,2,1:03,5.7,0,5,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Keon Johnson
Davon Reed,2,1:05,5.5,0,2,0,1,0,0,1,0.0,0,0,0.0,0,0,0,Keon Johnson
Dario Saric,2,1:21,5.2,5,5,0,0,0,2,2,100.0,1,1,100.0,0,0,0,Keon Johnson
Luguentz Dort,2,0:41,5.2,2,4,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Keon Johnson
