Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Tyrese Haliburton,2,3:33,16.1,2,10,1,1,0,1,4,25.0,0,1,0.0,0,0,0,Kessler Edwards
Buddy Hield,1,2:34,14.8,2,24,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Kessler Edwards
Myles Turner,1,2:01,10.5,2,16,0,0,0,1,3,33.3,0,0,0.0,0,0,0,Kessler Edwards
Richaun Holmes,1,1:42,10.5,3,11,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Kessler Edwards
Bennedict Mathurin,1,1:08,8.4,2,12,1,0,0,0,1,0.0,0,0,0.0,2,2,1,Kessler Edwards
Andrew Nembhard,1,1:28,8.4,0,13,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Kessler Edwards
T.J. McConnell,2,1:15,7.6,0,2,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Kessler Edwards
Marcus Morris Sr.,1,1:07,5.7,2,9,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Kessler Edwards
Svi Mykhailiuk,1,0:41,5.5,3,6,0,1,0,1,1,100.0,1,1,100.0,0,0,0,Kessler Edwards
Trey Lyles,1,1:14,4.9,0,10,0,0,0,0,3,0.0,0,2,0.0,0,0,0,Kessler Edwards
Terence Davis,1,0:37,4.3,3,5,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Kessler Edwards
Isaiah Jackson,1,0:42,3.6,2,4,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Kessler Edwards
Ron Harper Jr.,1,0:34,3.4,3,7,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Kessler Edwards
Alex Len,1,0:28,2.9,2,7,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Kessler Edwards
Jose Alvarado,1,0:29,2.8,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kessler Edwards
Naji Marshall,1,0:23,2.6,2,4,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Kessler Edwards
Kendrick Nunn,1,0:17,2.6,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kessler Edwards
Paul George,1,0:28,2.4,0,3,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Kessler Edwards
Juan Toscano-Anderson,1,0:23,2.3,0,3,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Kessler Edwards
Aaron Nesmith,1,0:21,2.2,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kessler Edwards
Max Christie,1,0:37,2.2,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kessler Edwards
Tobias Harris,1,0:30,2.1,0,2,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Kessler Edwards
Dyson Daniels,1,0:24,2.1,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kessler Edwards
Jake LaRavia,1,0:10,2.0,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kessler Edwards
De'Aaron Fox,1,0:26,1.9,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kessler Edwards
Juancho Hernangomez,1,0:14,1.9,2,2,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Kessler Edwards
David Roddy,1,0:22,1.9,0,2,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Kessler Edwards
Obi Toppin,1,0:24,1.8,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Kessler Edwards
Moses Brown,1,0:14,1.7,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kessler Edwards
Malik Monk,1,0:19,1.7,0,4,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Kessler Edwards
Jalen Smith,1,0:18,1.7,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kessler Edwards
Kawhi Leonard,1,0:28,1.6,0,3,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Kessler Edwards
KZ Okpala,1,0:08,1.6,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kessler Edwards
Shake Milton,1,0:29,1.5,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kessler Edwards
Trey Murphy III,1,0:10,1.5,3,3,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Kessler Edwards
Justin Jackson,1,0:20,1.4,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kessler Edwards
Terance Mann,2,0:15,1.3,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kessler Edwards
Wesley Matthews,1,0:19,1.2,3,3,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Kessler Edwards
Khem Birch,1,0:09,1.1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kessler Edwards
Xavier Tillman,1,0:04,1.1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kessler Edwards
Payton Pritchard,1,0:12,1.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kessler Edwards
Zach LaVine,1,0:21,1.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kessler Edwards
Ryan Arcidiacono,1,0:05,1.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kessler Edwards
Oshae Brissett,1,0:17,1.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kessler Edwards
Noah Vonleh,1,0:10,1.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kessler Edwards
Amir Coffey,1,0:10,1.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kessler Edwards
Larry Nance Jr.,1,0:06,0.9,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kessler Edwards
Bobby Portis,1,0:06,0.8,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kessler Edwards
Chimezie Metu,1,0:15,0.8,0,3,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Kessler Edwards
Ivica Zubac,1,0:06,0.7,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Kessler Edwards
