Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Patrick Beverley,4,18:46,86.3,16,98,3,1,0,6,9,66.7,2,4,50.0,2,2,1,Kevin Huerter
Klay Thompson,3,13:40,79.8,11,78,3,1,0,4,12,33.3,2,7,28.6,1,2,1,Kevin Huerter
John Konchar,2,12:26,69.8,7,49,2,3,0,3,7,42.9,1,5,20.0,0,0,0,Kevin Huerter
Kelly Oubre Jr.,2,9:52,53.6,6,49,1,2,0,2,5,40.0,2,3,66.7,0,0,0,Kevin Huerter
Jordan Clarkson,2,10:01,48.1,25,58,3,0,0,9,13,69.2,3,4,75.0,4,4,2,Kevin Huerter
Jaden McDaniels,2,9:45,43.5,4,51,2,0,0,2,7,28.6,0,4,0.0,0,0,0,Kevin Huerter
Killian Hayes,2,8:59,42.4,5,35,1,2,0,2,3,66.7,1,2,50.0,0,0,0,Kevin Huerter
Buddy Hield,2,8:10,40.9,7,45,1,0,0,3,6,50.0,1,3,33.3,0,0,0,Kevin Huerter
Quentin Grimes,1,8:13,39.9,0,44,2,0,0,0,3,0.0,0,2,0.0,0,0,0,Kevin Huerter
Kentavious Caldwell-Pope,2,8:54,39.7,2,49,2,0,0,1,5,20.0,0,3,0.0,0,0,0,Kevin Huerter
Eric Gordon,2,8:01,39.0,6,47,5,1,0,2,6,33.3,1,3,33.3,1,2,1,Kevin Huerter
Tyler Herro,2,7:49,38.6,15,36,0,0,0,6,9,66.7,2,3,66.7,1,1,1,Kevin Huerter
Max Christie,4,7:49,38.1,5,30,1,0,0,2,4,50.0,1,2,50.0,0,0,0,Kevin Huerter
Caris LeVert,2,7:01,34.7,6,46,2,1,1,3,4,75.0,0,0,0.0,0,0,0,Kevin Huerter
Max Strus,2,7:13,34.2,10,50,3,0,0,4,7,57.1,2,4,50.0,0,0,0,Kevin Huerter
Gary Trent Jr.,1,7:10,33.3,8,36,0,1,0,3,6,50.0,2,3,66.7,0,0,0,Kevin Huerter
Dennis Schroder,3,7:08,33.0,14,47,1,1,0,5,8,62.5,3,4,75.0,1,2,0,Kevin Huerter
Andrew Wiggins,3,6:01,31.8,13,31,1,0,0,6,9,66.7,1,2,50.0,0,0,0,Kevin Huerter
Norman Powell,1,6:54,31.6,2,29,2,1,0,0,4,0.0,0,1,0.0,2,2,0,Kevin Huerter
De'Andre Hunter,2,6:56,30.9,4,38,1,2,0,1,6,16.7,0,3,0.0,2,2,1,Kevin Huerter
Desmond Bane,2,6:44,29.6,8,31,2,1,0,3,4,75.0,2,2,100.0,0,0,0,Kevin Huerter
Josh Hart,1,6:24,29.5,8,23,2,1,0,4,5,80.0,0,0,0.0,0,0,0,Kevin Huerter
Torrey Craig,1,5:55,29.0,2,27,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Kevin Huerter
Dejounte Murray,2,5:48,28.1,9,31,3,0,0,4,6,66.7,1,2,50.0,0,0,0,Kevin Huerter
Dillon Brooks,4,5:26,28.0,8,34,0,1,1,3,7,42.9,0,1,0.0,2,2,1,Kevin Huerter
Kenyon Martin Jr.,2,5:24,27.6,8,23,0,1,0,3,4,75.0,0,0,0.0,2,2,1,Kevin Huerter
Cedi Osman,2,6:16,27.3,0,22,1,1,0,0,1,0.0,0,1,0.0,0,0,0,Kevin Huerter
Jalen Williams,1,5:44,26.9,2,25,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Kevin Huerter
Jeremy Sochan,3,5:32,26.7,6,35,1,1,0,3,5,60.0,0,0,0.0,0,0,0,Kevin Huerter
De'Anthony Melton,1,6:29,26.7,3,22,2,1,0,1,2,50.0,1,2,50.0,0,0,0,Kevin Huerter
Keita Bates-Diop,2,5:19,25.3,5,19,0,0,0,2,4,50.0,0,1,0.0,1,1,1,Kevin Huerter
Draymond Green,3,4:15,24.8,6,40,3,0,0,3,5,60.0,0,0,0.0,0,0,0,Kevin Huerter
Grayson Allen,1,4:52,24.6,5,40,2,0,0,2,2,100.0,1,1,100.0,0,0,0,Kevin Huerter
Andrew Nembhard,2,4:08,24.1,2,22,3,1,0,1,2,50.0,0,0,0.0,0,0,0,Kevin Huerter
Kyle Lowry,2,4:35,24.0,5,25,3,0,0,2,5,40.0,1,4,25.0,0,0,0,Kevin Huerter
Tyus Jones,4,4:11,23.9,10,25,1,1,0,4,6,66.7,1,2,50.0,1,1,1,Kevin Huerter
Lamar Stevens,1,4:44,22.5,5,22,0,0,0,2,2,100.0,1,1,100.0,0,0,0,Kevin Huerter
Josh Richardson,3,4:21,22.4,8,31,0,1,0,3,5,60.0,2,3,66.7,0,0,0,Kevin Huerter
Trae Young,2,3:15,22.3,4,28,4,1,0,0,3,0.0,0,0,0.0,4,4,1,Kevin Huerter
Jalen McDaniels,2,5:09,22.2,0,28,2,0,0,0,2,0.0,0,1,0.0,0,0,0,Kevin Huerter
Ja Morant,3,4:05,21.5,17,39,5,1,0,8,11,72.7,1,1,100.0,0,0,0,Kevin Huerter
Isaiah Livers,1,5:01,21.2,3,24,1,1,0,1,3,33.3,1,3,33.3,0,0,0,Kevin Huerter
Troy Brown Jr.,3,4:18,20.2,4,23,1,0,0,2,3,66.7,0,1,0.0,0,0,0,Kevin Huerter
Tyrese Haliburton,2,4:25,20.2,2,19,2,0,0,1,4,25.0,0,2,0.0,0,0,0,Kevin Huerter
Malik Beasley,2,4:11,20.1,3,22,2,0,0,1,2,50.0,1,2,50.0,0,0,0,Kevin Huerter
Bol Bol,1,4:28,20.0,6,17,0,0,0,3,3,100.0,0,0,0.0,0,0,0,Kevin Huerter
Austin Reaves,1,4:37,19.8,4,26,0,0,1,2,3,66.7,0,0,0.0,0,0,0,Kevin Huerter
Alex Caruso,1,4:21,19.7,0,17,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Kevin Huerter
Stephen Curry,3,2:43,19.7,15,34,1,1,0,7,8,87.5,1,1,100.0,0,0,0,Kevin Huerter
Terance Mann,2,4:43,19.2,2,8,1,0,0,1,3,33.3,0,1,0.0,0,0,0,Kevin Huerter
