Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Domantas Sabonis,3,16:58,86.6,31,85,5,3,0,11,20,55.0,2,4,50.0,7,9,3,Kevon Looney
Nikola Vucevic,2,14:11,79.3,32,70,0,1,0,14,24,58.3,3,9,33.3,1,2,1,Kevon Looney
Jarred Vanderbilt,3,12:44,69.1,14,71,4,2,0,6,9,66.7,0,2,0.0,2,2,1,Kevon Looney
Nikola Jokic,2,13:47,62.1,28,86,10,4,1,11,17,64.7,1,2,50.0,5,6,3,Kevon Looney
Bam Adebayo,2,14:04,61.7,12,46,4,1,0,4,9,44.4,0,0,0.0,4,5,2,Kevon Looney
Alperen Sengun,2,12:20,54.2,16,51,0,4,1,7,10,70.0,0,0,0.0,2,2,1,Kevon Looney
Evan Mobley,2,12:26,50.5,7,52,2,0,3,3,10,30.0,0,1,0.0,1,2,1,Kevon Looney
Wendell Carter Jr.,2,9:47,50.4,10,38,1,0,0,3,10,30.0,2,4,50.0,2,2,1,Kevon Looney
Deandre Ayton,2,9:13,49.6,14,58,0,1,0,5,10,50.0,0,0,0.0,4,4,2,Kevon Looney
Onyeka Okongwu,1,8:21,48.7,10,53,1,2,0,5,9,55.6,0,0,0.0,0,0,0,Kevon Looney
Jarrett Allen,2,8:29,45.7,4,45,0,0,0,2,3,66.7,0,0,0.0,0,0,0,Kevon Looney
Walker Kessler,3,9:10,45.2,4,43,0,1,0,2,3,66.7,0,0,0.0,0,2,0,Kevon Looney
Mason Plumlee,2,8:01,44.7,1,46,5,0,0,0,3,0.0,0,0,0.0,1,2,1,Kevon Looney
Jakob Poeltl,2,7:39,41.5,2,31,2,2,0,0,3,0.0,0,0,0.0,2,2,1,Kevon Looney
Joel Embiid,1,7:35,36.5,19,47,1,1,0,8,14,57.1,2,2,100.0,1,1,1,Kevon Looney
Jalen Duren,2,6:35,35.1,4,36,0,0,0,2,3,66.7,0,0,0.0,0,0,0,Kevon Looney
Nic Claxton,2,7:36,34.8,8,48,1,0,0,3,4,75.0,0,0,0.0,2,2,1,Kevon Looney
Isaiah Stewart,2,7:19,34.8,9,44,1,1,0,2,3,66.7,1,2,50.0,4,4,1,Kevon Looney
Julius Randle,2,7:17,34.0,15,41,3,1,0,5,11,45.5,1,6,16.7,4,5,3,Kevon Looney
Anthony Davis,1,6:17,33.2,10,25,0,0,0,4,10,40.0,0,1,0.0,2,2,1,Kevon Looney
Dwight Powell,2,6:37,33.0,3,33,0,0,0,1,1,100.0,0,0,0.0,1,2,1,Kevon Looney
Drew Eubanks,2,6:39,32.0,0,17,2,1,0,0,1,0.0,0,0,0.0,0,0,0,Kevon Looney
Naz Reid,1,5:17,27.0,3,19,0,0,0,1,4,25.0,0,1,0.0,1,2,0,Kevon Looney
Scottie Barnes,2,5:17,26.2,9,33,1,0,0,4,6,66.7,0,0,0.0,1,2,2,Kevon Looney
Mike Muscala,2,4:24,25.7,3,17,1,0,0,1,1,100.0,1,1,100.0,0,0,0,Kevon Looney
Jalen Smith,2,4:58,25.4,8,27,3,0,0,3,5,60.0,2,4,50.0,0,0,0,Kevon Looney
Rudy Gobert,1,5:23,25.4,4,28,0,1,0,2,4,50.0,0,0,0.0,0,0,0,Kevon Looney
Brandon Clarke,2,5:03,25.1,4,14,1,0,0,2,4,50.0,0,0,0.0,0,0,0,Kevon Looney
Giannis Antetokounmpo,1,4:21,23.4,10,25,1,0,0,4,13,30.8,0,3,0.0,2,5,3,Kevon Looney
Myles Turner,1,4:32,22.7,7,32,2,1,0,2,2,100.0,1,1,100.0,2,2,1,Kevon Looney
Chimezie Metu,3,4:09,21.1,2,21,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Kevon Looney
Blake Griffin,1,4:29,20.7,5,21,1,0,0,2,3,66.7,1,1,100.0,0,0,0,Kevon Looney
Jock Landale,3,3:39,20.5,3,15,1,1,0,1,2,50.0,1,2,50.0,0,0,0,Kevon Looney
Kristaps Porzingis,1,3:55,20.1,7,17,0,0,0,2,3,66.7,1,2,50.0,2,2,0,Kevon Looney
Ivica Zubac,1,4:14,19.9,0,27,1,1,1,0,1,0.0,0,0,0.0,0,0,0,Kevon Looney
Steven Adams,1,4:38,19.8,2,15,1,0,0,1,5,20.0,0,0,0.0,0,0,0,Kevon Looney
Dorian Finney-Smith,2,3:37,19.5,0,16,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Kevon Looney
Daniel Gafford,1,3:32,18.5,4,24,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Kevon Looney
Jonas Valanciunas,2,3:17,18.5,4,15,1,0,0,1,2,50.0,0,1,0.0,2,2,1,Kevon Looney
Mitchell Robinson,1,3:34,18.4,2,15,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Kevon Looney
Zion Williamson,2,3:17,17.6,3,14,0,0,0,1,3,33.3,0,0,0.0,1,2,1,Kevon Looney
Christian Koloko,1,3:50,17.6,1,22,0,2,0,0,0,0.0,0,0,0.0,1,2,1,Kevon Looney
Nick Richards,1,4:02,17.5,2,11,2,0,0,1,3,33.3,0,0,0.0,0,0,0,Kevon Looney
Kelly Olynyk,3,2:59,17.4,7,18,0,1,0,3,6,50.0,1,2,50.0,0,0,0,Kevon Looney
Bismack Biyombo,1,3:00,16.2,2,15,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Kevon Looney
Thaddeus Young,2,3:15,15.7,4,17,1,0,0,2,3,66.7,0,1,0.0,0,0,0,Kevon Looney
Jaylin Williams,2,2:55,15.1,0,6,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Kevon Looney
Kevin Porter Jr.,2,3:11,14.7,21,28,3,0,0,8,12,66.7,3,6,50.0,2,2,2,Kevon Looney
Robert Williams III,1,2:51,13.9,2,13,1,2,0,1,1,100.0,0,0,0.0,0,0,0,Kevon Looney
Ben Simmons,2,2:31,13.7,4,26,2,1,0,2,2,100.0,0,0,0.0,0,0,0,Kevon Looney
