Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Joel Embiid,2,7:59,37.4,11,41,2,2,0,4,9,44.4,2,2,100.0,1,2,0,Khem Birch
Nic Claxton,2,3:46,17.8,6,28,1,0,0,3,3,100.0,0,0,0.0,0,0,0,Khem Birch
Moritz Wagner,3,3:50,17.7,4,10,0,1,0,1,3,33.3,0,1,0.0,2,2,0,Khem Birch
Onyeka Okongwu,2,2:17,12.4,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Khem Birch
Domantas Sabonis,1,2:05,9.5,6,17,1,0,0,3,3,100.0,0,0,0.0,0,0,0,Khem Birch
Dewayne Dedmon,2,2:09,9.3,4,7,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Khem Birch
JaVale McGee,1,1:28,9.2,2,8,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Khem Birch
Bol Bol,3,1:49,9.1,2,9,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Khem Birch
Mo Bamba,2,2:11,9.1,3,5,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Khem Birch
Brandon Clarke,1,1:29,9.0,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Khem Birch
Steven Adams,1,1:44,7.9,0,11,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Khem Birch
Zach Collins,1,1:21,7.8,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Khem Birch
Jonas Valanciunas,1,1:19,6.0,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Khem Birch
Paolo Banchero,3,1:10,6.0,3,3,0,2,0,1,1,100.0,0,0,0.0,1,2,0,Khem Birch
Kevon Harris,3,1:25,5.8,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Khem Birch
Gorgui Dieng,1,1:05,5.7,3,4,0,1,0,1,1,100.0,1,1,100.0,0,0,0,Khem Birch
Christian Wood,1,0:51,5.7,3,8,0,0,0,1,2,50.0,0,1,0.0,1,2,0,Khem Birch
Day'Ron Sharpe,1,1:26,5.3,5,5,0,0,0,2,3,66.7,1,1,100.0,0,0,0,Khem Birch
James Harden,2,1:01,5.2,9,9,1,0,0,3,4,75.0,1,1,100.0,2,2,0,Khem Birch
Maxi Kleber,1,0:43,4.5,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Khem Birch
Nikola Jovic,1,0:54,4.3,0,6,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Khem Birch
Markelle Fultz,3,0:60,4.1,0,14,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Khem Birch
Franz Wagner,2,0:30,3.6,2,9,1,0,0,1,2,50.0,0,1,0.0,0,0,0,Khem Birch
De'Anthony Melton,1,0:38,3.6,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Khem Birch
Josh Richardson,1,0:38,3.5,0,2,1,1,0,0,0,0.0,0,0,0.0,0,0,0,Khem Birch
Isaiah Stewart,1,0:48,3.4,3,5,0,0,0,1,1,100.0,0,0,0.0,1,1,1,Khem Birch
De'Andre Hunter,2,0:26,3.1,3,5,0,1,0,1,3,33.3,1,1,100.0,0,0,0,Khem Birch
Dejounte Murray,2,0:27,2.9,0,2,0,0,0,0,3,0.0,0,0,0.0,0,0,0,Khem Birch
Trae Young,1,0:25,2.9,2,4,0,1,0,0,2,0.0,0,1,0.0,2,2,1,Khem Birch
John Collins,2,0:27,2.8,2,5,1,0,0,1,2,50.0,0,1,0.0,0,0,0,Khem Birch
Haywood Highsmith,1,0:44,2.8,0,2,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Khem Birch
Clint Capela,1,0:17,2.8,0,2,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Khem Birch
Admiral Schofield,2,0:43,2.8,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Khem Birch
Ivica Zubac,1,0:38,2.7,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Khem Birch
P.J. Tucker,2,0:52,2.7,0,0,0,1,0,0,1,0.0,0,0,0.0,0,0,0,Khem Birch
Tobias Harris,2,0:14,2.7,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Khem Birch
Dorian Finney-Smith,1,0:27,2.6,2,2,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Khem Birch
Gabe Vincent,2,0:26,2.5,3,3,0,1,0,1,2,50.0,1,1,100.0,0,0,0,Khem Birch
Evan Mobley,1,0:29,2.4,2,5,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Khem Birch
Charles Bassey,1,0:25,2.4,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Khem Birch
Jaren Jackson Jr.,1,0:19,2.2,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Khem Birch
Montrezl Harrell,2,0:26,2.1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Khem Birch
Ja Morant,1,0:28,2.0,4,7,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Khem Birch
