Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Kevin Durant,3,16:43,81.8,24,94,4,0,1,10,15,66.7,1,3,33.3,3,3,2,Kyle Kuzma
Caleb Martin,3,14:57,72.5,12,85,3,1,0,5,9,55.6,2,4,50.0,0,0,0,Kyle Kuzma
Patrick Williams,3,12:50,67.1,2,51,0,2,0,1,3,33.3,0,1,0.0,0,0,0,Kyle Kuzma
P.J. Washington,3,12:14,64.9,14,49,2,1,0,6,11,54.5,1,4,25.0,1,2,1,Kyle Kuzma
LeBron James,2,12:55,63.7,12,60,4,2,0,4,11,36.4,0,4,0.0,4,4,2,Kyle Kuzma
RJ Barrett,2,12:46,61.4,8,55,0,3,1,3,10,30.0,1,2,50.0,1,2,1,Kyle Kuzma
Lauri Markkanen,2,12:33,57.3,13,58,1,1,0,5,10,50.0,3,5,60.0,0,0,0,Kyle Kuzma
Dillon Brooks,2,9:30,44.8,9,35,1,2,0,4,10,40.0,1,5,20.0,0,0,0,Kyle Kuzma
Tyrese Haliburton,3,7:37,42.5,9,46,8,1,1,3,6,50.0,1,2,50.0,2,2,1,Kyle Kuzma
Aaron Gordon,1,7:17,42.1,8,58,1,1,0,4,5,80.0,0,0,0.0,0,0,0,Kyle Kuzma
Paolo Banchero,2,7:20,41.3,9,51,2,1,1,4,7,57.1,1,2,50.0,0,0,0,Kyle Kuzma
Evan Mobley,1,10:14,39.9,6,43,1,1,0,2,4,50.0,0,0,0.0,2,2,0,Kyle Kuzma
Georges Niang,3,8:04,38.0,3,16,0,1,0,1,8,12.5,1,6,16.7,0,0,0,Kyle Kuzma
Torrey Craig,2,7:52,37.9,2,38,0,1,0,1,4,25.0,0,2,0.0,0,0,0,Kyle Kuzma
Mikal Bridges,2,8:05,37.2,4,46,4,0,0,1,4,25.0,0,1,0.0,2,2,1,Kyle Kuzma
Zach LaVine,2,6:29,35.0,7,36,0,2,0,2,7,28.6,1,2,50.0,2,2,0,Kyle Kuzma
