Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Marcus Smart,3,9:52,53.1,4,63,1,3,0,2,4,50.0,0,2,0.0,0,0,0,Kyle Lowry
O.G. Anunoby,3,12:07,52.8,12,43,1,1,0,5,6,83.3,2,2,100.0,0,0,0,Kyle Lowry
Corey Kispert,3,9:47,52.4,5,39,4,1,0,2,4,50.0,1,3,33.3,0,0,0,Kyle Lowry
Derrick White,4,10:03,51.9,12,44,3,0,0,4,10,40.0,1,7,14.3,3,4,2,Kyle Lowry
Kyle Kuzma,3,9:57,50.7,18,54,1,1,1,8,14,57.1,0,4,0.0,2,2,1,Kyle Lowry
Terry Rozier,3,7:50,39.2,8,41,0,1,0,3,10,30.0,2,5,40.0,0,0,0,Kyle Lowry
Grant Williams,4,7:21,38.0,2,49,0,1,0,1,3,33.3,0,1,0.0,0,0,0,Kyle Lowry
Jayson Tatum,4,7:15,37.9,11,47,3,1,0,4,8,50.0,0,1,0.0,3,4,2,Kyle Lowry
Buddy Hield,3,6:50,37.3,4,29,1,0,0,2,3,66.7,0,0,0.0,0,0,0,Kyle Lowry
Torrey Craig,2,8:44,37.3,8,43,0,1,0,3,7,42.9,1,2,50.0,1,2,1,Kyle Lowry
Tyrese Haliburton,3,6:12,37.2,14,43,1,1,0,5,9,55.6,4,8,50.0,0,0,0,Kyle Lowry
Dyson Daniels,2,7:21,37.0,7,46,2,2,0,3,5,60.0,1,2,50.0,0,0,0,Kyle Lowry
Jaden McDaniels,2,5:57,36.8,2,50,2,0,0,1,2,50.0,0,0,0.0,0,0,0,Kyle Lowry
Bennedict Mathurin,3,7:03,33.3,3,35,1,1,1,1,6,16.7,1,4,25.0,0,0,0,Kyle Lowry
Harrison Barnes,2,7:29,32.6,3,41,3,0,1,1,2,50.0,1,1,100.0,0,0,0,Kyle Lowry
Kristaps Porzingis,3,6:12,32.1,9,43,1,0,1,3,9,33.3,0,4,0.0,3,4,2,Kyle Lowry
Andrew Nembhard,3,5:43,31.6,7,37,2,1,0,3,5,60.0,1,1,100.0,0,0,0,Kyle Lowry
Draymond Green,2,6:21,31.5,9,37,0,0,0,4,4,100.0,1,1,100.0,0,1,1,Kyle Lowry
Jalen McDaniels,3,5:53,30.9,5,34,0,1,0,2,5,40.0,1,3,33.3,0,0,0,Kyle Lowry
Stephen Curry,2,4:48,30.8,12,38,4,2,0,5,8,62.5,2,4,50.0,0,0,0,Kyle Lowry
Andrew Wiggins,2,5:33,29.8,7,35,1,0,0,3,4,75.0,1,2,50.0,0,0,0,Kyle Lowry
P.J. Washington,3,4:49,28.9,10,43,2,0,0,4,9,44.4,0,1,0.0,2,2,1,Kyle Lowry
Anthony Edwards,2,5:02,28.5,0,27,4,2,0,0,2,0.0,0,0,0.0,0,1,1,Kyle Lowry
Jaylen Brown,3,5:11,28.3,12,37,0,4,0,4,12,33.3,1,6,16.7,3,4,2,Kyle Lowry
Deni Avdija,3,4:55,28.3,3,36,3,3,0,1,2,50.0,0,0,0.0,1,2,0,Kyle Lowry
Fred VanVleet,3,5:05,28.3,4,30,4,1,1,1,4,25.0,1,1,100.0,1,2,1,Kyle Lowry
Josh Hart,2,5:43,28.3,8,24,2,2,0,3,3,100.0,2,2,100.0,0,0,0,Kyle Lowry
Ayo Dosunmu,1,5:08,27.9,3,21,1,1,0,1,6,16.7,1,2,50.0,0,0,0,Kyle Lowry
Kevin Huerter,2,5:20,26.8,6,26,1,0,0,3,5,60.0,0,1,0.0,0,0,0,Kyle Lowry
