Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Fred VanVleet,3,19:46,90.4,13,80,5,0,0,5,10,50.0,3,6,50.0,0,0,0,Kyrie Irving
Terry Rozier,2,10:39,53.7,14,58,0,0,1,6,12,50.0,1,3,33.3,1,1,1,Kyrie Irving
Tyrese Haliburton,3,9:52,51.5,7,53,9,1,1,3,7,42.9,1,2,50.0,0,0,0,Kyrie Irving
Ayo Dosunmu,2,9:45,48.8,10,46,3,1,0,4,8,50.0,0,2,0.0,2,2,1,Kyrie Irving
Derrick White,3,10:27,46.1,7,38,1,2,0,3,7,42.9,1,3,33.3,0,0,0,Kyrie Irving
Aaron Holiday,2,8:21,45.9,10,39,1,1,0,4,7,57.1,2,3,66.7,0,0,0,Kyrie Irving
Jevon Carter,2,9:37,45.1,2,45,0,2,0,1,4,25.0,0,3,0.0,0,0,0,Kyrie Irving
Bennedict Mathurin,3,9:23,44.9,7,48,0,2,0,3,5,60.0,1,2,50.0,0,0,0,Kyrie Irving
De'Anthony Melton,2,10:23,44.8,5,45,0,0,1,2,6,33.3,1,2,50.0,0,0,0,Kyrie Irving
Killian Hayes,2,8:21,37.0,2,31,2,0,0,1,4,25.0,0,1,0.0,0,0,0,Kyrie Irving
Malcolm Brogdon,3,8:25,36.5,7,37,3,1,1,3,7,42.9,1,2,50.0,0,0,0,Kyrie Irving
Buddy Hield,3,7:24,35.6,9,40,1,1,0,3,10,30.0,3,10,30.0,0,0,0,Kyrie Irving
Ja Morant,1,7:29,33.2,11,37,2,0,2,4,8,50.0,1,2,50.0,2,2,1,Kyrie Irving
Jaylen Brown,2,5:23,32.4,11,51,2,1,0,4,8,50.0,2,3,66.7,1,2,1,Kyrie Irving
CJ McCollum,2,7:24,31.9,18,44,2,2,0,6,8,75.0,2,4,50.0,4,5,2,Kyrie Irving
Darius Garland,1,7:08,31.7,9,31,4,0,0,3,4,75.0,1,1,100.0,2,2,1,Kyrie Irving
Terance Mann,1,5:35,31.5,6,29,2,0,0,2,3,66.7,1,2,50.0,1,2,1,Kyrie Irving
Gary Trent Jr.,3,6:51,30.9,5,31,1,0,0,2,5,40.0,0,1,0.0,1,2,1,Kyrie Irving
Gary Harris,1,6:33,30.8,8,29,2,0,1,3,4,75.0,1,1,100.0,1,1,1,Kyrie Irving
Jose Alvarado,2,5:04,30.0,2,35,1,1,0,1,5,20.0,0,4,0.0,0,0,0,Kyrie Irving
Stephen Curry,1,6:14,29.9,7,22,1,2,0,2,4,50.0,1,3,33.3,2,2,1,Kyrie Irving
Scottie Barnes,3,4:54,29.4,8,26,1,2,1,3,6,50.0,0,0,0.0,2,5,2,Kyrie Irving
Jordan Goodwin,2,5:31,29.0,0,28,4,1,0,0,0,0.0,0,0,0.0,0,0,0,Kyrie Irving
Chris Duarte,2,5:06,27.3,4,21,0,1,0,1,3,33.3,1,3,33.3,1,1,0,Kyrie Irving
Trae Young,1,5:33,26.8,5,26,3,2,0,2,7,28.6,1,2,50.0,0,0,0,Kyrie Irving
John Konchar,2,4:45,26.2,2,29,0,0,0,0,0,0.0,0,0,0.0,2,2,1,Kyrie Irving
