Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Caris LeVert,2,8:39,37.8,9,29,3,1,0,3,5,60.0,3,4,75.0,0,0,0,Landry Shamet
Desmond Bane,2,5:54,29.6,9,37,1,0,0,4,5,80.0,1,1,100.0,0,0,0,Landry Shamet
Darius Garland,1,4:53,26.1,9,22,2,0,0,4,7,57.1,0,1,0.0,1,2,0,Landry Shamet
Jalen Green,3,4:48,25.7,11,41,0,1,0,3,6,50.0,1,4,25.0,4,4,2,Landry Shamet
Dillon Brooks,2,4:09,23.1,9,27,0,1,0,4,4,100.0,1,1,100.0,0,0,0,Landry Shamet
Garrison Mathews,3,4:50,22.8,2,12,0,0,0,0,3,0.0,0,3,0.0,2,2,1,Landry Shamet
Michael Porter Jr.,1,4:17,22.1,2,18,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Landry Shamet
Kevin Porter Jr.,3,4:01,20.7,7,23,3,2,0,3,6,50.0,1,2,50.0,0,0,0,Landry Shamet
Jaylen Nowell,2,3:45,19.5,0,23,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Landry Shamet
Quentin Grimes,1,5:14,19.2,3,21,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Landry Shamet
Jose Alvarado,4,3:55,18.7,3,13,0,1,0,1,2,50.0,1,2,50.0,0,0,0,Landry Shamet
Keon Johnson,2,3:45,18.2,0,10,1,1,0,0,1,0.0,0,0,0.0,0,0,0,Landry Shamet
Max Strus,1,3:36,17.8,6,22,0,0,0,2,3,66.7,2,3,66.7,0,0,0,Landry Shamet
Malik Monk,1,2:58,17.2,2,15,1,0,0,1,3,33.3,0,2,0.0,0,0,0,Landry Shamet
Jamal Murray,1,3:11,16.6,3,15,0,0,0,1,5,20.0,1,4,25.0,0,0,0,Landry Shamet
Kendrick Nunn,1,3:11,15.9,3,11,0,0,0,1,2,50.0,1,1,100.0,0,0,0,Landry Shamet
Bradley Beal,1,2:19,15.5,6,19,1,0,0,2,6,33.3,0,1,0.0,2,2,1,Landry Shamet
Isaac Okoro,2,2:55,14.9,6,12,0,0,0,2,4,50.0,2,3,66.7,0,0,0,Landry Shamet
Donovan Mitchell,2,2:55,14.9,12,21,2,3,0,4,8,50.0,2,6,33.3,2,2,1,Landry Shamet
Jason Preston,1,3:11,14.7,0,10,1,2,0,0,1,0.0,0,0,0.0,0,0,0,Landry Shamet
Victor Oladipo,1,3:20,14.2,2,10,0,1,0,1,3,33.3,0,2,0.0,0,0,0,Landry Shamet
Naji Marshall,4,2:53,14.1,3,13,0,0,0,1,2,50.0,0,0,0.0,1,1,1,Landry Shamet
Nassir Little,2,2:38,13.8,0,15,2,0,0,0,0,0.0,0,0,0.0,0,0,0,Landry Shamet
Devonte' Graham,4,2:42,13.8,0,5,0,1,0,0,2,0.0,0,1,0.0,0,0,0,Landry Shamet
Cedi Osman,2,3:03,13.5,8,18,0,0,0,3,6,50.0,2,4,50.0,0,0,0,Landry Shamet
Shaedon Sharpe,2,3:34,13.3,5,14,0,0,0,2,2,100.0,1,1,100.0,0,0,0,Landry Shamet
Ja Morant,2,2:11,12.8,5,20,2,0,0,2,7,28.6,1,3,33.3,0,0,0,Landry Shamet
D'Angelo Russell,2,2:56,12.6,0,9,2,0,0,0,3,0.0,0,1,0.0,0,0,0,Landry Shamet
CJ McCollum,4,2:13,12.5,6,10,1,1,0,2,3,66.7,1,1,100.0,1,2,1,Landry Shamet
Kenyon Martin Jr.,3,1:57,11.9,4,10,0,1,0,1,1,100.0,0,0,0.0,2,2,1,Landry Shamet
Trey Murphy III,3,2:34,11.5,0,15,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Landry Shamet
Tari Eason,3,2:05,11.5,6,13,0,0,0,3,5,60.0,0,0,0.0,0,0,0,Landry Shamet
Jalen Brunson,1,2:38,11.2,2,12,1,0,0,1,3,33.3,0,0,0.0,0,0,0,Landry Shamet
Jabari Smith Jr.,3,2:08,10.8,3,19,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Landry Shamet
Josh Green,1,2:19,10.7,2,17,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Landry Shamet
Max Christie,1,1:49,10.6,0,11,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Landry Shamet
