Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Jerami Grant,3,14:33,78.6,13,78,1,0,0,6,11,54.5,1,2,50.0,0,0,0,Lauri Markkanen
Eric Gordon,3,11:50,61.4,7,61,1,3,0,3,7,42.9,1,4,25.0,0,0,0,Lauri Markkanen
Anthony Davis,2,12:04,61.4,24,72,1,0,1,11,20,55.0,0,0,0.0,2,2,2,Lauri Markkanen
Marcus Morris Sr.,4,12:21,61.1,2,62,4,1,1,1,8,12.5,0,4,0.0,0,0,0,Lauri Markkanen
Patrick Williams,2,11:31,57.9,4,67,0,1,0,1,4,25.0,1,2,50.0,1,2,1,Lauri Markkanen
Harrison Barnes,2,10:47,56.6,9,76,1,1,0,3,8,37.5,1,4,25.0,2,2,1,Lauri Markkanen
Trey Murphy III,3,11:21,56.4,11,63,0,1,1,4,11,36.4,3,8,37.5,0,0,0,Lauri Markkanen
Deandre Ayton,2,10:33,54.2,18,58,3,0,0,9,16,56.3,0,1,0.0,0,0,0,Lauri Markkanen
Santi Aldama,3,8:23,49.6,3,55,2,0,0,1,4,25.0,0,0,0.0,1,2,1,Lauri Markkanen
Nikola Jokic,2,9:55,45.3,20,57,7,1,0,8,13,61.5,1,2,50.0,3,4,2,Lauri Markkanen
Naji Marshall,3,9:31,44.6,2,41,0,0,0,0,6,0.0,0,1,0.0,2,2,1,Lauri Markkanen
Paul George,1,8:28,42.8,9,36,2,5,0,3,8,37.5,1,5,20.0,2,2,1,Lauri Markkanen
Julius Randle,1,8:44,40.7,5,32,0,3,1,2,6,33.3,0,2,0.0,1,1,1,Lauri Markkanen
Evan Mobley,2,8:04,39.7,2,31,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Lauri Markkanen
Clint Capela,2,6:39,37.6,2,33,0,1,0,1,3,33.3,0,0,0.0,0,0,0,Lauri Markkanen
Ivica Zubac,4,6:48,37.0,10,45,0,1,0,4,7,57.1,0,0,0.0,2,2,1,Lauri Markkanen
Herbert Jones,3,6:12,36.6,1,45,3,0,0,0,0,0.0,0,0,0.0,1,2,1,Lauri Markkanen
