Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Nikola Jokic,3,6:28,34.3,9,49,6,1,0,4,8,50.0,0,0,0.0,1,1,1,Luka Garza
Walker Kessler,2,5:34,32.7,10,40,1,0,0,5,6,83.3,0,0,0.0,0,0,0,Luka Garza
Zeke Nnaji,2,5:08,24.9,3,24,0,2,1,1,2,50.0,1,1,100.0,0,0,0,Luka Garza
Udoka Azubuike,1,4:11,19.4,2,19,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Luka Garza
Bobby Portis,1,2:49,14.6,6,16,0,0,0,2,7,28.6,2,3,66.7,0,0,0,Luka Garza
Drew Eubanks,1,2:43,12.3,2,9,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Luka Garza
Kevon Looney,1,2:23,11.4,2,12,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Luka Garza
Moses Brown,2,2:09,9.9,0,8,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Luka Garza
Precious Achiuwa,1,2:11,9.6,2,6,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Luka Garza
Evan Mobley,1,2:14,8.6,2,2,0,2,0,1,2,50.0,0,0,0.0,0,0,0,Luka Garza
Thaddeus Young,1,1:36,8.5,0,13,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Luka Garza
Vlatko Cancar,3,1:32,8.5,5,14,1,0,0,2,3,66.7,1,1,100.0,0,0,0,Luka Garza
Myles Turner,1,1:21,8.1,7,18,0,0,0,2,3,66.7,1,2,50.0,2,2,0,Luka Garza
Nikola Vucevic,1,1:25,7.3,2,7,1,0,0,1,2,50.0,0,1,0.0,0,0,0,Luka Garza
Alperen Sengun,1,1:24,7.1,0,9,0,0,0,0,0,0.0,0,0,0.0,0,2,1,Luka Garza
Jeff Green,1,1:24,7.1,4,6,0,1,0,2,2,100.0,0,0,0.0,0,0,0,Luka Garza
Giannis Antetokounmpo,1,0:47,6.7,6,11,0,1,0,3,4,75.0,0,0,0.0,0,2,1,Luka Garza
Draymond Green,1,0:53,6.6,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Luka Garza
Bones Hyland,2,0:49,5.8,3,3,0,0,0,1,3,33.3,1,2,50.0,0,0,0,Luka Garza
Franz Wagner,1,1:05,5.5,2,4,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Luka Garza
Talen Horton-Tucker,2,0:54,5.5,2,6,1,1,0,0,2,0.0,0,1,0.0,2,2,1,Luka Garza
Brook Lopez,1,1:12,5.2,4,8,0,0,0,1,1,100.0,0,0,0.0,2,3,2,Luka Garza
Scottie Barnes,1,0:32,5.0,8,13,1,0,0,3,3,100.0,0,0,0.0,2,2,1,Luka Garza
Keon Johnson,2,0:45,4.9,0,4,0,1,0,0,1,0.0,0,0,0.0,0,0,0,Luka Garza
Joe Ingles,1,0:49,4.8,3,3,0,1,0,1,1,100.0,1,1,100.0,0,0,0,Luka Garza
JaVale McGee,1,0:54,4.7,2,10,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Luka Garza
Domantas Sabonis,1,1:09,4.6,2,2,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Luka Garza
Jarrett Allen,1,0:57,4.6,2,4,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Luka Garza
Aaron Gordon,3,0:59,4.4,0,2,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Luka Garza
Jack White,1,0:48,4.4,2,4,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Luka Garza
Derrick Jones Jr.,1,0:56,4.4,3,11,0,0,0,1,1,100.0,0,0,0.0,1,1,1,Luka Garza
Paolo Banchero,1,0:50,4.3,1,6,0,0,0,0,0,0.0,0,0,0.0,1,2,1,Luka Garza
Jamal Murray,2,0:53,4.1,2,5,0,0,0,1,5,20.0,0,0,0.0,0,0,0,Luka Garza
Trendon Watford,1,0:42,4.0,3,6,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Luka Garza
Ish Smith,1,0:33,3.9,0,3,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Luka Garza
Peyton Watson,1,0:47,3.7,4,6,0,0,0,2,3,66.7,0,0,0.0,0,0,0,Luka Garza
Moritz Wagner,1,0:42,3.5,0,3,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Luka Garza
Bruce Brown,3,0:27,3.5,5,10,0,0,0,2,2,100.0,1,1,100.0,0,0,0,Luka Garza
Tony Bradley,1,0:26,3.4,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Luka Garza
Damian Lillard,1,0:23,3.4,2,4,0,0,0,0,0,0.0,0,0,0.0,2,2,0,Luka Garza
Ochai Agbaji,2,0:28,3.3,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Luka Garza
Pascal Siakam,1,0:23,3.2,0,3,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Luka Garza
Sandro Mamukelashvili,1,0:40,3.1,0,0,0,1,0,0,1,0.0,0,0,0.0,0,0,0,Luka Garza
Justise Winslow,1,0:35,2.9,0,2,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Luka Garza
Collin Sexton,2,0:21,2.9,0,0,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Luka Garza
Jabari Walker,2,0:24,2.9,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Luka Garza
Jarred Vanderbilt,1,0:32,2.8,0,2,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Luka Garza
Jusuf Nurkic,1,0:29,2.8,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Luka Garza
Cole Anthony,1,0:35,2.7,2,7,2,0,0,1,1,100.0,0,0,0.0,0,0,0,Luka Garza
Rudy Gay,2,0:28,2.6,3,6,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Luka Garza
