Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Eric Gordon,3,13:34,64.9,0,61,0,1,0,0,1,0.0,0,0,0.0,0,0,0,Luke Kennard
Jalen Green,3,5:14,33.8,5,33,0,1,0,2,6,33.3,0,3,0.0,1,4,1,Luke Kennard
Jalen McDaniels,2,5:51,32.7,2,27,0,1,0,1,4,25.0,0,1,0.0,0,0,0,Luke Kennard
Max Strus,2,5:47,30.4,3,27,0,1,0,1,4,25.0,1,3,33.3,0,0,0,Luke Kennard
Malaki Branham,2,5:58,28.3,3,24,0,0,0,1,3,33.3,1,2,50.0,0,0,0,Luke Kennard
Jaden McDaniels,2,5:16,26.4,6,38,1,1,0,2,3,66.7,0,1,0.0,2,2,1,Luke Kennard
Austin Reaves,2,5:13,25.5,6,21,1,0,0,2,2,100.0,0,0,0.0,2,2,0,Luke Kennard
Joe Harris,2,4:45,23.8,0,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Luke Kennard
Corey Kispert,2,5:14,23.5,0,15,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Luke Kennard
Sam Hauser,2,4:21,21.5,2,20,1,0,0,1,4,25.0,0,3,0.0,0,0,0,Luke Kennard
Malachi Flynn,1,3:36,19.9,2,15,0,0,0,1,3,33.3,0,1,0.0,0,0,0,Luke Kennard
Grant Williams,2,3:00,19.3,0,11,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Luke Kennard
Deni Avdija,2,3:32,17.8,0,19,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Luke Kennard
De'Andre Hunter,1,3:43,17.7,2,12,0,0,0,0,1,0.0,0,1,0.0,2,2,1,Luke Kennard
Kenrich Williams,2,3:39,17.6,2,7,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Luke Kennard
Kenyon Martin Jr.,3,3:18,16.1,2,16,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Luke Kennard
Darius Bazley,2,2:54,16.0,2,19,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Luke Kennard
Kevin Porter Jr.,3,2:54,15.7,2,16,1,0,0,1,3,33.3,0,0,0.0,0,0,0,Luke Kennard
Keegan Murray,1,3:35,15.5,4,7,0,1,0,2,3,66.7,0,1,0.0,0,0,0,Luke Kennard
Alec Burks,1,2:32,15.3,2,9,0,1,0,0,2,0.0,0,2,0.0,2,2,1,Luke Kennard
Bryce McGowens,1,3:08,15.3,0,13,0,0,0,0,2,0.0,0,0,0.0,0,0,0,Luke Kennard
Aaron Wiggins,2,2:12,13.6,2,9,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Luke Kennard
Troy Brown Jr.,1,2:41,13.1,5,14,0,0,0,2,2,100.0,1,1,100.0,0,0,0,Luke Kennard
Wendell Moore Jr.,1,2:33,13.1,2,9,0,0,0,0,0,0.0,0,0,0.0,2,2,1,Luke Kennard
Yuta Watanabe,1,2:18,12.4,0,14,0,1,0,0,2,0.0,0,1,0.0,0,0,0,Luke Kennard
Ayo Dosunmu,1,2:24,12.3,0,15,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Luke Kennard
Anthony Gill,2,2:34,12.2,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Luke Kennard
Jordan Goodwin,2,2:08,12.2,2,6,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Luke Kennard
Bruce Brown,1,2:09,12.0,3,19,1,0,0,1,2,50.0,1,2,50.0,0,0,0,Luke Kennard
Victor Oladipo,2,1:58,11.9,6,19,1,0,0,2,3,66.7,0,1,0.0,2,2,1,Luke Kennard
Killian Hayes,1,2:42,11.8,0,20,4,0,0,0,2,0.0,0,1,0.0,0,0,0,Luke Kennard
Gordon Hayward,1,1:30,11.7,2,14,2,0,0,1,1,100.0,0,0,0.0,0,0,0,Luke Kennard
Kentavious Caldwell-Pope,1,2:10,11.6,0,10,3,0,0,0,1,0.0,0,1,0.0,0,0,0,Luke Kennard
Naji Marshall,1,2:32,11.1,2,12,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Luke Kennard
Matt Ryan,2,2:05,11.1,3,6,0,0,0,1,3,33.3,1,2,50.0,0,0,0,Luke Kennard
Tyler Herro,2,2:02,11.0,5,14,0,0,0,2,3,66.7,1,2,50.0,0,0,0,Luke Kennard
Luguentz Dort,2,2:17,10.8,0,14,2,0,0,0,3,0.0,0,3,0.0,0,0,0,Luke Kennard
Georges Niang,1,2:18,10.8,0,6,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Luke Kennard
Kyle Kuzma,2,2:13,10.7,7,13,1,0,0,3,5,60.0,1,1,100.0,0,0,0,Luke Kennard
Caleb Martin,1,2:19,10.5,2,8,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Luke Kennard
Theo Maledon,2,1:21,10.4,3,10,1,0,0,1,4,25.0,0,0,0.0,1,2,1,Luke Kennard
Derrick White,2,1:55,10.4,2,12,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Luke Kennard
D'Angelo Russell,1,1:21,10.2,2,6,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Luke Kennard
Alperen Sengun,3,1:56,10.1,4,11,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Luke Kennard
Saddiq Bey,1,2:02,10.0,3,10,1,0,0,1,4,25.0,1,2,50.0,0,0,0,Luke Kennard
Isaac Okoro,2,2:05,10.0,0,10,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Luke Kennard
Garrison Mathews,2,2:11,9.9,0,8,0,1,0,0,2,0.0,0,2,0.0,0,0,0,Luke Kennard
Caris LeVert,2,2:08,9.9,3,8,1,0,0,1,2,50.0,1,2,50.0,0,0,0,Luke Kennard
Torrey Craig,1,1:50,9.8,3,10,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Luke Kennard
Malcolm Brogdon,1,1:44,9.8,2,11,2,2,0,0,0,0.0,0,0,0.0,2,2,1,Luke Kennard
