Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Day'Ron Sharpe,2,5:06,26.1,2,25,0,1,0,1,3,33.3,0,0,0.0,0,0,0,Luke Kornet
Rui Hachimura,2,6:07,25.0,4,10,0,0,1,2,8,25.0,0,3,0.0,0,1,1,Luke Kornet
Russell Westbrook,2,4:13,24.0,6,19,1,0,1,3,13,23.1,0,3,0.0,0,0,0,Luke Kornet
Thaddeus Young,2,4:46,22.9,3,28,1,0,1,1,6,16.7,1,2,50.0,0,0,0,Luke Kornet
Jalen Duren,2,4:39,21.6,4,36,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Luke Kornet
Onyeka Okongwu,1,4:02,21.3,0,18,3,0,0,0,1,0.0,0,0,0.0,0,0,0,Luke Kornet
Jock Landale,2,3:49,20.9,3,21,1,0,0,1,4,25.0,0,1,0.0,1,1,1,Luke Kornet
Mason Plumlee,3,3:50,20.3,1,27,3,0,0,0,1,0.0,0,0,0.0,1,2,1,Luke Kornet
Nick Richards,2,3:59,19.7,3,10,0,0,0,1,2,50.0,0,0,0.0,1,2,1,Luke Kornet
Evan Mobley,1,4:37,19.6,8,24,1,0,0,4,6,66.7,0,1,0.0,0,0,0,Luke Kornet
Naji Marshall,2,3:43,18.1,15,19,0,0,1,5,10,50.0,3,6,50.0,2,2,1,Luke Kornet
Bam Adebayo,3,3:17,17.7,11,27,0,2,0,5,8,62.5,0,0,0.0,1,2,1,Luke Kornet
Jarrett Allen,1,3:33,17.6,2,17,2,0,0,1,2,50.0,0,0,0.0,0,0,0,Luke Kornet
Anthony Gill,2,4:15,17.2,5,22,1,0,1,2,3,66.7,0,0,0.0,1,2,1,Luke Kornet
Anthony Davis,2,2:33,15.9,10,23,1,2,0,4,5,80.0,0,0,0.0,2,2,1,Luke Kornet
Mark Williams,2,3:20,15.5,6,20,0,0,0,2,3,66.7,0,0,0.0,2,2,1,Luke Kornet
Bol Bol,3,2:38,14.3,2,8,0,0,0,1,4,25.0,0,1,0.0,0,0,0,Luke Kornet
Deandre Ayton,2,2:59,14.0,2,9,0,0,0,1,3,33.3,0,0,0.0,0,0,0,Luke Kornet
Daniel Gafford,2,2:49,13.3,4,13,0,0,0,2,3,66.7,0,0,0.0,0,0,0,Luke Kornet
John Wall,1,2:44,12.9,4,6,0,0,1,2,4,50.0,0,0,0.0,0,0,0,Luke Kornet
Haywood Highsmith,3,2:17,12.4,0,6,0,0,0,0,3,0.0,0,0,0.0,0,0,0,Luke Kornet
Udonis Haslem,1,2:30,12.2,0,6,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Luke Kornet
Jonas Valanciunas,2,2:01,11.9,4,15,3,1,0,2,3,66.7,0,0,0.0,0,0,0,Luke Kornet
Joel Embiid,1,2:28,11.7,9,20,0,0,0,4,5,80.0,1,1,100.0,0,0,0,Luke Kornet
Patrick Williams,4,1:51,11.3,8,13,0,0,0,3,6,50.0,2,3,66.7,0,0,0,Luke Kornet
Troy Brown Jr.,2,1:50,10.9,0,7,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Luke Kornet
Larry Nance Jr.,2,2:21,10.9,4,8,1,1,0,2,3,66.7,0,0,0.0,0,0,0,Luke Kornet
Alex Caruso,2,2:17,10.8,3,11,1,1,0,1,2,50.0,1,2,50.0,0,0,0,Luke Kornet
Moritz Wagner,3,1:59,10.7,4,11,0,1,0,1,2,50.0,0,0,0.0,2,2,1,Luke Kornet
Ben Simmons,1,1:54,10.6,0,6,1,1,0,0,3,0.0,0,0,0.0,0,0,0,Luke Kornet
Precious Achiuwa,1,1:52,10.4,3,9,0,1,1,1,4,25.0,0,0,0.0,1,1,1,Luke Kornet
Domantas Sabonis,1,2:21,10.1,2,2,1,1,0,1,2,50.0,0,0,0.0,0,0,0,Luke Kornet
DeAndre Jordan,1,2:25,9.9,2,8,0,0,1,1,2,50.0,0,0,0.0,0,0,0,Luke Kornet
Dario Saric,2,1:31,9.6,4,10,0,1,0,2,4,50.0,0,1,0.0,0,0,0,Luke Kornet
Hamidou Diallo,2,1:44,9.3,2,5,0,0,0,1,4,25.0,0,1,0.0,0,0,0,Luke Kornet
Draymond Green,2,1:44,8.8,4,7,0,1,0,2,3,66.7,0,1,0.0,0,0,0,Luke Kornet
Thomas Bryant,2,1:26,8.8,2,17,0,0,0,0,0,0.0,0,0,0.0,2,2,1,Luke Kornet
P.J. Tucker,1,1:30,8.7,0,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Luke Kornet
Jalen Johnson,1,1:46,8.7,2,8,0,0,1,1,4,25.0,0,0,0.0,0,1,1,Luke Kornet
Bismack Biyombo,1,1:37,8.6,0,8,0,1,0,0,2,0.0,0,0,0.0,0,0,0,Luke Kornet
Isaiah Stewart,2,1:47,8.5,0,14,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Luke Kornet
Jaylin Williams,2,1:47,8.3,4,10,2,0,0,2,3,66.7,0,1,0.0,0,0,0,Luke Kornet
Jaden McDaniels,1,1:28,8.2,4,11,0,0,0,2,4,50.0,0,0,0.0,0,0,0,Luke Kornet
Caleb Martin,2,1:45,8.1,5,5,0,0,0,2,3,66.7,1,1,100.0,0,0,0,Luke Kornet
