Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Luke Kennard,2,6:59,33.5,7,56,0,0,0,3,4,75.0,1,1,100.0,0,0,0,Malaki Branham
Fred VanVleet,1,6:16,32.0,4,34,2,1,0,0,1,0.0,0,1,0.0,4,4,1,Malaki Branham
Eric Gordon,2,6:02,31.5,5,21,1,2,0,2,7,28.6,1,3,33.3,0,0,0,Malaki Branham
Immanuel Quickley,2,6:44,30.4,5,29,1,0,0,2,5,40.0,1,2,50.0,0,0,0,Malaki Branham
Damion Lee,2,5:35,28.1,7,39,0,1,0,3,4,75.0,1,2,50.0,0,0,0,Malaki Branham
Dennis Schroder,4,4:31,25.4,6,22,0,0,0,1,3,33.3,1,1,100.0,3,4,0,Malaki Branham
Norman Powell,3,5:06,25.3,12,35,1,1,0,5,7,71.4,2,2,100.0,0,0,0,Malaki Branham
Ayo Dosunmu,1,5:16,25.0,6,28,1,1,0,3,4,75.0,0,0,0.0,0,0,0,Malaki Branham
Miles McBride,2,4:54,24.2,5,27,0,0,0,2,2,100.0,1,1,100.0,0,0,0,Malaki Branham
Shaedon Sharpe,2,5:10,23.8,2,37,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Malaki Branham
Victor Oladipo,2,4:38,23.0,2,23,0,0,0,1,3,33.3,0,2,0.0,0,0,0,Malaki Branham
John Konchar,2,4:18,22.6,0,34,0,0,1,0,1,0.0,0,0,0.0,0,0,0,Malaki Branham
Malik Monk,2,4:19,22.4,5,21,1,1,0,2,5,40.0,1,1,100.0,0,1,1,Malaki Branham
Kendrick Nunn,4,4:18,22.2,7,29,0,0,0,3,4,75.0,1,1,100.0,0,0,0,Malaki Branham
De'Aaron Fox,2,3:56,22.2,6,25,4,1,0,2,7,28.6,0,1,0.0,2,2,1,Malaki Branham
De'Anthony Melton,1,4:23,21.1,0,16,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Malaki Branham
Tre Mann,2,4:07,20.9,0,18,1,0,0,0,2,0.0,0,2,0.0,0,0,0,Malaki Branham
Donte DiVincenzo,1,4:02,19.9,3,29,1,0,0,1,3,33.3,1,3,33.3,0,0,0,Malaki Branham
Patty Mills,2,3:42,19.5,2,21,1,1,0,1,3,33.3,0,1,0.0,0,0,0,Malaki Branham
Malcolm Brogdon,1,3:20,19.0,12,24,2,0,0,5,7,71.4,2,3,66.7,0,0,0,Malaki Branham
Kevin Huerter,2,3:31,17.6,2,9,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Malaki Branham
McKinley Wright IV,1,3:37,17.1,0,16,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Malaki Branham
Jalen Green,2,4:11,16.7,4,18,1,0,0,0,2,0.0,0,0,0.0,4,4,0,Malaki Branham
Alec Burks,1,2:45,16.6,0,22,1,0,0,0,3,0.0,0,1,0.0,0,0,0,Malaki Branham
Mike Conley,1,2:57,16.2,9,28,1,1,0,3,5,60.0,3,4,75.0,0,0,0,Malaki Branham
Tyus Jones,2,2:51,15.9,4,12,1,0,0,2,2,100.0,0,0,0.0,0,0,0,Malaki Branham
Devonte' Graham,2,2:32,15.7,5,22,1,0,1,1,4,25.0,1,3,33.3,2,2,0,Malaki Branham
Max Christie,2,3:10,14.9,2,9,0,0,0,0,0,0.0,0,0,0.0,2,2,1,Malaki Branham
Edmond Sumner,2,3:12,14.8,0,13,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Malaki Branham
Mikal Bridges,2,2:45,14.8,3,19,1,0,0,1,2,50.0,1,1,100.0,0,0,0,Malaki Branham
CJ McCollum,2,2:18,14.7,2,21,3,1,0,1,2,50.0,0,1,0.0,0,0,0,Malaki Branham
Reggie Jackson,3,2:23,14.7,6,19,1,2,0,2,4,50.0,0,1,0.0,2,2,1,Malaki Branham
Austin Reaves,2,3:16,14.6,2,14,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Malaki Branham
Caleb Martin,1,3:10,14.5,3,14,0,0,0,0,1,0.0,0,1,0.0,3,3,1,Malaki Branham
Joe Harris,2,2:39,14.5,0,11,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Malaki Branham
Davion Mitchell,2,2:57,14.3,2,18,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Malaki Branham
Taurean Prince,1,2:33,13.5,5,19,0,0,0,2,2,100.0,1,1,100.0,0,0,0,Malaki Branham
Jose Alvarado,2,2:17,13.3,0,14,2,0,0,0,0,0.0,0,0,0.0,0,0,0,Malaki Branham
Daishen Nix,2,2:42,13.2,2,14,1,1,0,1,2,50.0,0,1,0.0,0,0,0,Malaki Branham
Jordan Poole,1,2:02,13.1,4,19,2,0,0,1,1,100.0,0,0,0.0,2,2,1,Malaki Branham
Gary Trent Jr.,2,2:32,12.8,2,21,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Malaki Branham
Dyson Daniels,2,2:33,12.6,2,11,0,0,0,1,3,33.3,0,1,0.0,0,0,0,Malaki Branham
Isaiah Joe,2,2:19,12.4,2,21,0,0,0,1,3,33.3,0,2,0.0,0,0,0,Malaki Branham
Kevin Porter Jr.,2,2:09,12.3,0,14,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Malaki Branham
Killian Hayes,1,2:11,11.8,2,4,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Malaki Branham
Dillon Brooks,2,1:52,11.0,2,19,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Malaki Branham
Jalen Williams,2,1:44,10.8,3,18,0,1,0,1,3,33.3,0,0,0.0,1,3,2,Malaki Branham
Troy Brown Jr.,3,1:36,10.6,0,9,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Malaki Branham
Tyrese Maxey,1,2:39,10.6,2,11,2,0,0,0,1,0.0,0,0,0.0,2,2,1,Malaki Branham
T.J. Warren,2,1:38,10.4,4,21,0,0,0,1,1,100.0,0,0,0.0,2,2,1,Malaki Branham
