Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Tyus Jones,4,9:53,50.8,13,57,4,0,1,5,11,45.5,3,6,50.0,0,0,0,Malik Monk
Malik Beasley,2,9:05,42.0,12,34,1,2,0,5,11,45.5,1,5,20.0,1,1,1,Malik Monk
Juancho Hernangomez,2,9:15,40.0,4,50,1,0,0,2,4,50.0,0,2,0.0,0,0,0,Malik Monk
Josh Richardson,3,7:44,38.7,15,47,1,1,0,6,8,75.0,2,4,50.0,1,1,1,Malik Monk
Jordan Poole,3,7:32,37.9,3,29,1,0,0,1,7,14.3,1,3,33.3,0,0,0,Malik Monk
Eric Gordon,4,7:06,37.6,7,41,2,1,0,2,3,66.7,0,1,0.0,3,3,2,Malik Monk
Donte DiVincenzo,2,6:35,32.8,5,35,0,2,0,1,1,100.0,1,1,100.0,2,2,1,Malik Monk
Shake Milton,2,5:48,32.2,6,28,0,0,0,3,5,60.0,0,0,0.0,0,0,0,Malik Monk
Terrence Ross,2,5:52,31.5,0,20,0,1,0,0,2,0.0,0,1,0.0,0,0,0,Malik Monk
Klay Thompson,3,5:03,30.3,0,37,4,0,0,0,6,0.0,0,4,0.0,0,0,0,Malik Monk
Austin Rivers,2,6:05,29.9,0,24,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Malik Monk
Josh Christopher,3,5:53,29.5,2,22,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Malik Monk
Alec Burks,2,5:41,29.4,5,34,1,2,0,1,2,50.0,0,1,0.0,3,3,1,Malik Monk
AJ Griffin,2,5:17,27.9,4,30,1,0,0,1,2,50.0,0,1,0.0,2,2,1,Malik Monk
Christian Braun,2,6:07,27.3,11,27,0,1,0,5,5,100.0,1,1,100.0,0,0,0,Malik Monk
Caris LeVert,2,5:32,26.1,8,16,0,1,0,4,8,50.0,0,3,0.0,0,0,0,Malik Monk
Aaron Holiday,2,4:46,25.5,6,30,0,0,0,2,2,100.0,2,2,100.0,0,0,0,Malik Monk
Jake LaRavia,4,4:09,24.3,0,24,1,1,0,0,0,0.0,0,0,0.0,0,0,0,Malik Monk
Corey Kispert,1,4:41,23.8,0,25,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Malik Monk
Kentavious Caldwell-Pope,2,5:36,23.7,3,32,1,0,0,1,1,100.0,1,1,100.0,0,0,0,Malik Monk
Jalen McDaniels,2,4:45,23.4,2,28,1,1,0,0,1,0.0,0,1,0.0,2,2,0,Malik Monk
Jae'Sean Tate,4,4:53,23.4,8,29,1,0,0,4,8,50.0,0,1,0.0,0,0,0,Malik Monk
John Konchar,3,4:34,22.5,0,25,1,0,0,0,3,0.0,0,2,0.0,0,0,0,Malik Monk
Gary Trent Jr.,2,5:10,22.4,2,23,2,0,0,1,2,50.0,0,1,0.0,0,0,0,Malik Monk
Buddy Hield,2,5:12,22.4,6,20,1,2,0,2,4,50.0,2,4,50.0,0,0,0,Malik Monk
T.J. McConnell,2,3:45,21.0,2,17,5,1,1,1,3,33.3,0,0,0.0,0,0,0,Malik Monk
Georges Niang,2,4:19,20.9,10,32,0,0,0,4,4,100.0,2,2,100.0,0,0,0,Malik Monk
Jaden McDaniels,2,4:44,20.6,5,30,2,0,0,2,3,66.7,0,0,0.0,1,1,1,Malik Monk
Kendrick Nunn,2,3:54,20.5,3,28,0,0,0,1,2,50.0,1,1,100.0,0,0,0,Malik Monk
Dillon Brooks,4,3:39,20.2,7,17,0,2,0,3,4,75.0,1,1,100.0,0,0,0,Malik Monk
Tari Eason,4,4:33,19.8,0,19,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Malik Monk
Garrison Mathews,2,4:07,19.6,11,24,1,0,0,4,5,80.0,3,4,75.0,0,0,0,Malik Monk
Gabe Vincent,2,4:12,19.5,1,17,0,0,0,0,3,0.0,0,3,0.0,1,1,0,Malik Monk
Jaylen Nowell,2,4:25,19.2,2,13,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Malik Monk
Bones Hyland,2,3:44,18.2,0,8,2,0,0,0,2,0.0,0,2,0.0,0,0,0,Malik Monk
Kevin Knox II,2,3:33,18.1,6,23,1,0,0,2,3,66.7,2,2,100.0,0,0,0,Malik Monk
Landry Shamet,1,3:35,17.9,6,22,0,0,0,2,4,50.0,2,4,50.0,0,0,0,Malik Monk
Andrew Nembhard,2,3:18,17.9,3,19,2,0,0,1,2,50.0,1,2,50.0,0,0,0,Malik Monk
David Roddy,4,2:48,17.2,0,21,1,0,0,0,2,0.0,0,1,0.0,0,0,0,Malik Monk
