Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Lauri Markkanen,4,16:08,77.1,15,79,2,3,0,6,11,54.5,2,4,50.0,1,1,1,Marcus Morris Sr
Jabari Smith Jr.,3,14:55,73.7,2,56,0,0,0,1,4,25.0,0,2,0.0,0,0,0,Marcus Morris Sr
P.J. Washington,2,10:16,55.5,5,47,3,2,1,2,6,33.3,1,3,33.3,0,0,0,Marcus Morris Sr
Reggie Bullock,4,10:55,49.7,6,42,0,0,0,2,4,50.0,2,4,50.0,0,0,0,Marcus Morris Sr
Dorian Finney-Smith,2,10:09,45.7,6,38,0,1,0,2,6,33.3,2,5,40.0,0,0,0,Marcus Morris Sr
Caleb Martin,2,10:08,44.8,5,42,1,1,0,2,4,50.0,1,2,50.0,0,0,0,Marcus Morris Sr
Deni Avdija,2,8:52,43.0,9,37,2,2,0,2,4,50.0,1,1,100.0,4,4,2,Marcus Morris Sr
LeBron James,3,8:17,41.7,9,26,2,1,1,4,11,36.4,1,3,33.3,0,1,1,Marcus Morris Sr
Jeremy Sochan,3,8:35,40.6,5,41,1,3,0,2,4,50.0,1,2,50.0,0,0,0,Marcus Morris Sr
Aaron Gordon,3,7:35,38.8,11,62,4,1,0,3,4,75.0,1,2,50.0,4,4,3,Marcus Morris Sr
Kenyon Martin Jr.,3,7:16,38.6,5,32,0,0,0,2,4,50.0,1,3,33.3,0,0,0,Marcus Morris Sr
Kelly Olynyk,3,7:01,37.5,15,48,3,0,1,5,6,83.3,3,3,100.0,2,2,1,Marcus Morris Sr
Kyle Anderson,2,7:11,34.8,0,33,2,1,0,0,1,0.0,0,1,0.0,0,0,0,Marcus Morris Sr
Saddiq Bey,2,7:21,32.6,6,25,1,0,0,2,5,40.0,2,4,50.0,0,0,0,Marcus Morris Sr
Keldon Johnson,3,6:06,32.4,8,39,1,0,0,4,9,44.4,0,1,0.0,0,0,0,Marcus Morris Sr
Harrison Barnes,2,5:58,31.5,3,31,0,0,0,1,2,50.0,0,0,0.0,1,4,2,Marcus Morris Sr
Michael Porter Jr.,2,6:02,30.8,11,35,2,1,0,4,8,50.0,1,3,33.3,2,2,1,Marcus Morris Sr
Keita Bates-Diop,2,6:41,30.7,7,30,0,0,0,3,3,100.0,1,1,100.0,0,0,0,Marcus Morris Sr
John Collins,1,5:04,29.9,5,30,0,0,0,2,3,66.7,1,1,100.0,0,0,0,Marcus Morris Sr
Aaron Nesmith,2,5:29,28.8,2,36,2,0,1,1,3,33.3,0,1,0.0,0,0,0,Marcus Morris Sr
Luka Doncic,3,6:06,28.4,24,46,1,2,1,10,19,52.6,2,5,40.0,2,3,2,Marcus Morris Sr
Tim Hardaway Jr.,4,5:35,28.2,8,31,1,0,0,3,8,37.5,2,5,40.0,0,0,0,Marcus Morris Sr
Isaiah Stewart,1,5:38,28.0,10,34,0,0,0,4,4,100.0,1,1,100.0,1,1,1,Marcus Morris Sr
P.J. Tucker,2,5:27,25.8,0,30,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Marcus Morris Sr
Anthony Davis,2,4:52,25.7,6,25,0,0,0,3,4,75.0,0,0,0.0,0,0,0,Marcus Morris Sr
Julius Randle,1,4:47,24.9,4,21,1,1,0,2,5,40.0,0,3,0.0,0,0,0,Marcus Morris Sr
Mikal Bridges,2,4:31,23.6,6,30,0,0,0,3,5,60.0,0,1,0.0,0,0,0,Marcus Morris Sr
Marcus Smart,2,3:60,22.7,2,21,4,3,0,1,3,33.3,0,1,0.0,0,0,0,Marcus Morris Sr
Tobias Harris,2,3:46,22.5,10,32,1,0,0,4,7,57.1,2,5,40.0,0,0,0,Marcus Morris Sr
Brook Lopez,1,4:03,22.1,4,13,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Marcus Morris Sr
Dwight Powell,4,4:12,21.4,3,34,2,1,0,1,1,100.0,0,0,0.0,1,2,1,Marcus Morris Sr
Corey Kispert,2,3:27,21.3,0,17,0,0,1,0,5,0.0,0,2,0.0,0,0,0,Marcus Morris Sr
Malik Beasley,4,3:26,20.7,3,21,0,0,0,1,4,25.0,1,4,25.0,0,0,0,Marcus Morris Sr
Jalen Smith,2,3:20,20.2,2,10,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Marcus Morris Sr
Royce O'Neale,2,4:29,19.9,6,19,0,0,0,2,3,66.7,2,3,66.7,0,0,0,Marcus Morris Sr
Nikola Jokic,2,4:17,19.3,0,22,3,0,0,0,2,0.0,0,0,0.0,0,0,0,Marcus Morris Sr
Keegan Murray,2,3:34,19.1,2,19,1,0,0,1,3,33.3,0,2,0.0,0,0,0,Marcus Morris Sr
Christian Wood,2,3:60,19.0,8,28,0,1,0,2,2,100.0,0,0,0.0,4,4,1,Marcus Morris Sr
Joel Embiid,2,4:26,18.9,7,14,2,1,0,3,6,50.0,1,3,33.3,0,0,0,Marcus Morris Sr
Jimmy Butler,2,4:04,18.9,2,41,3,0,0,1,1,100.0,0,0,0.0,0,0,0,Marcus Morris Sr
Jarrett Allen,1,4:00,18.8,2,17,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Marcus Morris Sr
Torrey Craig,2,3:23,18.7,5,31,0,0,0,2,4,50.0,1,2,50.0,0,0,0,Marcus Morris Sr
Jordan Clarkson,4,3:28,18.7,4,29,2,1,0,1,4,25.0,0,3,0.0,2,3,1,Marcus Morris Sr
Jonas Valanciunas,1,4:05,18.6,1,14,1,3,0,0,1,0.0,0,1,0.0,1,2,1,Marcus Morris Sr
Anthony Edwards,2,2:59,18.5,8,27,2,0,0,4,9,44.4,0,3,0.0,0,0,0,Marcus Morris Sr
Al Horford,1,3:43,18.3,2,18,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Marcus Morris Sr
Kevin Porter Jr.,3,3:24,18.1,6,34,6,1,0,2,5,40.0,0,2,0.0,2,3,2,Marcus Morris Sr
Scottie Barnes,1,3:12,18.1,2,15,4,1,0,1,1,100.0,0,0,0.0,0,0,0,Marcus Morris Sr
Kentavious Caldwell-Pope,3,3:12,17.8,3,16,1,0,0,1,1,100.0,0,0,0.0,1,2,1,Marcus Morris Sr
Jerami Grant,1,3:25,17.8,8,18,1,1,0,4,7,57.1,0,1,0.0,0,0,0,Marcus Morris Sr
