Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Trae Young,3,14:29,82.3,13,101,21,4,0,6,11,54.5,0,2,0.0,1,1,1,Markelle Fultz
Fred VanVleet,3,12:43,63.1,13,51,4,3,0,4,9,44.4,3,8,37.5,2,4,1,Markelle Fultz
James Harden,2,9:08,47.7,12,44,5,2,0,4,5,80.0,2,3,66.7,2,2,1,Markelle Fultz
Marcus Smart,2,7:21,42.8,5,42,4,2,0,2,4,50.0,1,2,50.0,0,0,0,Markelle Fultz
Jaylen Brown,3,7:04,41.1,14,45,0,5,0,6,10,60.0,2,5,40.0,0,0,0,Markelle Fultz
Bruce Brown,2,6:32,36.9,2,47,5,2,0,1,1,100.0,0,0,0.0,0,0,0,Markelle Fultz
Damian Lillard,1,7:38,34.9,3,32,3,2,0,1,4,25.0,1,3,33.3,0,0,0,Markelle Fultz
Bojan Bogdanovic,1,7:01,34.1,4,41,4,1,0,2,7,28.6,0,2,0.0,0,0,0,Markelle Fultz
Derrick White,3,6:53,33.7,5,16,2,1,0,2,8,25.0,1,3,33.3,0,0,0,Markelle Fultz
Jalen Brunson,1,6:20,30.0,6,23,2,1,0,3,4,75.0,0,0,0.0,0,1,1,Markelle Fultz
Kristaps Porzingis,2,5:13,28.6,7,25,1,0,0,3,7,42.9,1,2,50.0,0,0,0,Markelle Fultz
D'Angelo Russell,1,4:54,27.6,5,24,3,1,0,2,10,20.0,1,9,11.1,0,0,0,Markelle Fultz
Kentavious Caldwell-Pope,2,4:45,26.6,3,25,1,0,0,1,3,33.3,1,2,50.0,0,0,0,Markelle Fultz
Monte Morris,2,5:05,25.0,5,33,3,0,0,2,2,100.0,1,1,100.0,0,0,0,Markelle Fultz
Dejounte Murray,2,5:15,24.6,5,21,2,2,0,1,2,50.0,1,1,100.0,2,3,1,Markelle Fultz
LaMelo Ball,1,4:56,24.5,5,25,3,0,0,2,7,28.6,1,3,33.3,0,0,0,Markelle Fultz
