Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Kristaps Porzingis,4,25:10,125.9,24,117,10,5,1,8,25,32.0,3,14,21.4,5,8,2,Mason Plumlee
Nikola Vucevic,3,22:19,124.6,20,94,6,5,1,8,22,36.4,2,9,22.2,2,2,1,Mason Plumlee
Bam Adebayo,3,24:14,118.5,40,137,3,8,0,19,32,59.4,0,0,0.0,2,2,1,Mason Plumlee
Nic Claxton,3,21:44,96.8,16,91,5,3,0,8,11,72.7,0,0,0.0,0,0,0,Mason Plumlee
Thomas Bryant,2,17:29,90.4,15,90,1,0,2,7,14,50.0,1,1,100.0,0,0,0,Mason Plumlee
Wendell Carter Jr.,3,19:20,89.7,32,93,7,2,1,12,17,70.6,4,5,80.0,4,4,2,Mason Plumlee
Mitchell Robinson,2,19:06,87.0,6,98,0,0,0,3,3,100.0,0,0,0.0,0,0,0,Mason Plumlee
Jalen Duren,2,16:59,82.4,9,90,3,5,0,4,11,36.4,0,0,0.0,1,2,1,Mason Plumlee
Brook Lopez,3,14:37,80.3,6,62,2,1,0,2,9,22.2,0,2,0.0,2,2,1,Mason Plumlee
Myles Turner,2,14:01,77.4,20,85,1,3,0,7,10,70.0,1,2,50.0,5,6,3,Mason Plumlee
Domantas Sabonis,2,14:20,71.9,16,80,9,2,3,6,15,40.0,1,2,50.0,3,6,3,Mason Plumlee
Steven Adams,2,11:51,60.2,8,71,4,2,0,3,6,50.0,0,0,0.0,2,3,1,Mason Plumlee
Clint Capela,2,10:46,59.2,8,58,1,2,0,4,4,100.0,0,0,0.0,0,0,0,Mason Plumlee
Scottie Barnes,2,12:48,58.8,9,60,9,0,0,4,10,40.0,0,0,0.0,1,2,0,Mason Plumlee
Ivica Zubac,2,11:18,54.7,3,36,1,2,0,1,3,33.3,0,0,0.0,1,2,1,Mason Plumlee
Robert Williams III,2,11:14,54.4,6,70,4,0,0,3,3,100.0,0,0,0.0,0,0,0,Mason Plumlee
Alperen Sengun,1,8:36,50.8,18,62,4,2,0,8,9,88.9,0,0,0.0,2,2,1,Mason Plumlee
Onyeka Okongwu,3,9:15,47.9,4,52,1,1,0,2,2,100.0,0,0,0.0,0,0,0,Mason Plumlee
Daniel Gafford,2,9:03,44.4,8,47,0,0,0,3,6,50.0,0,0,0.0,2,2,1,Mason Plumlee
Kevon Looney,2,7:60,41.3,8,32,2,1,2,3,8,37.5,0,0,0.0,2,2,1,Mason Plumlee
Al Horford,2,7:31,40.3,15,57,1,0,0,6,7,85.7,3,3,100.0,0,0,0,Mason Plumlee
Jarrett Allen,1,8:40,39.0,10,49,1,0,0,5,6,83.3,0,0,0.0,0,0,0,Mason Plumlee
Joel Embiid,1,7:28,36.9,27,42,1,0,0,11,21,52.4,1,1,100.0,4,4,3,Mason Plumlee
Jakob Poeltl,1,5:37,32.8,10,34,1,0,1,5,11,45.5,0,0,0.0,0,0,0,Mason Plumlee
Jusuf Nurkic,1,5:37,31.5,12,42,2,1,0,5,5,100.0,2,2,100.0,0,0,0,Mason Plumlee
Bismack Biyombo,1,6:06,31.0,6,33,2,2,0,3,5,60.0,0,0,0.0,0,0,0,Mason Plumlee
Rudy Gobert,1,5:31,30.8,3,24,0,0,0,1,3,33.3,0,0,0.0,1,1,1,Mason Plumlee
Drew Eubanks,2,6:60,30.8,9,28,1,1,0,4,4,100.0,0,0,0.0,1,2,1,Mason Plumlee
