Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Trae Young,3,10:59,57.8,4,48,6,4,0,1,7,14.3,0,2,0.0,2,4,2,Matisse Thybulle
Jordan Clarkson,2,7:17,38.5,7,24,0,0,0,3,5,60.0,1,2,50.0,0,0,0,Matisse Thybulle
Alec Burks,3,6:29,31.7,6,29,1,2,1,2,3,66.7,0,1,0.0,2,2,1,Matisse Thybulle
Bradley Beal,3,6:17,31.2,10,30,3,1,0,4,5,80.0,1,1,100.0,1,1,1,Matisse Thybulle
Shai Gilgeous-Alexander,2,5:30,27.9,6,35,1,0,0,1,3,33.3,0,0,0.0,4,4,2,Matisse Thybulle
Zach LaVine,2,4:27,25.3,6,26,2,1,0,2,3,66.7,2,3,66.7,0,0,0,Matisse Thybulle
De'Aaron Fox,2,4:29,22.9,1,18,1,0,0,0,1,0.0,0,1,0.0,1,2,0,Matisse Thybulle
Russell Westbrook,2,4:01,22.1,2,12,2,1,0,0,3,0.0,0,1,0.0,2,2,1,Matisse Thybulle
CJ McCollum,2,3:42,19.9,2,13,2,1,2,1,5,20.0,0,2,0.0,0,0,0,Matisse Thybulle
Klay Thompson,1,3:34,18.7,3,22,0,2,0,1,3,33.3,1,1,100.0,0,0,0,Matisse Thybulle
Franz Wagner,2,3:39,17.9,4,16,2,0,0,2,2,100.0,0,0,0.0,0,0,0,Matisse Thybulle
Jaden Ivey,2,2:43,17.5,6,17,0,2,0,3,3,100.0,0,0,0.0,0,0,0,Matisse Thybulle
Collin Sexton,1,3:16,16.4,0,9,0,0,1,0,1,0.0,0,0,0.0,0,2,0,Matisse Thybulle
Damian Lillard,1,3:24,15.9,6,18,2,4,0,1,5,20.0,0,4,0.0,4,4,2,Matisse Thybulle
Jalen Brunson,3,3:19,15.8,9,19,2,0,0,3,4,75.0,0,0,0.0,3,4,2,Matisse Thybulle
Dejounte Murray,3,2:50,15.7,4,9,0,1,0,2,6,33.3,0,2,0.0,0,0,0,Matisse Thybulle
