Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Davon Reed,4,4:25,22.8,3,23,0,1,0,1,3,33.3,1,1,100.0,0,0,0,Matt Ryan
Bruce Brown,5,4:31,20.7,2,25,2,2,0,1,2,50.0,0,0,0.0,0,0,0,Matt Ryan
Vlatko Cancar,3,4:22,20.2,4,18,0,0,0,2,3,66.7,0,1,0.0,0,0,0,Matt Ryan
Dyson Daniels,1,3:02,19.8,5,29,2,1,0,2,3,66.7,1,2,50.0,0,0,0,Matt Ryan
Christian Braun,5,3:35,17.6,4,16,1,0,0,2,2,100.0,0,0,0.0,0,0,0,Matt Ryan
Michael Porter Jr.,4,3:21,17.5,8,27,0,0,0,3,6,50.0,2,3,66.7,0,0,0,Matt Ryan
Cedi Osman,1,3:31,16.0,2,19,0,0,0,0,1,0.0,0,1,0.0,2,2,0,Matt Ryan
Ochai Agbaji,3,3:02,14.8,0,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Matt Ryan
Luke Kennard,2,2:38,14.4,5,17,0,0,0,2,3,66.7,1,1,100.0,0,0,0,Matt Ryan
Talen Horton-Tucker,3,2:19,12.1,7,21,2,1,0,3,4,75.0,1,1,100.0,0,0,0,Matt Ryan
Bobby Portis,1,2:05,11.3,5,24,1,0,0,2,2,100.0,0,0,0.0,1,1,1,Matt Ryan
Larry Nance Jr.,2,1:58,11.2,0,13,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Matt Ryan
Malik Beasley,2,2:08,10.9,3,7,0,0,0,1,3,33.3,1,2,50.0,0,0,0,Matt Ryan
Garrison Mathews,1,1:59,10.7,3,15,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Matt Ryan
Kentavious Caldwell-Pope,3,2:14,10.5,0,4,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Matt Ryan
Gary Harris,1,2:07,10.4,0,7,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Matt Ryan
Duncan Robinson,1,2:17,10.3,6,12,0,0,0,2,2,100.0,2,2,100.0,0,0,0,Matt Ryan
Rodney McGruder,1,1:56,9.0,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Matt Ryan
Jamal Murray,2,1:05,8.5,3,13,0,1,0,1,2,50.0,1,1,100.0,0,0,0,Matt Ryan
Trey Murphy III,2,1:08,8.1,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Matt Ryan
Naji Marshall,2,1:39,8.0,0,8,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Matt Ryan
Collin Sexton,2,1:37,7.8,6,14,0,0,0,2,2,100.0,2,2,100.0,0,0,0,Matt Ryan
Jeff Green,4,1:20,7.7,3,10,1,0,0,1,1,100.0,1,1,100.0,0,0,0,Matt Ryan
Moses Moody,1,1:11,7.7,3,9,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Matt Ryan
Simone Fontecchio,2,1:15,7.2,2,10,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Matt Ryan
Bojan Bogdanovic,2,1:28,7.2,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Matt Ryan
Hamidou Diallo,2,1:02,6.8,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Matt Ryan
Joe Ingles,1,1:18,6.7,3,7,1,0,0,1,2,50.0,1,1,100.0,0,0,0,Matt Ryan
Grayson Allen,1,1:19,6.5,0,3,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Matt Ryan
Rudy Gay,2,1:28,6.4,3,12,0,0,0,1,3,33.3,0,2,0.0,1,2,1,Matt Ryan
JaMychal Green,1,1:00,6.1,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Matt Ryan
Caris LeVert,1,1:40,5.9,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Matt Ryan
Pat Connaughton,1,0:56,5.9,0,1,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Matt Ryan
Jack White,2,1:38,5.9,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Matt Ryan
Robert Covington,3,0:59,5.6,3,3,1,0,0,1,3,33.3,1,2,50.0,0,0,0,Matt Ryan
Alec Burks,2,0:57,5.5,3,9,1,0,0,1,1,100.0,1,1,100.0,0,0,0,Matt Ryan
Stephen Curry,1,0:51,5.4,8,11,0,0,0,2,3,66.7,2,2,100.0,2,2,0,Matt Ryan
Edmond Sumner,1,0:45,5.4,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Matt Ryan
Juancho Hernangomez,1,1:23,5.4,0,9,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Matt Ryan
Peyton Watson,2,1:02,5.4,4,7,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Matt Ryan
Bones Hyland,2,1:12,5.3,5,7,1,0,0,2,3,66.7,1,2,50.0,0,0,0,Matt Ryan
Brandon Boston Jr.,2,0:54,5.3,0,3,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Matt Ryan
Saddiq Bey,2,0:47,4.9,2,10,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Matt Ryan
Tyler Herro,1,1:06,4.8,2,5,1,0,0,1,4,25.0,0,3,0.0,0,0,0,Matt Ryan
Ish Smith,3,0:48,4.8,4,9,0,0,0,2,4,50.0,0,0,0.0,0,0,0,Matt Ryan
Norman Powell,1,0:53,4.8,0,3,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Matt Ryan
Cole Anthony,1,0:50,4.6,2,8,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Matt Ryan
