Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Gabe Vincent,1,2:21,13.9,0,14,2,0,0,0,1,0.0,0,1,0.0,0,0,0,Matthew Dellavedova
Darius Garland,1,3:14,13.6,5,14,0,1,0,2,2,100.0,1,1,100.0,0,0,0,Matthew Dellavedova
Kyle Lowry,1,2:41,12.5,3,14,2,0,0,1,1,100.0,1,1,100.0,0,0,0,Matthew Dellavedova
T.J. McConnell,2,2:12,12.1,2,11,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Matthew Dellavedova
Immanuel Quickley,1,1:45,10.6,3,11,1,0,0,1,3,33.3,1,2,50.0,0,0,0,Matthew Dellavedova
Raul Neto,1,1:58,10.5,0,11,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Matthew Dellavedova
CJ McCollum,1,2:17,10.1,4,10,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Matthew Dellavedova
Jalen Brunson,1,1:41,9.2,0,11,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Matthew Dellavedova
Kennedy Chandler,3,1:48,9.1,0,2,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Matthew Dellavedova
Jose Alvarado,1,1:21,8.9,0,2,0,1,0,0,2,0.0,0,2,0.0,0,0,0,Matthew Dellavedova
Jason Preston,1,1:42,8.8,5,5,0,1,0,2,5,40.0,1,3,33.3,0,0,0,Matthew Dellavedova
David Duke Jr.,1,1:00,8.7,0,10,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Matthew Dellavedova
Theo Maledon,1,1:14,7.1,2,8,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Matthew Dellavedova
Kira Lewis Jr.,1,1:14,6.9,3,13,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Matthew Dellavedova
Payton Pritchard,1,1:35,6.7,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Matthew Dellavedova
Tyler Herro,1,1:25,6.3,2,5,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Matthew Dellavedova
Kenyon Martin Jr.,2,1:02,5.6,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Matthew Dellavedova
Dennis Smith Jr.,1,1:10,5.6,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Matthew Dellavedova
Cory Joseph,1,1:23,5.4,0,6,0,0,0,0,2,0.0,0,0,0.0,0,0,0,Matthew Dellavedova
Cole Anthony,1,1:03,5.2,0,3,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Matthew Dellavedova
Caris LeVert,1,1:17,5.0,0,2,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Matthew Dellavedova
Josh Christopher,1,0:32,4.8,0,8,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Matthew Dellavedova
Trey Murphy III,1,1:09,4.7,3,8,0,1,0,1,1,100.0,1,1,100.0,0,0,0,Matthew Dellavedova
Cam Thomas,1,0:37,4.6,2,7,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Matthew Dellavedova
Aaron Nesmith,2,0:25,4.5,2,4,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Matthew Dellavedova
Oshae Brissett,2,0:41,4.5,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Matthew Dellavedova
Bennedict Mathurin,1,0:40,4.1,2,7,0,0,0,0,1,0.0,0,0,0.0,2,2,1,Matthew Dellavedova
Duncan Robinson,1,0:47,3.9,3,6,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Matthew Dellavedova
Daishen Nix,2,0:58,3.8,3,5,1,0,0,1,1,100.0,1,1,100.0,0,0,0,Matthew Dellavedova
Isaiah Hartenstein,1,0:37,3.6,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Matthew Dellavedova
Edmond Sumner,1,0:28,3.5,0,3,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Matthew Dellavedova
Willy Hernangomez,1,0:24,3.1,0,4,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Matthew Dellavedova
Kendrick Nunn,1,0:26,3.0,0,7,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Matthew Dellavedova
Amir Coffey,1,0:28,2.9,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Matthew Dellavedova
RJ Barrett,1,0:31,2.9,0,2,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Matthew Dellavedova
Jalen McDaniels,1,0:19,2.8,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Matthew Dellavedova
Andrew Nembhard,2,0:29,2.6,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Matthew Dellavedova
Isaiah Jackson,1,0:27,2.6,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Matthew Dellavedova
Saddiq Bey,1,0:30,2.6,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Matthew Dellavedova
Killian Hayes,1,0:26,2.5,2,2,0,0,0,0,0,0.0,0,0,0.0,2,2,0,Matthew Dellavedova
Jalen Suggs,1,0:26,2.5,3,6,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Matthew Dellavedova
Jericho Sims,1,0:15,2.4,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Matthew Dellavedova
Max Strus,1,0:28,2.3,0,5,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Matthew Dellavedova
Marvin Bagley III,1,0:19,2.2,1,1,0,0,0,0,0,0.0,0,0,0.0,1,2,1,Matthew Dellavedova
Jevon Carter,1,0:21,2.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Matthew Dellavedova
Jaden Ivey,1,0:19,2.0,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Matthew Dellavedova
Moses Brown,1,0:14,2.0,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Matthew Dellavedova
Aaron Holiday,1,0:31,2.0,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Matthew Dellavedova
Buddy Hield,1,0:22,1.8,3,5,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Matthew Dellavedova
Kessler Edwards,1,0:09,1.7,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Matthew Dellavedova
