Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Ben Simmons,2,8:26,36.7,0,30,2,2,0,0,1,0.0,0,0,0.0,0,0,0,Maxi Kleber
Mo Bamba,2,7:21,33.1,1,22,0,0,0,0,3,0.0,0,1,0.0,1,2,1,Maxi Kleber
Giannis Antetokounmpo,2,5:59,30.9,15,35,2,3,0,6,9,66.7,0,1,0.0,3,5,3,Maxi Kleber
Brook Lopez,2,5:59,28.3,4,23,0,2,0,2,4,50.0,0,1,0.0,0,0,0,Maxi Kleber
Deandre Ayton,2,5:20,27.1,2,18,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Maxi Kleber
Darius Bazley,2,5:07,23.6,6,16,0,0,3,3,8,37.5,0,2,0.0,0,0,0,Maxi Kleber
Wendell Carter Jr.,2,5:12,23.2,4,19,1,1,0,1,3,33.3,0,1,0.0,2,2,0,Maxi Kleber
Julius Randle,1,4:03,22.1,12,35,2,0,0,4,7,57.1,1,3,33.3,3,3,2,Maxi Kleber
Nic Claxton,2,5:07,22.1,2,24,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Maxi Kleber
Zeke Nnaji,1,4:05,18.4,0,13,1,1,0,0,0,0.0,0,0,0.0,0,0,0,Maxi Kleber
Jalen Duren,1,3:30,17.7,2,11,0,0,1,1,2,50.0,0,0,0.0,0,0,0,Maxi Kleber
Marvin Bagley III,1,3:47,17.0,8,20,0,0,0,3,3,100.0,0,0,0.0,2,2,1,Maxi Kleber
Shai Gilgeous-Alexander,2,2:41,15.7,11,20,1,0,0,5,9,55.6,1,2,50.0,0,0,0,Maxi Kleber
Brandon Clarke,1,3:10,15.0,4,12,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Maxi Kleber
Rui Hachimura,1,2:60,14.8,3,19,0,1,0,1,3,33.3,0,1,0.0,1,1,1,Maxi Kleber
Larry Nance Jr.,1,3:09,14.8,3,12,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Maxi Kleber
Nikola Jokic,1,2:52,14.2,9,21,0,0,0,3,5,60.0,0,2,0.0,3,3,2,Maxi Kleber
Thaddeus Young,1,3:20,14.1,0,5,0,0,0,0,2,0.0,0,0,0.0,0,0,0,Maxi Kleber
Kevin Durant,2,2:32,14.0,8,15,1,0,1,2,6,33.3,0,1,0.0,4,4,1,Maxi Kleber
Chris Boucher,2,2:57,13.7,12,25,0,0,0,4,5,80.0,2,3,66.7,2,2,1,Maxi Kleber
Mike Muscala,1,2:36,13.5,2,11,0,0,0,0,1,0.0,0,0,0.0,2,2,1,Maxi Kleber
Franz Wagner,2,2:53,12.9,8,21,3,0,0,4,8,50.0,0,3,0.0,0,0,0,Maxi Kleber
Drew Eubanks,1,2:26,12.8,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Maxi Kleber
O.G. Anunoby,2,2:53,12.8,4,17,2,1,0,1,5,20.0,0,2,0.0,2,2,1,Maxi Kleber
Jock Landale,2,2:23,12.5,0,5,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Maxi Kleber
Devin Booker,2,2:23,12.1,4,27,3,0,0,2,6,33.3,0,0,0.0,0,0,0,Maxi Kleber
Jalen Williams,2,2:06,11.5,5,19,1,1,0,2,2,100.0,1,1,100.0,0,0,0,Maxi Kleber
Paolo Banchero,1,2:17,11.1,3,8,0,1,0,1,4,25.0,0,1,0.0,1,2,1,Maxi Kleber
Luguentz Dort,2,1:40,10.4,2,14,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Maxi Kleber
Draymond Green,1,2:05,10.3,4,15,1,1,0,2,3,66.7,0,1,0.0,0,0,0,Maxi Kleber
Bismack Biyombo,2,2:25,9.9,2,3,0,0,0,1,1,100.0,0,0,0.0,0,2,1,Maxi Kleber
Chuma Okeke,2,1:57,9.8,0,9,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Maxi Kleber
Kyle Kuzma,1,1:33,9.7,6,12,0,0,0,3,4,75.0,0,1,0.0,0,0,0,Maxi Kleber
Isaiah Joe,2,1:29,9.4,6,11,0,0,0,2,3,66.7,2,3,66.7,0,0,0,Maxi Kleber
Lauri Markkanen,1,1:38,9.3,2,5,0,1,0,1,2,50.0,0,1,0.0,0,0,0,Maxi Kleber
Jaxson Hayes,1,1:41,9.2,0,5,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Maxi Kleber
Daniel Gafford,1,1:47,9.1,2,8,0,0,0,0,0,0.0,0,0,0.0,2,2,1,Maxi Kleber
Cameron Payne,2,1:42,8.9,4,16,3,0,1,1,6,16.7,0,3,0.0,2,2,1,Maxi Kleber
Royce O'Neale,2,1:42,8.8,4,14,1,0,0,1,4,25.0,1,4,25.0,1,2,1,Maxi Kleber
JaMychal Green,1,1:15,8.8,3,8,0,0,0,1,2,50.0,0,1,0.0,1,1,1,Maxi Kleber
Cam Thomas,1,2:04,8.8,0,5,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Maxi Kleber
Collin Sexton,1,1:22,8.8,9,20,1,0,0,4,5,80.0,0,0,0.0,1,1,1,Maxi Kleber
Precious Achiuwa,1,1:42,8.5,0,15,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Maxi Kleber
Bobby Portis,2,1:30,8.3,5,17,0,0,0,2,4,50.0,1,1,100.0,0,0,0,Maxi Kleber
Mikal Bridges,2,1:30,8.3,3,12,0,1,0,1,2,50.0,0,0,0.0,1,1,1,Maxi Kleber
Donte DiVincenzo,1,1:00,7.8,2,5,0,0,1,1,4,25.0,0,1,0.0,0,0,0,Maxi Kleber
Aleksej Pokusevski,2,1:24,7.5,0,0,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Maxi Kleber
Scottie Barnes,1,1:30,7.5,3,8,3,1,0,1,2,50.0,1,2,50.0,0,0,0,Maxi Kleber
Anfernee Simons,1,1:26,7.4,2,9,0,0,0,1,5,20.0,0,1,0.0,0,0,0,Maxi Kleber
Jerami Grant,1,1:13,7.3,0,2,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Maxi Kleber
