Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Nikola Vucevic,3,24:06,139.5,26,135,5,2,1,10,24,41.7,4,14,28.6,2,2,1,Mitchell Robinson
Pascal Siakam,3,18:31,88.6,25,106,6,3,0,10,28,35.7,1,10,10.0,4,5,3,Mitchell Robinson
Mason Plumlee,2,18:12,88.1,4,82,7,3,1,1,4,25.0,0,0,0.0,2,6,2,Mitchell Robinson
Brook Lopez,3,15:17,83.0,16,86,3,2,0,5,12,41.7,4,10,40.0,2,2,1,Mitchell Robinson
Evan Mobley,2,13:08,68.5,14,69,1,2,1,5,11,45.5,0,1,0.0,4,5,3,Mitchell Robinson
Isaiah Stewart,3,12:47,62.3,4,51,0,2,0,2,5,40.0,0,3,0.0,0,0,0,Mitchell Robinson
Steven Adams,2,11:33,58.7,7,63,2,1,0,3,5,60.0,0,0,0.0,1,2,1,Mitchell Robinson
Deandre Ayton,2,11:56,58.2,16,51,3,3,0,8,14,57.1,0,1,0.0,0,0,0,Mitchell Robinson
Giannis Antetokounmpo,3,11:24,55.6,22,59,5,3,1,8,15,53.3,0,1,0.0,6,11,6,Mitchell Robinson
Clint Capela,2,10:22,55.1,4,44,1,0,0,2,2,100.0,0,0,0.0,0,0,0,Mitchell Robinson
Dwight Powell,2,9:10,51.3,0,63,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Mitchell Robinson
Myles Turner,1,9:20,47.8,6,51,1,0,0,2,7,28.6,2,6,33.3,0,0,0,Mitchell Robinson
Jakob Poeltl,2,9:54,47.6,8,56,1,1,0,3,6,50.0,0,0,0.0,2,3,2,Mitchell Robinson
Joel Embiid,1,9:55,45.1,22,54,1,2,3,10,20,50.0,1,2,50.0,1,2,1,Mitchell Robinson
Wendell Carter Jr.,1,8:15,36.8,8,43,1,1,0,2,4,50.0,0,1,0.0,4,4,2,Mitchell Robinson
Bruno Fernando,1,6:54,35.2,0,27,0,1,1,0,2,0.0,0,0,0.0,0,0,0,Mitchell Robinson
Kevon Looney,1,5:42,31.8,0,29,4,0,0,0,0,0.0,0,0,0.0,0,0,0,Mitchell Robinson
Domantas Sabonis,1,6:18,30.1,5,33,2,0,0,2,3,66.7,0,0,0.0,1,2,1,Mitchell Robinson
Marvin Bagley III,1,5:11,28.9,6,25,2,2,0,2,4,50.0,2,3,66.7,0,0,0,Mitchell Robinson
Daniel Gafford,2,5:17,28.0,2,28,0,1,0,0,0,0.0,0,0,0.0,2,2,1,Mitchell Robinson
Jusuf Nurkic,1,6:37,27.3,5,29,3,1,0,2,4,50.0,1,2,50.0,0,0,0,Mitchell Robinson
Scottie Barnes,3,5:59,27.0,0,32,1,0,4,0,6,0.0,0,0,0.0,0,0,0,Mitchell Robinson
Kristaps Porzingis,2,5:15,26.1,15,39,1,0,2,4,9,44.4,3,6,50.0,4,4,2,Mitchell Robinson
Jalen Smith,1,3:32,23.3,2,27,2,0,0,1,3,33.3,0,1,0.0,0,0,0,Mitchell Robinson
Goga Bitadze,1,3:11,18.5,3,23,1,0,0,1,2,50.0,1,2,50.0,0,0,0,Mitchell Robinson
Montrezl Harrell,2,4:04,18.3,5,30,1,0,0,1,1,100.0,0,0,0.0,3,4,2,Mitchell Robinson
Christian Wood,1,3:51,18.2,2,14,1,0,0,0,2,0.0,0,1,0.0,2,2,1,Mitchell Robinson
Isaiah Jackson,2,3:37,16.8,0,16,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Mitchell Robinson
Jarrett Allen,1,3:38,16.1,2,19,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Mitchell Robinson
Jalen Duren,2,2:60,15.7,0,17,1,1,0,0,0,0.0,0,0,0.0,0,0,0,Mitchell Robinson
O.G. Anunoby,3,2:23,15.4,7,32,2,0,1,2,6,33.3,1,3,33.3,2,2,1,Mitchell Robinson
Fred VanVleet,3,2:19,15.2,7,23,3,0,1,3,8,37.5,1,4,25.0,0,0,0,Mitchell Robinson
Jeremiah Robinson-Earl,1,2:52,14.9,3,16,1,1,0,1,1,100.0,1,1,100.0,0,0,0,Mitchell Robinson
James Wiseman,1,2:40,14.8,2,16,0,0,0,0,1,0.0,0,0,0.0,2,2,1,Mitchell Robinson
Boban Marjanovic,1,2:37,14.1,2,8,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Mitchell Robinson
Onyeka Okongwu,2,2:32,13.8,0,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Mitchell Robinson
Maxi Kleber,1,2:45,13.4,4,14,1,0,0,2,3,66.7,0,1,0.0,0,0,0,Mitchell Robinson
Zach Collins,2,2:32,12.9,2,14,2,1,0,0,0,0.0,0,0,0.0,2,4,2,Mitchell Robinson
Nick Richards,2,2:31,12.1,0,12,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Mitchell Robinson
Bobby Portis,3,2:02,11.5,2,8,1,0,0,0,1,0.0,0,1,0.0,2,2,1,Mitchell Robinson
DeMar DeRozan,3,1:40,10.2,10,19,0,1,1,3,7,42.9,0,0,0.0,4,4,2,Mitchell Robinson
Patrick Williams,3,1:30,9.5,3,15,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Mitchell Robinson
Zach LaVine,3,1:35,9.5,9,13,0,2,1,4,8,50.0,1,3,33.3,0,0,0,Mitchell Robinson
Jock Landale,1,1:21,9.4,0,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Mitchell Robinson
Saddiq Bey,3,1:51,9.2,5,9,0,1,0,2,3,66.7,1,2,50.0,0,0,0,Mitchell Robinson
Donovan Mitchell,2,1:22,9.1,7,16,1,1,0,3,5,60.0,1,3,33.3,0,1,1,Mitchell Robinson
Spencer Dinwiddie,2,1:28,8.9,5,10,2,1,0,2,3,66.7,1,2,50.0,0,0,0,Mitchell Robinson
Dorian Finney-Smith,1,1:20,8.9,0,8,1,0,0,0,2,0.0,0,2,0.0,0,0,0,Mitchell Robinson
Jrue Holiday,3,1:31,8.7,9,21,1,0,0,4,5,80.0,1,1,100.0,0,0,0,Mitchell Robinson
Ja Morant,2,1:44,8.7,12,17,4,1,1,5,8,62.5,0,1,0.0,2,2,1,Mitchell Robinson
