Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
CJ McCollum,2,5:01,24.7,2,19,2,2,0,1,2,50.0,0,1,0.0,0,0,0,Moses Moody
Herbert Jones,2,4:12,21.8,2,20,1,0,0,1,3,33.3,0,0,0.0,0,0,0,Moses Moody
Isaiah Roby,2,2:56,18.3,2,20,0,1,0,1,3,33.3,0,1,0.0,0,0,0,Moses Moody
Bojan Bogdanovic,2,3:02,17.0,4,20,1,0,0,2,3,66.7,0,0,0.0,0,0,0,Moses Moody
Bruce Brown,2,3:28,16.6,0,13,2,2,0,0,0,0.0,0,0,0.0,0,0,0,Moses Moody
Naji Marshall,2,3:14,16.3,4,25,2,0,0,2,4,50.0,0,1,0.0,0,0,0,Moses Moody
Doug McDermott,2,3:03,16.0,2,11,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Moses Moody
Josh Richardson,2,3:20,15.8,3,25,2,1,0,1,4,25.0,1,4,25.0,0,0,0,Moses Moody
Brandon Ingram,2,2:47,15.7,3,8,0,0,0,1,3,33.3,0,1,0.0,1,2,1,Moses Moody
Buddy Hield,2,3:49,15.7,0,9,0,0,0,0,3,0.0,0,2,0.0,0,0,0,Moses Moody
Devin Booker,2,2:46,15.6,8,19,3,1,1,4,7,57.1,0,1,0.0,0,0,0,Moses Moody
Jordan Clarkson,2,3:10,15.4,5,23,4,3,0,2,5,40.0,1,2,50.0,0,0,0,Moses Moody
Joe Harris,1,3:19,14.5,5,17,0,0,0,2,2,100.0,1,1,100.0,0,0,0,Moses Moody
RJ Barrett,2,3:19,14.5,9,21,2,0,0,4,5,80.0,1,2,50.0,0,0,0,Moses Moody
Max Strus,2,2:18,14.2,2,19,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Moses Moody
Gordon Hayward,2,2:23,14.0,2,13,0,0,0,1,4,25.0,0,2,0.0,0,0,0,Moses Moody
Alec Burks,1,2:52,13.5,5,18,1,0,0,1,2,50.0,1,1,100.0,2,2,1,Moses Moody
