Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Jarred Vanderbilt,2,6:46,32.9,13,33,2,0,1,6,10,60.0,1,2,50.0,0,0,0,Moussa Diabate
Kristaps Porzingis,1,3:14,17.7,2,11,0,1,0,1,4,25.0,0,1,0.0,0,0,0,Moussa Diabate
Lamar Stevens,1,2:37,12.0,3,24,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Moussa Diabate
Chimezie Metu,1,2:17,11.8,0,15,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Moussa Diabate
Cedi Osman,1,2:09,11.6,5,9,0,0,0,2,2,100.0,1,1,100.0,0,0,0,Moussa Diabate
Jock Landale,1,2:09,10.8,0,8,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Moussa Diabate
Walker Kessler,2,1:38,9.5,3,3,0,0,0,1,1,100.0,0,0,0.0,1,2,1,Moussa Diabate
Gorgui Dieng,1,1:31,9.4,2,8,1,0,1,1,4,25.0,0,2,0.0,0,0,0,Moussa Diabate
Dean Wade,1,2:02,9.0,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Moussa Diabate
Zach Collins,1,1:15,7.9,2,7,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Moussa Diabate
Caris LeVert,1,1:18,7.1,6,8,0,0,0,2,4,50.0,2,2,100.0,0,0,0,Moussa Diabate
Jusuf Nurkic,1,1:18,7.0,0,4,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Moussa Diabate
Evan Mobley,1,1:15,6.6,2,11,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Moussa Diabate
Trey Lyles,1,1:15,6.4,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Moussa Diabate
Chris Paul,1,1:12,6.0,1,8,1,1,0,0,1,0.0,0,0,0.0,1,2,0,Moussa Diabate
Lauri Markkanen,2,0:57,5.8,7,11,0,0,0,2,5,40.0,1,2,50.0,2,2,0,Moussa Diabate
Onyeka Okongwu,1,1:02,5.6,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Moussa Diabate
Ricky Rubio,1,0:51,5.3,0,7,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Moussa Diabate
Udoka Azubuike,2,1:12,5.1,0,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Moussa Diabate
Simone Fontecchio,2,0:47,4.8,0,4,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Moussa Diabate
Richaun Holmes,1,0:52,4.8,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Moussa Diabate
Trendon Watford,1,1:18,4.8,0,2,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Moussa Diabate
Justise Winslow,1,0:57,4.4,0,11,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Moussa Diabate
Monte Morris,1,0:40,3.9,0,8,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Moussa Diabate
Keegan Murray,1,0:44,3.9,0,0,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Moussa Diabate
Terence Davis,1,0:24,3.8,0,8,2,0,0,0,0,0.0,0,0,0.0,0,0,0,Moussa Diabate
Jarrett Allen,1,0:55,3.6,0,7,2,1,0,0,1,0.0,0,0,0.0,0,0,0,Moussa Diabate
Noah Vonleh,1,0:28,3.4,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Moussa Diabate
Kyle Kuzma,1,0:30,3.4,4,4,0,0,0,2,4,50.0,0,1,0.0,0,0,0,Moussa Diabate
Devonte' Graham,1,0:32,3.4,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Moussa Diabate
Keita Bates-Diop,1,0:30,3.3,0,2,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Moussa Diabate
