Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Vlatko Cancar,3,4:55,28.6,0,35,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Nathan Knight
Nikola Vucevic,1,5:45,27.0,3,21,3,0,0,1,3,33.3,1,2,50.0,0,0,0,Nathan Knight
Zeke Nnaji,3,3:02,17.5,1,10,0,1,0,0,2,0.0,0,1,0.0,1,2,1,Nathan Knight
Jae'Sean Tate,2,3:18,16.4,0,8,2,3,0,0,3,0.0,0,1,0.0,0,0,0,Nathan Knight
Nikola Jokic,3,3:07,16.4,6,15,1,0,0,3,6,50.0,0,0,0.0,0,0,0,Nathan Knight
Usman Garuba,2,2:29,13.2,0,17,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Nathan Knight
Tari Eason,2,2:12,12.7,0,8,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Nathan Knight
Santi Aldama,1,2:07,12.3,5,15,0,1,0,2,3,66.7,1,1,100.0,0,0,0,Nathan Knight
Alperen Sengun,2,2:41,11.2,1,4,1,1,0,0,1,0.0,0,0,0.0,1,2,0,Nathan Knight
Jarred Vanderbilt,1,1:53,11.1,2,15,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Nathan Knight
Rudy Gay,2,1:59,10.1,0,7,0,0,0,0,3,0.0,0,1,0.0,0,0,0,Nathan Knight
Paolo Banchero,1,2:24,9.9,2,8,0,1,1,1,3,33.3,0,0,0.0,0,0,0,Nathan Knight
Aaron Gordon,2,1:54,9.7,2,11,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Nathan Knight
Deandre Ayton,1,1:54,8.6,4,6,0,1,0,2,2,100.0,0,0,0.0,0,0,0,Nathan Knight
Ish Smith,2,1:29,8.5,6,19,2,2,0,3,3,100.0,0,0,0.0,0,0,0,Nathan Knight
Mike Muscala,1,1:36,8.3,2,9,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Nathan Knight
Bol Bol,2,1:05,8.0,4,11,0,0,0,1,2,50.0,0,1,0.0,2,3,1,Nathan Knight
Bruce Brown,3,1:42,8.0,4,15,0,1,0,1,3,33.3,0,2,0.0,2,2,1,Nathan Knight
Eugene Omoruyi,2,1:28,7.6,3,7,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Nathan Knight
Kenyon Martin Jr.,2,1:23,7.5,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Nathan Knight
Hamidou Diallo,1,1:12,7.3,2,9,0,0,0,0,0,0.0,0,0,0.0,2,2,1,Nathan Knight
Keegan Murray,1,1:33,7.3,3,11,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Nathan Knight
Derrick Jones Jr.,1,1:16,7.1,2,8,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Nathan Knight
Garrison Mathews,2,0:43,6.8,2,7,0,0,0,1,3,33.3,0,2,0.0,0,0,0,Nathan Knight
Precious Achiuwa,1,1:00,6.2,2,12,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Nathan Knight
