Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Christian Wood,2,10:13,47.6,6,49,0,2,0,2,6,33.3,1,3,33.3,1,1,1,Naz Reid
Walker Kessler,3,9:59,47.2,17,71,2,0,2,8,12,66.7,0,0,0.0,1,1,1,Naz Reid
Nikola Jokic,2,8:15,44.7,28,58,9,3,2,12,19,63.2,0,1,0.0,4,4,3,Naz Reid
Alperen Sengun,4,10:27,44.4,15,49,3,1,0,7,8,87.5,1,1,100.0,0,0,0,Naz Reid
Giannis Antetokounmpo,2,5:38,34.1,18,36,4,1,1,7,12,58.3,1,2,50.0,3,4,2,Naz Reid
Brook Lopez,2,7:28,34.0,4,31,0,2,1,2,6,33.3,0,2,0.0,0,0,0,Naz Reid
Draymond Green,2,6:49,33.7,8,32,3,3,0,3,5,60.0,0,0,0.0,2,3,1,Naz Reid
Jarrett Allen,1,7:18,33.3,6,32,0,0,0,2,3,66.7,0,0,0.0,2,2,1,Naz Reid
Aleksej Pokusevski,3,5:49,32.0,7,34,1,0,0,3,7,42.9,1,2,50.0,0,0,0,Naz Reid
Drew Eubanks,2,6:08,28.1,4,43,1,0,0,2,2,100.0,0,0,0.0,0,0,0,Naz Reid
Kevon Looney,2,5:12,27.3,2,28,0,0,0,0,1,0.0,0,0,0.0,2,2,1,Naz Reid
Jeremiah Robinson-Earl,2,4:56,26.9,6,14,0,1,0,3,5,60.0,0,2,0.0,0,0,0,Naz Reid
Haywood Highsmith,2,6:21,26.8,0,31,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Naz Reid
Jarred Vanderbilt,3,5:02,25.1,4,22,1,0,0,1,2,50.0,0,0,0.0,2,4,2,Naz Reid
Scottie Barnes,1,5:17,24.0,9,19,1,1,0,3,5,60.0,1,1,100.0,2,2,1,Naz Reid
Larry Nance Jr.,2,4:60,23.5,2,26,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Naz Reid
Eugene Omoruyi,2,4:11,21.8,4,19,1,0,0,1,2,50.0,0,1,0.0,2,3,1,Naz Reid
Domantas Sabonis,2,4:15,20.3,10,21,1,0,0,4,4,100.0,0,0,0.0,2,4,2,Naz Reid
Usman Garuba,3,3:57,20.1,2,17,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Naz Reid
Nikola Jovic,2,4:33,20.0,0,21,2,0,0,0,2,0.0,0,2,0.0,0,0,0,Naz Reid
Brandon Clarke,2,3:21,19.8,2,17,0,1,1,1,2,50.0,0,0,0.0,0,0,0,Naz Reid
Aaron Gordon,2,2:41,18.2,6,16,0,1,0,2,2,100.0,0,0,0.0,2,4,2,Naz Reid
Grant Williams,1,3:36,16.7,0,18,0,1,0,0,2,0.0,0,2,0.0,0,0,0,Naz Reid
Jock Landale,2,3:09,16.6,0,16,1,1,0,0,2,0.0,0,1,0.0,0,0,0,Naz Reid
Bobby Portis,2,3:37,16.5,6,18,1,0,0,3,3,100.0,0,0,0.0,0,0,0,Naz Reid
Nicolas Batum,1,3:34,16.1,0,18,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Naz Reid
Isaiah Jackson,1,2:53,15.8,2,9,0,0,0,0,0,0.0,0,0,0.0,2,2,1,Naz Reid
Moses Brown,1,3:12,15.8,1,22,0,0,0,0,0,0.0,0,0,0.0,1,2,1,Naz Reid
Shai Gilgeous-Alexander,2,2:26,15.2,6,20,4,1,2,1,8,12.5,0,1,0.0,4,4,1,Naz Reid
Zeke Nnaji,2,2:48,15.1,2,9,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Naz Reid
Marvin Bagley III,1,2:43,15.1,2,11,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Naz Reid
Jaren Jackson Jr.,2,2:39,14.3,2,10,0,3,0,0,3,0.0,0,2,0.0,2,2,1,Naz Reid
Kai Jones,1,2:43,13.9,1,8,0,0,0,0,2,0.0,0,0,0.0,1,2,1,Naz Reid
Josh Giddey,2,2:58,13.8,7,21,0,1,1,3,5,60.0,0,0,0.0,1,2,1,Naz Reid
Isaiah Hartenstein,1,3:11,13.8,4,21,2,1,0,1,2,50.0,0,1,0.0,2,2,1,Naz Reid
Moritz Wagner,1,2:36,13.7,9,13,0,0,0,3,3,100.0,1,1,100.0,2,2,1,Naz Reid
Jonas Valanciunas,2,2:42,13.4,4,19,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Naz Reid
Al Horford,1,2:36,12.6,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Naz Reid
Nikola Vucevic,1,2:23,12.4,4,7,0,1,0,2,3,66.7,0,1,0.0,0,0,0,Naz Reid
Steven Adams,1,2:26,12.2,0,12,1,0,0,0,2,0.0,0,1,0.0,0,0,0,Naz Reid
Kelly Olynyk,3,2:04,12.2,4,14,1,0,0,2,7,28.6,0,3,0.0,0,0,0,Naz Reid
Luguentz Dort,3,1:52,12.1,2,18,1,1,0,1,3,33.3,0,0,0.0,0,0,0,Naz Reid
JaMychal Green,1,2:30,12.0,2,9,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Naz Reid
Justise Winslow,2,2:07,11.9,0,15,2,1,0,0,0,0.0,0,0,0.0,0,0,0,Naz Reid
Jalen Williams,2,2:07,11.1,5,13,1,1,0,2,3,66.7,1,1,100.0,0,0,0,Naz Reid
Zach Collins,3,2:25,11.0,0,11,1,2,1,0,2,0.0,0,0,0.0,0,0,0,Naz Reid
Chimezie Metu,2,2:18,10.8,0,12,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Naz Reid
Daniel Gafford,1,2:40,10.2,1,7,0,0,0,0,0,0.0,0,0,0.0,1,2,1,Naz Reid
Orlando Robinson,1,2:02,9.9,4,13,1,0,0,2,2,100.0,0,0,0.0,0,0,0,Naz Reid
Alec Burks,2,1:26,9.8,4,12,1,0,0,1,6,16.7,0,2,0.0,2,2,1,Naz Reid
