Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Jonas Valanciunas,1,6:42,34.9,19,38,1,2,0,8,10,80.0,1,3,33.3,2,4,2,Nerlens Noel
Joel Embiid,1,5:36,30.6,18,36,0,2,2,8,14,57.1,1,2,50.0,1,1,1,Nerlens Noel
Rudy Gobert,1,5:36,26.4,5,31,0,1,0,2,3,66.7,0,0,0.0,1,2,1,Nerlens Noel
Giannis Antetokounmpo,3,3:38,19.4,3,18,3,1,0,1,4,25.0,0,3,0.0,1,2,1,Nerlens Noel
Bobby Portis,3,3:43,17.3,2,23,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Nerlens Noel
Paul Reed,1,3:24,15.8,6,20,1,0,0,2,2,100.0,0,0,0.0,2,2,1,Nerlens Noel
Evan Mobley,2,2:60,14.5,8,19,0,0,0,3,3,100.0,0,0,0.0,2,2,1,Nerlens Noel
Brook Lopez,3,2:17,11.3,6,14,0,1,0,3,4,75.0,0,1,0.0,0,0,0,Nerlens Noel
Serge Ibaka,1,2:09,10.0,0,13,0,2,1,0,1,0.0,0,0,0.0,0,0,0,Nerlens Noel
Anthony Davis,1,1:47,9.9,1,6,0,0,0,0,0,0.0,0,0,0.0,1,2,1,Nerlens Noel
Drew Eubanks,1,1:53,9.4,2,9,0,0,0,0,1,0.0,0,0,0.0,2,2,1,Nerlens Noel
Jarrett Allen,1,2:09,8.4,0,10,0,0,0,0,2,0.0,0,0,0.0,0,0,0,Nerlens Noel
Robin Lopez,1,1:58,7.7,0,4,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Nerlens Noel
Luke Kornet,1,1:17,5.0,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Nerlens Noel
Tyrese Maxey,2,0:36,4.9,3,8,1,0,0,1,2,50.0,0,1,0.0,1,1,1,Nerlens Noel
George Hill,2,0:47,4.5,2,4,0,0,0,0,2,0.0,0,1,0.0,2,2,0,Nerlens Noel
