Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Kevin Durant,3,23:21,114.6,19,126,8,7,0,6,18,33.3,2,11,18.2,5,6,2,Og Anunoby
Donovan Mitchell,3,18:39,90.6,22,90,5,4,0,8,20,40.0,4,10,40.0,2,2,0,Og Anunoby
Jimmy Butler,3,19:23,86.6,18,72,3,4,1,6,15,40.0,2,4,50.0,4,4,2,Og Anunoby
DeMar DeRozan,2,15:02,81.7,11,72,5,5,0,3,4,75.0,0,0,0.0,5,5,3,Og Anunoby
Julius Randle,3,16:22,75.2,33,108,2,3,0,12,19,63.2,5,6,83.3,4,7,3,Og Anunoby
Luka Doncic,2,15:09,74.4,20,92,4,2,2,7,15,46.7,3,5,60.0,3,6,1,Og Anunoby
James Harden,3,15:26,68.6,12,63,7,2,0,3,10,30.0,0,6,0.0,6,6,3,Og Anunoby
Jaylen Brown,2,14:29,66.4,16,71,3,0,1,6,13,46.2,3,6,50.0,1,1,1,Og Anunoby
Paolo Banchero,2,13:18,61.2,3,50,2,1,0,1,5,20.0,0,4,0.0,1,2,1,Og Anunoby
Mitchell Robinson,3,11:55,45.6,8,41,2,1,0,4,7,57.1,0,0,0.0,0,0,0,Og Anunoby
LaMelo Ball,2,9:54,44.4,15,55,6,1,0,5,8,62.5,1,2,50.0,4,4,2,Og Anunoby
Giannis Antetokounmpo,1,7:36,41.1,11,35,4,6,0,4,8,50.0,1,2,50.0,2,2,1,Og Anunoby
Kawhi Leonard,1,8:55,40.4,1,53,6,1,0,0,4,0.0,0,0,0.0,1,2,1,Og Anunoby
Trae Young,3,7:54,39.4,11,44,3,1,1,5,10,50.0,1,3,33.3,0,0,0,Og Anunoby
John Collins,3,7:15,37.8,4,32,1,1,0,1,2,50.0,0,1,0.0,2,2,1,Og Anunoby
Brook Lopez,2,6:27,37.3,0,34,2,2,0,0,4,0.0,0,1,0.0,0,0,0,Og Anunoby
De'Andre Hunter,3,6:37,36.8,6,41,0,2,0,2,5,40.0,2,2,100.0,0,0,0,Og Anunoby
Buddy Hield,2,7:01,35.2,8,39,1,0,0,3,3,100.0,2,2,100.0,0,0,0,Og Anunoby
Zion Williamson,1,7:27,34.7,9,26,2,2,0,4,6,66.7,0,0,0.0,1,2,1,Og Anunoby
Bojan Bogdanovic,1,6:38,32.4,4,34,2,1,0,1,3,33.3,1,2,50.0,1,2,0,Og Anunoby
Tobias Harris,3,6:18,32.0,2,35,2,0,1,1,2,50.0,0,0,0.0,0,0,0,Og Anunoby
Dejounte Murray,3,6:13,31.9,9,46,5,1,0,3,10,30.0,1,3,33.3,2,3,2,Og Anunoby
Jalen Brunson,3,6:46,31.0,16,40,1,1,1,7,17,41.2,2,4,50.0,0,0,0,Og Anunoby
Franz Wagner,2,5:33,29.0,6,24,1,1,0,2,3,66.7,0,1,0.0,2,2,1,Og Anunoby
Anthony Edwards,1,5:08,27.3,2,35,2,3,1,0,4,0.0,0,2,0.0,2,2,1,Og Anunoby
Kyrie Irving,3,5:18,26.8,14,33,2,1,1,6,10,60.0,1,2,50.0,1,1,1,Og Anunoby
De'Anthony Melton,3,6:13,26.3,2,25,2,0,0,1,5,20.0,0,4,0.0,0,0,0,Og Anunoby
Kyle Lowry,3,5:34,26.0,9,33,1,2,0,3,3,100.0,3,3,100.0,0,0,0,Og Anunoby
Caris LeVert,3,4:46,25.9,4,26,4,0,0,1,3,33.3,0,1,0.0,2,2,0,Og Anunoby
Ja Morant,1,4:50,25.1,4,34,8,2,0,2,3,66.7,0,1,0.0,0,0,0,Og Anunoby
Max Strus,3,4:51,24.9,3,27,0,1,1,1,2,50.0,1,2,50.0,0,0,0,Og Anunoby
Tyrese Haliburton,2,4:49,24.4,2,25,3,1,0,1,2,50.0,0,0,0.0,0,0,0,Og Anunoby
Joel Embiid,2,4:31,24.4,4,14,0,0,1,1,6,16.7,0,1,0.0,2,2,1,Og Anunoby
Bennedict Mathurin,2,4:51,24.0,2,29,0,1,1,1,6,16.7,0,0,0.0,0,0,0,Og Anunoby
Evan Mobley,3,4:27,22.8,2,32,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Og Anunoby
Pat Connaughton,2,3:49,22.3,6,27,1,1,0,2,4,50.0,2,3,66.7,0,0,0,Og Anunoby
Mason Plumlee,2,4:20,22.2,6,30,1,0,0,3,3,100.0,0,0,0.0,0,0,0,Og Anunoby
Shai Gilgeous-Alexander,1,3:51,22.2,6,33,1,0,0,2,4,50.0,0,0,0.0,2,2,1,Og Anunoby
Anfernee Simons,1,4:36,22.0,8,21,0,1,0,1,1,100.0,1,1,100.0,5,6,2,Og Anunoby
Terry Rozier,2,4:26,22.0,10,24,1,1,0,4,8,50.0,2,4,50.0,0,0,0,Og Anunoby
Domantas Sabonis,1,4:17,21.7,3,17,1,3,0,1,3,33.3,1,1,100.0,0,0,0,Og Anunoby
Onyeka Okongwu,3,4:41,20.9,2,25,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Og Anunoby
Spencer Dinwiddie,2,4:43,20.9,2,23,2,0,0,1,4,25.0,0,1,0.0,0,0,0,Og Anunoby
Bobby Portis,2,3:22,20.8,4,26,0,1,0,2,3,66.7,0,1,0.0,0,0,0,Og Anunoby
Clint Capela,2,3:15,18.6,8,27,0,0,0,4,6,66.7,0,0,0.0,0,0,0,Og Anunoby
RJ Barrett,2,3:42,18.2,3,21,0,0,1,1,3,33.3,0,0,0.0,1,1,1,Og Anunoby
Russell Westbrook,1,3:24,17.8,0,13,1,0,0,0,3,0.0,0,1,0.0,0,0,0,Og Anunoby
Grayson Allen,2,3:38,16.7,10,22,0,0,0,4,7,57.1,2,3,66.7,0,0,0,Og Anunoby
P.J. Tucker,3,3:30,16.3,6,33,0,0,0,2,2,100.0,2,2,100.0,0,0,0,Og Anunoby
Darius Garland,3,3:01,16.3,4,15,2,1,0,2,4,50.0,0,0,0.0,0,0,0,Og Anunoby
