Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Buddy Hield,1,3:18,15.0,4,11,0,0,0,2,3,66.7,0,1,0.0,0,0,0,Otto Porter Jr
Goran Dragic,2,2:32,14.0,5,14,0,0,0,2,3,66.7,1,1,100.0,0,0,0,Otto Porter Jr
Alex Caruso,2,2:25,13.2,2,19,4,0,0,0,2,0.0,0,2,0.0,2,2,1,Otto Porter Jr
Myles Turner,1,2:11,11.3,3,15,0,0,0,1,1,100.0,0,0,0.0,1,2,0,Otto Porter Jr
Marvin Bagley III,1,1:49,11.1,3,6,0,1,0,1,3,33.3,1,2,50.0,0,0,0,Otto Porter Jr
Josh Green,1,1:49,9.6,0,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Otto Porter Jr
Javonte Green,2,1:16,8.7,5,11,1,0,0,2,2,100.0,1,1,100.0,0,0,0,Otto Porter Jr
Jalen Williams,1,1:27,8.0,2,16,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Otto Porter Jr
Tari Eason,1,1:43,7.8,0,18,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Otto Porter Jr
Patrick Williams,2,1:17,7.8,0,8,0,0,0,0,2,0.0,0,0,0.0,0,0,0,Otto Porter Jr
Tim Hardaway Jr.,1,1:29,7.5,0,8,0,0,0,0,3,0.0,0,1,0.0,0,0,0,Otto Porter Jr
Eugene Omoruyi,1,1:36,7.3,2,9,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Otto Porter Jr
Tyrese Haliburton,1,1:18,7.2,0,13,2,0,0,0,2,0.0,0,1,0.0,0,0,0,Otto Porter Jr
Ayo Dosunmu,2,1:20,7.1,0,2,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Otto Porter Jr
Derrick Jones Jr.,2,1:17,7.0,4,10,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Otto Porter Jr
Nikola Vucevic,2,1:09,6.7,2,9,0,1,0,1,4,25.0,0,2,0.0,0,0,0,Otto Porter Jr
Jabari Smith Jr.,1,1:16,6.7,0,1,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Otto Porter Jr
Kenyon Martin Jr.,1,1:14,6.5,2,8,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Otto Porter Jr
Christian Wood,1,0:60,6.3,2,7,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Otto Porter Jr
Tre Mann,1,0:55,6.2,0,4,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Otto Porter Jr
Charles Bassey,1,1:09,5.9,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Otto Porter Jr
Kenrich Williams,1,1:13,5.6,2,6,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Otto Porter Jr
Spencer Dinwiddie,1,1:05,5.4,0,2,1,1,0,0,0,0.0,0,0,0.0,0,0,0,Otto Porter Jr
Alperen Sengun,1,0:42,5.3,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Otto Porter Jr
Oshae Brissett,1,1:16,5.1,0,2,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Otto Porter Jr
Jordan Hall,1,0:50,5.1,0,7,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Otto Porter Jr
DeMar DeRozan,2,0:35,5.0,4,9,1,1,0,2,2,100.0,0,0,0.0,0,0,0,Otto Porter Jr
Dalen Terry,1,1:02,4.7,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Otto Porter Jr
Josh Giddey,1,0:46,4.5,2,8,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Otto Porter Jr
Jalen Green,1,0:59,4.4,2,7,0,1,0,1,2,50.0,0,0,0.0,0,0,0,Otto Porter Jr
Kevin Porter Jr.,1,1:00,3.9,0,6,2,0,0,0,0,0.0,0,0,0.0,0,0,0,Otto Porter Jr
Alec Burks,1,0:55,3.8,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Otto Porter Jr
Andrew Nembhard,1,0:45,3.7,3,9,2,0,0,1,2,50.0,1,2,50.0,0,0,0,Otto Porter Jr
Usman Garuba,1,0:46,3.7,0,2,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Otto Porter Jr
Dorian Finney-Smith,1,1:01,3.5,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Otto Porter Jr
Maxi Kleber,1,0:41,3.0,2,7,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Otto Porter Jr
Daishen Nix,1,0:25,2.9,3,7,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Otto Porter Jr
Jalen Smith,1,0:29,2.7,0,7,1,1,0,0,0,0.0,0,0,0.0,0,0,0,Otto Porter Jr
Garrison Mathews,1,0:23,2.6,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Otto Porter Jr
Zach LaVine,1,0:27,2.4,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Otto Porter Jr
Jeremy Sochan,1,0:22,2.3,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Otto Porter Jr
Dwight Powell,1,1:02,2.3,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Otto Porter Jr
Eric Gordon,1,0:16,2.2,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Otto Porter Jr
Bojan Bogdanovic,1,0:27,2.2,0,2,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Otto Porter Jr
T.J. McConnell,1,0:21,2.2,0,2,2,0,0,0,0,0.0,0,0,0.0,0,0,0,Otto Porter Jr
Aaron Wiggins,1,0:27,2.1,0,2,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Otto Porter Jr
Jaden Ivey,1,0:21,2.1,2,2,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Otto Porter Jr
Dominick Barlow,1,0:12,2.1,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Otto Porter Jr
Keita Bates-Diop,1,0:11,2.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Otto Porter Jr
Saddiq Bey,1,0:30,1.9,2,5,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Otto Porter Jr
