Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
RJ Barrett,3,21:16,89.7,17,86,3,2,2,6,15,40.0,2,7,28.6,3,5,3,Pascal Siakam
Jerami Grant,2,15:58,81.6,16,71,0,0,0,5,14,35.7,1,5,20.0,5,7,4,Pascal Siakam
Kevin Durant,3,11:10,62.9,20,73,2,3,0,7,11,63.6,0,1,0.0,6,6,2,Pascal Siakam
P.J. Tucker,3,12:18,61.4,7,68,1,2,0,3,7,42.9,1,3,33.3,0,0,0,Pascal Siakam
Tobias Harris,3,13:31,58.6,8,45,3,2,0,3,7,42.9,2,4,50.0,0,0,0,Pascal Siakam
Evan Mobley,3,11:11,55.9,18,51,0,1,0,8,13,61.5,1,3,33.3,1,1,1,Pascal Siakam
Bol Bol,3,9:49,49.4,10,44,1,3,0,4,6,66.7,0,1,0.0,2,2,1,Pascal Siakam
John Collins,2,8:36,45.5,6,41,2,0,1,3,8,37.5,0,2,0.0,0,0,0,Pascal Siakam
P.J. Washington,2,8:44,42.6,3,44,0,2,1,1,3,33.3,1,2,50.0,0,0,0,Pascal Siakam
Keita Bates-Diop,2,7:46,40.5,4,35,1,1,0,2,4,50.0,0,2,0.0,0,0,0,Pascal Siakam
Mitchell Robinson,3,8:42,40.2,6,61,0,0,1,2,4,50.0,0,0,0.0,2,2,1,Pascal Siakam
Draymond Green,2,6:44,40.2,6,38,2,1,0,2,3,66.7,2,2,100.0,0,0,0,Pascal Siakam
Julius Randle,4,8:18,39.9,16,47,3,2,1,6,14,42.9,0,2,0.0,4,6,3,Pascal Siakam
Keegan Murray,2,8:10,39.8,6,36,0,0,0,3,6,50.0,0,2,0.0,0,0,0,Pascal Siakam
Bobby Portis,2,7:59,39.8,10,32,1,2,0,4,5,80.0,0,0,0.0,2,2,0,Pascal Siakam
Grant Williams,2,8:57,38.2,2,23,1,1,0,1,3,33.3,0,1,0.0,0,0,0,Pascal Siakam
Klay Thompson,2,6:28,37.3,8,48,1,2,0,3,8,37.5,1,4,25.0,1,1,1,Pascal Siakam
Harrison Barnes,2,6:33,36.6,2,33,1,1,0,0,1,0.0,0,1,0.0,2,2,1,Pascal Siakam
Quentin Grimes,3,8:17,34.2,11,34,1,1,0,4,5,80.0,3,3,100.0,0,0,0,Pascal Siakam
Paolo Banchero,3,7:27,32.9,12,28,3,4,0,5,10,50.0,2,5,40.0,0,0,0,Pascal Siakam
Nic Claxton,3,6:33,32.5,14,39,0,0,0,7,8,87.5,0,0,0.0,0,0,0,Pascal Siakam
Max Strus,2,6:37,32.0,6,25,1,0,0,2,7,28.6,2,5,40.0,0,0,0,Pascal Siakam
Jabari Smith Jr.,1,6:23,31.8,0,34,1,2,0,0,2,0.0,0,1,0.0,0,0,0,Pascal Siakam
Pat Connaughton,2,5:41,30.4,6,33,0,0,0,2,4,50.0,2,4,50.0,0,0,0,Pascal Siakam
Moritz Wagner,3,6:18,30.0,9,40,3,1,0,4,9,44.4,1,3,33.3,0,0,0,Pascal Siakam
Joe Harris,3,6:15,29.9,3,32,4,0,0,1,2,50.0,1,2,50.0,0,0,0,Pascal Siakam
Deandre Ayton,2,6:27,29.4,8,36,1,1,0,3,5,60.0,0,0,0.0,2,2,1,Pascal Siakam
Jalen Brunson,4,6:17,29.1,6,30,1,1,0,2,9,22.2,0,2,0.0,2,3,2,Pascal Siakam
Jaren Jackson Jr.,2,5:06,27.1,16,35,0,0,1,8,14,57.1,0,1,0.0,0,0,0,Pascal Siakam
James Harden,3,5:26,26.8,10,25,2,2,0,5,5,100.0,0,0,0.0,0,0,0,Pascal Siakam
Ben Simmons,2,5:17,26.5,2,43,2,1,0,1,1,100.0,0,0,0.0,0,2,1,Pascal Siakam
Bam Adebayo,2,4:50,25.9,4,30,0,1,0,1,3,33.3,0,0,0.0,2,2,1,Pascal Siakam
Mikal Bridges,2,4:39,25.6,5,28,1,0,0,1,2,50.0,1,2,50.0,2,2,1,Pascal Siakam
Aaron Nesmith,1,5:12,25.4,2,18,0,1,0,1,4,25.0,0,1,0.0,0,0,0,Pascal Siakam
Jimmy Butler,2,5:18,24.5,9,29,2,0,0,4,8,50.0,1,1,100.0,0,0,0,Pascal Siakam
Derrick White,2,5:21,24.2,8,34,1,0,0,4,6,66.7,0,1,0.0,0,0,0,Pascal Siakam
Santi Aldama,2,4:55,23.8,0,12,1,1,0,0,3,0.0,0,3,0.0,0,0,0,Pascal Siakam
Torrey Craig,2,4:33,23.7,4,27,1,1,0,2,5,40.0,0,2,0.0,0,0,0,Pascal Siakam
Tyler Herro,2,4:58,22.6,6,20,2,1,1,3,4,75.0,0,1,0.0,0,0,0,Pascal Siakam
Jarrett Allen,2,4:18,22.5,3,31,1,1,0,1,2,50.0,0,0,0.0,1,2,1,Pascal Siakam
Domantas Sabonis,2,4:13,22.4,6,30,2,0,0,3,8,37.5,0,0,0.0,0,0,0,Pascal Siakam
Paul George,1,4:18,22.2,8,25,1,1,0,3,5,60.0,2,2,100.0,0,0,0,Pascal Siakam
Kevon Looney,2,3:38,22.1,4,25,0,0,0,2,3,66.7,0,0,0.0,0,2,0,Pascal Siakam
De'Andre Hunter,2,4:08,22.1,3,23,0,0,1,1,4,25.0,1,2,50.0,0,0,0,Pascal Siakam
Royce O'Neale,3,4:55,21.8,2,14,1,1,0,1,1,100.0,0,0,0.0,0,0,0,Pascal Siakam
Franz Wagner,3,4:15,21.0,9,23,0,1,0,3,7,42.9,1,4,25.0,2,2,1,Pascal Siakam
Kevin Love,2,4:31,21.0,5,24,0,1,0,1,4,25.0,1,4,25.0,2,3,1,Pascal Siakam
Jaylen Brown,2,3:40,21.0,6,25,6,0,0,2,4,50.0,0,1,0.0,2,2,1,Pascal Siakam
Jalen McDaniels,2,3:32,20.7,2,18,1,0,0,1,3,33.3,0,0,0.0,0,0,0,Pascal Siakam
Cameron Johnson,1,4:38,20.5,3,18,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Pascal Siakam
