Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Moritz Wagner,3,8:07,36.7,9,34,2,2,0,2,4,50.0,1,3,33.3,4,4,2,Paul Reed
Isaiah Hartenstein,2,4:34,24.3,2,18,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Paul Reed
Ben Simmons,1,4:34,23.7,2,9,2,1,0,1,2,50.0,0,0,0.0,0,0,0,Paul Reed
Nick Richards,1,4:15,19.6,2,15,0,1,2,1,4,25.0,0,0,0.0,0,1,1,Paul Reed
Nerlens Noel,1,3:17,17.7,4,14,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Paul Reed
Isaiah Stewart,1,3:44,15.9,1,11,1,1,0,0,2,0.0,0,0,0.0,1,2,1,Paul Reed
Bol Bol,3,2:32,15.9,2,25,3,2,0,1,4,25.0,0,1,0.0,0,0,0,Paul Reed
Mo Bamba,3,2:40,15.7,3,11,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Paul Reed
Richaun Holmes,2,3:39,14.0,4,13,0,0,0,2,3,66.7,0,0,0.0,0,0,0,Paul Reed
Clint Capela,3,2:08,12.6,4,19,0,0,0,2,4,50.0,0,0,0.0,0,0,0,Paul Reed
John Collins,3,2:03,12.4,0,6,0,1,1,0,1,0.0,0,0,0.0,0,0,0,Paul Reed
Serge Ibaka,2,2:11,12.1,2,10,0,1,0,1,2,50.0,0,0,0.0,0,0,0,Paul Reed
Deandre Ayton,1,2:29,11.9,4,10,0,0,0,2,5,40.0,0,0,0.0,0,0,0,Paul Reed
Hamidou Diallo,2,1:38,11.6,4,10,0,1,0,2,2,100.0,0,0,0.0,0,0,0,Paul Reed
Frank Kaminsky,1,1:41,9.8,2,14,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Paul Reed
Darius Bazley,1,1:50,9.6,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Paul Reed
Giannis Antetokounmpo,2,1:38,9.6,10,12,0,0,0,4,7,57.1,0,0,0.0,2,6,2,Paul Reed
Onyeka Okongwu,2,2:20,9.0,0,7,1,2,0,0,0,0.0,0,0,0.0,0,0,0,Paul Reed
Usman Garuba,1,1:58,9.0,0,15,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Paul Reed
Jaylin Williams,2,1:17,8.9,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Paul Reed
Kristaps Porzingis,3,1:37,8.7,0,6,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Paul Reed
Nic Claxton,1,1:43,8.5,2,6,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Paul Reed
Brandon Clarke,1,1:36,8.1,2,15,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Paul Reed
Bruno Fernando,1,1:34,8.0,0,10,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Paul Reed
Admiral Schofield,1,2:00,7.8,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Paul Reed
Franz Wagner,3,1:22,7.6,6,8,0,1,0,1,2,50.0,0,1,0.0,4,4,2,Paul Reed
Obi Toppin,2,1:41,7.5,3,10,0,2,0,1,1,100.0,1,1,100.0,0,0,0,Paul Reed
Walker Kessler,1,1:32,7.0,0,8,0,0,0,0,0,0.0,0,0,0.0,0,2,1,Paul Reed
R.J. Hampton,2,1:23,7.0,4,8,1,0,0,2,4,50.0,0,1,0.0,0,0,0,Paul Reed
Jericho Sims,1,1:42,6.9,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Paul Reed
Chimezie Metu,1,1:08,6.6,2,8,0,2,1,1,2,50.0,0,0,0.0,0,0,0,Paul Reed
Kevin Knox II,2,1:14,6.5,3,9,0,1,0,1,1,100.0,1,1,100.0,0,0,0,Paul Reed
Naz Reid,1,0:52,6.5,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Paul Reed
Evan Mobley,1,1:28,6.3,2,6,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Paul Reed
Patrick Williams,1,1:22,6.0,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Paul Reed
Mason Plumlee,1,0:53,6.0,0,4,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Paul Reed
Domantas Sabonis,1,1:25,5.7,2,2,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Paul Reed
Julius Randle,1,1:27,5.7,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Paul Reed
Paolo Banchero,2,0:58,5.6,4,12,0,0,1,2,5,40.0,0,0,0.0,0,0,0,Paul Reed
Moses Brown,1,0:44,5.6,0,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Paul Reed
Trae Young,2,0:34,5.3,7,15,0,0,0,2,3,66.7,0,1,0.0,3,3,1,Paul Reed
Saddiq Bey,2,0:27,5.3,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Paul Reed
Mike Muscala,1,1:10,5.3,0,7,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Paul Reed
Gordon Hayward,1,0:43,5.1,4,4,0,1,0,2,5,40.0,0,2,0.0,0,0,0,Paul Reed
Cory Joseph,2,0:40,5.0,5,12,2,0,2,1,3,33.3,1,2,50.0,2,2,0,Paul Reed
Christian Koloko,2,1:17,5.0,0,3,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Paul Reed
Dejounte Murray,3,0:49,4.8,0,4,0,1,0,0,1,0.0,0,0,0.0,0,0,0,Paul Reed
Ivica Zubac,1,0:59,4.8,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Paul Reed
Kyrie Irving,1,0:45,4.8,9,14,1,1,0,4,5,80.0,1,1,100.0,0,0,0,Paul Reed
Seth Curry,1,0:50,4.7,2,4,0,0,0,1,5,20.0,0,2,0.0,0,0,0,Paul Reed
