Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Bam Adebayo,2,8:16,36.5,4,34,1,0,0,2,6,33.3,0,0,0.0,0,0,0,Precious Achiuwa
Alperen Sengun,2,7:18,35.8,9,40,2,1,0,3,6,50.0,0,0,0.0,3,6,1,Precious Achiuwa
Deandre Ayton,1,6:36,32.0,4,18,2,0,0,2,3,66.7,0,0,0.0,0,0,0,Precious Achiuwa
Jakob Poeltl,2,5:48,27.7,0,20,2,1,0,0,2,0.0,0,0,0.0,0,0,0,Precious Achiuwa
Jaylen Brown,1,6:05,26.2,4,18,2,1,0,2,9,22.2,0,2,0.0,0,0,0,Precious Achiuwa
Walker Kessler,1,4:52,25.2,8,32,0,0,0,4,4,100.0,0,0,0.0,0,0,0,Precious Achiuwa
Bobby Portis,2,4:36,24.8,6,21,0,1,0,3,8,37.5,0,2,0.0,0,0,0,Precious Achiuwa
Isaiah Hartenstein,3,5:25,23.4,0,13,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Precious Achiuwa
Jericho Sims,2,4:30,22.3,2,28,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Precious Achiuwa
Xavier Tillman,1,4:15,22.1,4,25,0,1,0,2,3,66.7,0,0,0.0,0,0,0,Precious Achiuwa
Onyeka Okongwu,2,4:42,21.5,6,23,1,1,0,3,4,75.0,0,0,0.0,0,0,0,Precious Achiuwa
Drew Eubanks,1,4:31,21.1,4,13,1,1,0,2,2,100.0,0,0,0.0,0,0,0,Precious Achiuwa
Brook Lopez,2,3:07,19.3,9,26,0,0,0,4,5,80.0,1,2,50.0,0,0,0,Precious Achiuwa
Zach Collins,2,3:17,19.3,3,16,2,0,0,1,1,100.0,1,1,100.0,0,0,0,Precious Achiuwa
Max Strus,2,3:16,18.6,3,13,2,0,1,1,5,20.0,1,3,33.3,0,0,0,Precious Achiuwa
Domantas Sabonis,1,3:03,18.1,0,15,1,1,0,0,0,0.0,0,0,0.0,0,0,0,Precious Achiuwa
Jaren Jackson Jr.,1,2:57,17.0,8,21,0,1,0,4,9,44.4,0,3,0.0,0,0,0,Precious Achiuwa
Julius Randle,3,3:49,16.7,9,22,1,1,0,2,5,40.0,1,3,33.3,4,4,2,Precious Achiuwa
Dewayne Dedmon,2,2:49,15.5,2,18,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Precious Achiuwa
Kyle Lowry,2,2:57,15.3,2,9,0,0,0,1,3,33.3,0,1,0.0,0,0,0,Precious Achiuwa
Jonathan Kuminga,1,2:54,15.2,8,20,0,0,0,3,3,100.0,2,2,100.0,0,0,0,Precious Achiuwa
Jimmy Butler,2,3:18,15.1,0,4,0,1,0,0,1,0.0,0,0,0.0,0,0,0,Precious Achiuwa
Georges Niang,2,2:54,14.8,2,16,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Precious Achiuwa
Nassir Little,1,2:39,14.7,0,13,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Precious Achiuwa
John Collins,2,2:47,13.9,0,13,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Precious Achiuwa
Chimezie Metu,1,3:11,13.9,0,15,0,0,0,0,2,0.0,0,0,0.0,0,0,0,Precious Achiuwa
Mason Plumlee,2,2:44,13.8,5,15,1,0,0,2,2,100.0,0,0,0.0,1,1,1,Precious Achiuwa
RJ Barrett,2,2:42,13.8,14,31,2,1,0,4,10,40.0,2,5,40.0,4,4,2,Precious Achiuwa
Draymond Green,1,2:26,13.1,1,10,0,1,0,0,0,0.0,0,0,0.0,1,2,1,Precious Achiuwa
DeMar DeRozan,2,2:11,12.3,6,19,0,1,0,3,3,100.0,0,0,0.0,0,0,0,Precious Achiuwa
Dejounte Murray,2,2:42,12.1,15,21,1,1,0,5,8,62.5,1,2,50.0,4,4,2,Precious Achiuwa
