Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Damian Lillard,4,21:09,111.1,36,119,10,0,0,10,20,50.0,4,11,36.4,12,13,5,Reggie Bullock
Donovan Mitchell,2,17:06,69.5,4,55,2,1,1,2,7,28.6,0,2,0.0,0,0,0,Reggie Bullock
Jalen Green,3,14:17,68.1,5,63,5,2,0,2,10,20.0,0,4,0.0,1,2,1,Reggie Bullock
Shai Gilgeous-Alexander,3,11:56,63.8,24,67,4,3,0,12,17,70.6,0,0,0.0,0,0,0,Reggie Bullock
Dennis Schroder,2,10:41,52.9,5,48,2,0,1,2,9,22.2,1,6,16.7,0,0,0,Reggie Bullock
CJ McCollum,2,10:30,52.7,11,46,7,1,0,5,11,45.5,1,2,50.0,0,0,0,Reggie Bullock
Paul George,3,10:50,51.2,8,59,3,8,0,3,7,42.9,0,0,0.0,2,2,1,Reggie Bullock
Jordan Clarkson,3,9:07,48.2,9,60,7,0,1,3,15,20.0,0,4,0.0,3,4,2,Reggie Bullock
Norman Powell,4,8:40,48.1,21,51,1,2,0,7,12,58.3,3,5,60.0,4,5,2,Reggie Bullock
Kyrie Irving,1,9:00,44.3,11,47,2,0,1,3,12,25.0,0,4,0.0,5,5,2,Reggie Bullock
Gary Trent Jr.,2,7:35,43.5,2,41,0,0,0,1,4,25.0,0,2,0.0,0,0,0,Reggie Bullock
D'Angelo Russell,2,7:42,41.2,7,38,2,4,0,3,6,50.0,1,3,33.3,0,0,0,Reggie Bullock
Tre Mann,3,7:53,38.3,0,37,4,1,0,0,0,0.0,0,0,0.0,0,0,0,Reggie Bullock
Devin Booker,2,6:35,38.1,8,44,1,0,0,4,9,44.4,0,0,0.0,0,0,0,Reggie Bullock
Kentavious Caldwell-Pope,2,7:49,36.2,9,42,0,0,0,4,7,57.1,1,2,50.0,0,0,0,Reggie Bullock
Terrence Ross,2,6:53,35.5,0,38,1,1,0,0,4,0.0,0,1,0.0,0,0,0,Reggie Bullock
Jayson Tatum,2,7:27,35.3,18,40,2,0,0,6,10,60.0,1,3,33.3,5,5,2,Reggie Bullock
Anthony Edwards,2,7:06,34.5,12,52,2,2,0,5,12,41.7,0,1,0.0,2,2,1,Reggie Bullock
Lauri Markkanen,3,6:44,34.5,8,38,0,0,0,4,4,100.0,0,0,0.0,0,0,0,Reggie Bullock
Kawhi Leonard,3,6:49,34.4,15,46,3,0,0,7,8,87.5,0,0,0.0,1,2,1,Reggie Bullock
Bones Hyland,3,6:45,30.7,6,34,4,2,0,1,3,33.3,0,1,0.0,4,4,1,Reggie Bullock
Trae Young,1,6:06,28.9,4,42,5,0,0,1,3,33.3,0,0,0.0,2,2,0,Reggie Bullock
Jaylen Brown,2,5:07,28.2,11,37,2,1,0,5,7,71.4,1,3,33.3,0,0,0,Reggie Bullock
Trey Murphy III,3,4:39,28.1,6,41,0,0,0,2,5,40.0,2,5,40.0,0,0,0,Reggie Bullock
Mike Conley,3,5:40,27.5,2,31,3,0,0,1,1,100.0,0,0,0.0,0,0,0,Reggie Bullock
Marcus Morris Sr.,4,4:43,26.2,7,27,1,0,0,2,4,50.0,1,2,50.0,2,2,1,Reggie Bullock
Kevin Porter Jr.,3,4:51,26.1,3,19,2,1,0,1,2,50.0,1,2,50.0,0,0,0,Reggie Bullock
Immanuel Quickley,2,5:43,25.8,4,22,2,1,0,1,5,20.0,0,2,0.0,2,2,1,Reggie Bullock
Darius Garland,2,5:45,25.8,6,35,4,0,0,3,6,50.0,0,3,0.0,0,0,0,Reggie Bullock
Jordan Poole,2,4:54,25.6,0,19,2,1,0,0,4,0.0,0,3,0.0,0,0,0,Reggie Bullock
Alec Burks,2,4:53,25.6,0,28,0,0,0,0,4,0.0,0,3,0.0,0,0,0,Reggie Bullock
LeBron James,2,4:19,25.6,12,33,2,0,0,5,10,50.0,0,2,0.0,2,4,1,Reggie Bullock
Fred VanVleet,1,5:02,24.4,2,22,3,2,0,1,2,50.0,0,0,0.0,0,0,0,Reggie Bullock
Franz Wagner,2,5:02,24.2,4,25,1,0,0,2,3,66.7,0,0,0.0,0,0,0,Reggie Bullock
