Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Bam Adebayo,2,6:54,31.1,2,32,1,1,0,1,3,33.3,0,0,0.0,0,0,0,Richaun Holmes
Brandon Clarke,2,5:09,29.0,6,16,1,4,0,2,3,66.7,0,0,0.0,2,2,1,Richaun Holmes
Thomas Bryant,2,6:31,28.8,6,29,2,0,0,3,4,75.0,0,0,0.0,0,0,0,Richaun Holmes
James Wiseman,1,4:59,27.4,6,18,2,2,0,2,2,100.0,0,0,0.0,2,2,1,Richaun Holmes
Wenyen Gabriel,2,6:33,24.8,4,25,0,0,0,2,4,50.0,0,1,0.0,0,0,0,Richaun Holmes
DeAndre Jordan,2,4:50,23.9,2,9,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Richaun Holmes
Nikola Jokic,2,4:17,22.8,12,23,2,0,0,4,4,100.0,0,0,0.0,4,4,2,Richaun Holmes
Walker Kessler,2,4:46,21.1,2,15,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Richaun Holmes
Xavier Tillman,2,3:59,20.6,2,24,0,0,1,1,3,33.3,0,0,0.0,0,0,0,Richaun Holmes
Willy Hernangomez,1,3:18,16.6,10,19,1,2,1,2,4,50.0,0,1,0.0,6,6,3,Richaun Holmes
Nick Richards,1,3:50,16.0,4,18,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Richaun Holmes
Jusuf Nurkic,1,2:23,12.9,0,13,0,1,0,0,1,0.0,0,0,0.0,0,0,0,Richaun Holmes
Paul Reed,2,3:23,12.9,2,7,0,0,0,1,3,33.3,0,0,0.0,0,0,0,Richaun Holmes
Kessler Edwards,1,1:14,11.7,3,12,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Richaun Holmes
Dewayne Dedmon,1,2:34,10.9,2,10,2,1,0,1,2,50.0,0,1,0.0,0,0,0,Richaun Holmes
Robert Covington,1,1:58,9.4,2,11,1,0,0,0,0,0.0,0,0,0.0,2,2,1,Richaun Holmes
Ivica Zubac,1,2:02,8.6,2,10,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Richaun Holmes
LeBron James,2,1:53,8.4,1,7,2,0,0,0,3,0.0,0,1,0.0,1,2,1,Richaun Holmes
Wendell Carter Jr.,1,1:34,8.2,2,8,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Richaun Holmes
Drew Eubanks,1,1:18,7.1,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Richaun Holmes
Steven Adams,1,1:02,6.9,2,10,1,1,0,1,2,50.0,0,0,0.0,0,0,0,Richaun Holmes
Jarred Vanderbilt,2,1:20,6.7,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Richaun Holmes
Luke Kornet,1,1:34,6.7,2,3,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Richaun Holmes
Terry Taylor,1,0:51,6.5,0,7,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Richaun Holmes
Max Strus,2,0:50,6.2,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Richaun Holmes
Kristaps Porzingis,1,1:17,6.0,2,7,0,0,0,0,0,0.0,0,0,0.0,2,2,1,Richaun Holmes
Moses Brown,1,1:08,5.8,4,8,0,0,0,1,3,33.3,0,0,0.0,2,2,1,Richaun Holmes
Russell Westbrook,2,1:11,5.6,4,11,1,0,0,2,4,50.0,0,0,0.0,0,0,0,Richaun Holmes
Boban Marjanovic,1,0:53,5.5,3,3,0,0,0,1,3,33.3,0,0,0.0,1,2,0,Richaun Holmes
Christian Koloko,1,1:00,5.2,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Richaun Holmes
Marvin Bagley III,1,0:58,5.1,4,9,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Richaun Holmes
Kyle Lowry,2,0:45,5.0,3,11,2,1,0,1,1,100.0,1,1,100.0,0,0,0,Richaun Holmes
Isaiah Jackson,1,0:45,4.7,0,3,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Richaun Holmes
Udonis Haslem,1,1:04,4.6,0,7,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Richaun Holmes
Mike Conley,2,0:42,4.5,0,2,1,0,0,0,3,0.0,0,2,0.0,0,0,0,Richaun Holmes
Moussa Diabate,1,0:47,4.5,0,6,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Richaun Holmes
Dennis Schroder,2,0:41,4.1,2,6,0,1,0,0,0,0.0,0,0,0.0,2,2,1,Richaun Holmes
Moritz Wagner,1,0:49,3.8,5,5,0,0,0,2,2,100.0,1,1,100.0,0,0,0,Richaun Holmes
Precious Achiuwa,1,0:50,3.7,0,8,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Richaun Holmes
Day'Ron Sharpe,1,0:30,3.7,2,9,0,0,0,0,0,0.0,0,0,0.0,2,2,1,Richaun Holmes
Jordan Poole,1,0:34,3.7,4,10,2,0,0,2,3,66.7,0,0,0.0,0,0,0,Richaun Holmes
Rudy Gay,2,0:45,3.7,3,9,1,0,0,1,1,100.0,1,1,100.0,0,0,0,Richaun Holmes
John Collins,1,0:56,3.6,0,6,1,1,0,0,0,0.0,0,0,0.0,0,0,0,Richaun Holmes
Ja Morant,2,0:33,3.6,5,8,1,0,1,2,4,50.0,0,1,0.0,1,1,1,Richaun Holmes
Tyus Jones,3,0:40,3.4,2,5,1,2,0,1,1,100.0,0,0,0.0,0,0,0,Richaun Holmes
Troy Brown Jr.,1,0:33,3.2,2,7,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Richaun Holmes
Bones Hyland,2,0:26,3.2,0,8,2,1,0,0,0,0.0,0,0,0.0,0,0,0,Richaun Holmes
Frank Kaminsky,1,0:28,3.2,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Richaun Holmes
