Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Tyus Jones,2,4:06,22.5,6,38,2,0,0,2,5,40.0,0,1,0.0,2,2,1,Ricky Rubio
Jason Preston,1,4:08,20.4,4,27,2,1,0,2,4,50.0,0,1,0.0,0,0,0,Ricky Rubio
T.J. McConnell,1,4:05,19.8,2,12,1,1,0,1,2,50.0,0,0,0.0,0,0,0,Ricky Rubio
Jevon Carter,1,3:12,14.1,0,15,2,0,0,0,1,0.0,0,0,0.0,0,0,0,Ricky Rubio
John Konchar,2,2:39,13.4,0,4,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Ricky Rubio
TyTy Washington Jr.,1,1:59,11.4,3,10,2,1,0,1,1,100.0,1,1,100.0,0,0,0,Ricky Rubio
Jose Alvarado,1,2:22,11.3,2,11,1,0,0,1,3,33.3,0,1,0.0,0,0,0,Ricky Rubio
Gabe Vincent,1,2:10,11.2,3,9,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Ricky Rubio
Miles McBride,1,2:06,10.7,1,12,3,0,0,0,1,0.0,0,1,0.0,1,2,1,Ricky Rubio
Austin Rivers,1,1:59,10.6,0,9,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Ricky Rubio
Cory Joseph,1,2:05,10.6,0,5,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Ricky Rubio
Kyle Lowry,1,1:50,9.5,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ricky Rubio
Devonte' Graham,1,2:08,8.3,0,4,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Ricky Rubio
Pat Connaughton,1,1:34,7.6,9,16,2,0,0,3,4,75.0,2,3,66.7,1,1,1,Ricky Rubio
Quentin Grimes,1,1:27,7.2,3,15,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Ricky Rubio
Gary Payton II,1,0:56,7.1,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ricky Rubio
Ja Morant,2,1:01,7.1,4,6,0,0,1,2,5,40.0,0,1,0.0,0,0,0,Ricky Rubio
Josh Hart,1,1:13,6.5,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ricky Rubio
Killian Hayes,1,1:39,6.5,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ricky Rubio
Ziaire Williams,1,1:32,6.2,0,7,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Ricky Rubio
Taurean Prince,1,0:47,5.7,2,9,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Ricky Rubio
CJ McCollum,1,1:02,5.0,2,2,0,0,0,0,1,0.0,0,1,0.0,2,3,1,Ricky Rubio
Immanuel Quickley,1,0:45,4.9,2,6,1,0,0,1,2,50.0,0,1,0.0,0,1,1,Ricky Rubio
George Hill,1,1:11,4.9,0,4,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Ricky Rubio
Alec Burks,1,0:41,4.8,0,3,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Ricky Rubio
Shaedon Sharpe,1,0:45,4.7,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ricky Rubio
Buddy Hield,1,0:55,4.4,3,7,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Ricky Rubio
Desmond Bane,2,0:44,4.4,0,2,0,1,0,0,1,0.0,0,0,0.0,0,0,0,Ricky Rubio
Josh Christopher,1,1:14,4.4,0,0,0,1,0,0,1,0.0,0,0,0.0,0,0,0,Ricky Rubio
Amir Coffey,1,1:19,4.3,3,7,0,0,0,1,1,100.0,0,0,0.0,1,1,1,Ricky Rubio
