Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Andre Drummond,3,6:06,31.9,10,32,0,1,0,4,5,80.0,0,0,0.0,2,2,1,Robin Lopez
Daniel Gafford,1,5:31,24.0,2,20,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Robin Lopez
Giannis Antetokounmpo,2,3:41,18.8,13,25,0,0,0,4,9,44.4,1,1,100.0,4,5,3,Robin Lopez
Joel Embiid,1,3:09,17.6,8,24,3,0,0,3,7,42.9,0,0,0.0,2,2,1,Robin Lopez
Thaddeus Young,2,3:53,16.0,2,19,0,1,0,1,3,33.3,0,0,0.0,0,0,0,Robin Lopez
Isaiah Hartenstein,2,2:46,15.4,4,19,0,0,0,2,3,66.7,0,1,0.0,0,0,0,Robin Lopez
Karl-Anthony Towns,1,2:32,14.9,9,21,0,2,0,4,4,100.0,1,1,100.0,0,0,0,Robin Lopez
Moses Brown,1,2:55,14.5,9,24,0,0,0,3,3,100.0,0,0,0.0,3,3,1,Robin Lopez
Brook Lopez,2,2:32,13.8,7,16,0,0,0,3,3,100.0,1,1,100.0,0,0,0,Robin Lopez
Nikola Vucevic,3,2:20,12.2,4,9,0,0,0,2,5,40.0,0,0,0.0,0,0,0,Robin Lopez
Scottie Barnes,2,2:22,11.7,7,14,1,1,0,3,4,75.0,1,1,100.0,0,0,0,Robin Lopez
Rudy Gobert,1,2:25,10.3,0,5,0,0,0,0,2,0.0,0,0,0.0,0,0,0,Robin Lopez
Onyeka Okongwu,1,1:45,9.8,6,8,0,0,0,3,4,75.0,0,0,0.0,0,0,0,Robin Lopez
Serge Ibaka,1,2:02,9.2,5,9,1,1,0,2,2,100.0,1,1,100.0,0,0,0,Robin Lopez
Anthony Davis,1,1:35,8.5,4,8,0,0,0,2,3,66.7,0,0,0.0,0,0,0,Robin Lopez
Nerlens Noel,1,1:24,8.0,2,5,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Robin Lopez
Christian Koloko,1,1:49,7.8,2,10,0,0,0,0,0,0.0,0,0,0.0,2,2,1,Robin Lopez
Orlando Robinson,1,1:31,7.5,0,0,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Robin Lopez
Udoka Azubuike,1,1:28,7.1,0,7,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Robin Lopez
Taj Gibson,1,1:29,6.6,0,3,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Robin Lopez
