Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Immanuel Quickley,3,3:18,14.4,11,27,3,1,0,5,6,83.3,1,1,100.0,0,0,0,Rodney Mcgruder
Mikal Bridges,1,2:54,14.1,2,14,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Rodney Mcgruder
Anfernee Simons,1,1:44,13.7,10,12,0,1,0,4,6,66.7,1,3,33.3,1,1,1,Rodney Mcgruder
Torrey Craig,1,2:26,12.9,0,23,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Rodney Mcgruder
Quentin Grimes,2,2:05,11.8,2,7,0,0,0,1,3,33.3,0,1,0.0,0,0,0,Rodney Mcgruder
Cedi Osman,1,2:01,11.2,2,14,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Rodney Mcgruder
Dean Wade,1,2:15,10.3,0,8,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Rodney Mcgruder
Matt Ryan,1,1:46,10.3,0,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Rodney Mcgruder
Ja Morant,1,2:08,9.9,0,13,0,0,0,0,4,0.0,0,2,0.0,0,0,0,Rodney Mcgruder
MarJon Beauchamp,2,1:35,9.0,0,8,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Rodney Mcgruder
Anthony Edwards,1,1:22,9.0,3,8,0,0,0,1,1,100.0,0,0,0.0,1,1,1,Rodney Mcgruder
Shake Milton,2,1:46,9.0,5,14,1,0,0,2,3,66.7,0,0,0.0,1,1,1,Rodney Mcgruder
D'Angelo Russell,1,2:14,8.9,0,4,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Rodney Mcgruder
Zach LaVine,1,1:13,8.4,0,6,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Rodney Mcgruder
CJ McCollum,1,1:28,7.8,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Rodney Mcgruder
Tyrese Maxey,1,1:01,7.3,2,8,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Rodney Mcgruder
Donte DiVincenzo,1,1:17,7.3,0,9,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Rodney Mcgruder
Pat Connaughton,1,1:06,7.0,0,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Rodney Mcgruder
Georges Niang,2,1:28,6.9,0,6,0,1,0,0,1,0.0,0,0,0.0,0,0,0,Rodney Mcgruder
Isaac Okoro,2,1:47,6.9,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Rodney Mcgruder
Alex Caruso,1,1:40,6.7,0,2,0,1,0,0,1,0.0,0,0,0.0,0,0,0,Rodney Mcgruder
Paul Reed,2,0:59,6.7,2,6,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Rodney Mcgruder
Grayson Allen,1,0:59,6.6,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Rodney Mcgruder
Coby White,1,1:04,6.2,0,9,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Rodney Mcgruder
John Konchar,1,1:19,6.2,0,9,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Rodney Mcgruder
Damian Lillard,1,0:48,5.8,2,8,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Rodney Mcgruder
Lamar Stevens,1,1:06,5.5,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Rodney Mcgruder
Jevon Carter,1,0:59,5.5,0,5,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Rodney Mcgruder
Montrezl Harrell,1,1:01,4.8,2,4,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Rodney Mcgruder
Talen Horton-Tucker,1,0:53,4.5,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Rodney Mcgruder
Furkan Korkmaz,2,0:59,4.5,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Rodney Mcgruder
Keldon Johnson,1,0:44,4.4,0,3,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Rodney Mcgruder
Bobby Portis,1,0:39,4.4,0,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Rodney Mcgruder
Donovan Mitchell,1,1:09,4.4,1,3,0,0,0,0,2,0.0,0,2,0.0,1,2,1,Rodney Mcgruder
Jaden Springer,1,1:06,4.3,2,6,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Rodney Mcgruder
Tobias Harris,2,0:49,4.3,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Rodney Mcgruder
James Harden,1,0:47,4.3,3,7,1,1,0,1,1,100.0,0,0,0.0,1,2,1,Rodney Mcgruder
Austin Rivers,1,0:53,4.2,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Rodney Mcgruder
De'Anthony Melton,2,0:44,4.2,2,4,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Rodney Mcgruder
Cameron Payne,1,0:38,4.1,0,8,4,0,0,0,0,0.0,0,0,0.0,0,0,0,Rodney Mcgruder
Matisse Thybulle,1,0:46,4.1,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Rodney Mcgruder
Tyrese Martin,1,0:49,4.0,2,2,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Rodney Mcgruder
Shaedon Sharpe,1,0:49,4.0,0,8,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Rodney Mcgruder
Justin Jackson,1,0:57,4.0,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Rodney Mcgruder
Jordan Nwora,2,0:54,3.8,0,4,2,1,0,0,0,0.0,0,0,0.0,0,0,0,Rodney Mcgruder
Deandre Ayton,1,0:29,3.7,2,12,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Rodney Mcgruder
Malaki Branham,1,0:38,3.6,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Rodney Mcgruder
Tre Jones,1,0:24,3.5,0,2,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Rodney Mcgruder
Raul Neto,2,0:56,3.4,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Rodney Mcgruder
Sam Hauser,1,0:51,3.2,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Rodney Mcgruder
