Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Desmond Bane,3,10:09,56.0,21,69,3,2,0,8,14,57.1,5,6,83.3,0,0,0,Romeo Langford
Anthony Edwards,2,10:11,51.0,6,52,4,1,0,2,7,28.6,1,3,33.3,1,2,0,Romeo Langford
Kevin Porter Jr.,2,8:10,39.9,0,36,2,1,0,0,5,0.0,0,1,0.0,0,0,0,Romeo Langford
Quentin Grimes,2,7:30,39.2,7,36,0,0,0,2,6,33.3,1,3,33.3,2,2,1,Romeo Langford
Donovan Mitchell,1,5:52,29.2,7,28,0,2,1,3,5,60.0,1,2,50.0,0,0,0,Romeo Langford
Killian Hayes,1,4:55,28.2,2,24,2,2,0,1,3,33.3,0,2,0.0,0,0,0,Romeo Langford
Naji Marshall,3,5:06,25.5,8,28,1,1,0,3,4,75.0,2,3,66.7,0,0,0,Romeo Langford
Devonte' Graham,3,4:40,25.0,3,24,0,0,0,1,3,33.3,1,3,33.3,0,0,0,Romeo Langford
Paul George,1,5:45,24.3,2,36,5,0,0,1,4,25.0,0,1,0.0,0,0,0,Romeo Langford
Damian Lillard,1,4:31,23.9,9,24,4,1,0,2,3,66.7,0,1,0.0,5,5,2,Romeo Langford
Jaylen Brown,1,3:44,21.4,4,25,0,0,0,2,5,40.0,0,2,0.0,0,0,0,Romeo Langford
Jayson Tatum,1,4:15,19.8,2,19,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Romeo Langford
Russell Westbrook,2,3:29,18.4,0,19,4,0,1,0,2,0.0,0,0,0.0,0,0,0,Romeo Langford
LeBron James,2,4:26,18.4,7,21,0,1,1,2,5,40.0,1,2,50.0,2,2,1,Romeo Langford
Kevin Huerter,1,3:54,18.0,2,22,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Romeo Langford
Tyus Jones,3,3:33,17.6,5,24,2,0,0,2,3,66.7,1,1,100.0,0,0,0,Romeo Langford
Tyler Herro,1,3:44,17.2,11,19,1,0,0,4,6,66.7,3,4,75.0,0,0,0,Romeo Langford
Austin Reaves,2,2:59,17.1,0,12,0,2,0,0,2,0.0,0,2,0.0,0,0,0,Romeo Langford
Joe Harris,2,2:56,16.8,2,10,0,1,0,1,2,50.0,0,1,0.0,0,0,0,Romeo Langford
Klay Thompson,1,2:41,16.2,4,13,2,1,0,2,3,66.7,0,0,0.0,0,0,0,Romeo Langford
Lonnie Walker IV,2,2:25,15.2,6,25,1,1,0,2,3,66.7,0,1,0.0,2,2,1,Romeo Langford
Dyson Daniels,2,2:43,14.9,0,8,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Romeo Langford
Eric Gordon,2,2:32,13.5,5,17,1,0,1,2,3,66.7,1,1,100.0,0,0,0,Romeo Langford
Jose Alvarado,3,2:38,13.0,6,18,2,1,0,2,3,66.7,2,3,66.7,0,0,0,Romeo Langford
Josh Giddey,2,2:09,12.7,4,16,2,0,0,2,3,66.7,0,0,0.0,0,0,0,Romeo Langford
