Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Jusuf Nurkic,3,21:23,99.6,22,99,8,7,1,8,19,42.1,0,6,0.0,6,10,3,Rudy Gobert
Domantas Sabonis,2,17:43,94.6,23,94,3,4,1,11,17,64.7,0,0,0.0,1,2,1,Rudy Gobert
Alperen Sengun,2,20:14,93.0,24,82,7,7,1,10,18,55.6,1,2,50.0,3,6,3,Rudy Gobert
Deandre Ayton,2,15:44,78.0,2,82,5,2,2,1,18,5.6,0,1,0.0,0,0,0,Rudy Gobert
Jakob Poeltl,3,15:28,77.7,18,79,5,3,1,9,11,81.8,0,0,0.0,0,2,1,Rudy Gobert
Jonas Valanciunas,2,15:46,76.3,17,62,2,2,1,8,17,47.1,1,4,25.0,0,0,0,Rudy Gobert
Myles Turner,2,14:17,69.8,20,61,2,2,0,8,11,72.7,3,5,60.0,1,2,1,Rudy Gobert
Jarred Vanderbilt,3,14:31,60.8,7,61,3,1,0,3,8,37.5,0,1,0.0,1,1,1,Rudy Gobert
Steven Adams,2,12:59,56.5,4,51,3,0,1,2,6,33.3,0,0,0.0,0,0,0,Rudy Gobert
Ivica Zubac,2,12:07,54.5,8,39,1,3,1,4,10,40.0,0,0,0.0,0,0,0,Rudy Gobert
Mo Bamba,2,10:16,52.1,10,46,3,2,0,4,12,33.3,2,8,25.0,0,0,0,Rudy Gobert
Evan Mobley,2,10:45,51.9,10,64,3,2,0,4,6,66.7,0,0,0.0,2,6,3,Rudy Gobert
Brandon Clarke,3,10:26,51.7,14,56,4,2,0,7,11,63.6,0,0,0.0,0,0,0,Rudy Gobert
Bismack Biyombo,3,7:50,40.8,0,41,2,1,0,0,0,0.0,0,0,0.0,0,0,0,Rudy Gobert
Joel Embiid,1,8:33,39.7,13,35,3,2,0,5,12,41.7,1,2,50.0,2,2,2,Rudy Gobert
Mason Plumlee,1,7:21,38.9,0,37,2,1,0,0,1,0.0,0,0,0.0,0,0,0,Rudy Gobert
Aaron Gordon,2,6:39,37.1,6,44,6,2,2,2,10,20.0,0,3,0.0,2,2,1,Rudy Gobert
Drew Eubanks,3,8:21,36.2,8,40,1,2,0,4,4,100.0,0,0,0.0,0,0,0,Rudy Gobert
Bam Adebayo,1,7:50,35.9,8,24,1,1,1,3,7,42.9,0,0,0.0,2,2,1,Rudy Gobert
Orlando Robinson,1,7:57,35.7,8,40,3,1,0,4,6,66.7,0,0,0.0,0,0,0,Rudy Gobert
Christian Wood,1,8:35,33.7,8,36,1,2,0,4,10,40.0,0,3,0.0,0,0,0,Rudy Gobert
Al Horford,1,6:43,33.4,12,41,1,0,0,4,6,66.7,4,6,66.7,0,0,0,Rudy Gobert
Zach Collins,3,6:24,33.0,13,34,5,0,1,6,12,50.0,1,4,25.0,0,0,0,Rudy Gobert
Jeremiah Robinson-Earl,3,5:36,32.8,5,26,1,0,0,2,2,100.0,1,1,100.0,0,0,0,Rudy Gobert
Damian Jones,1,6:41,32.2,0,28,1,2,1,0,2,0.0,0,0,0.0,0,0,0,Rudy Gobert
Jeremy Sochan,2,6:38,30.8,9,32,1,0,0,4,6,66.7,1,2,50.0,0,0,0,Rudy Gobert
Nikola Jokic,2,4:40,30.7,9,41,7,0,0,4,5,80.0,1,1,100.0,0,1,1,Rudy Gobert
Walker Kessler,2,7:00,29.4,2,36,2,1,0,1,2,50.0,0,0,0.0,0,0,0,Rudy Gobert
Kenrich Williams,3,5:58,28.9,7,21,1,0,0,3,8,37.5,1,3,33.3,0,2,1,Rudy Gobert
Jock Landale,3,6:32,27.7,2,25,1,0,0,0,2,0.0,0,1,0.0,2,2,1,Rudy Gobert
