Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Julius Randle,3,13:44,64.4,12,63,4,0,0,3,16,18.8,1,6,16.7,5,6,4,Rui Hachimura
Tobias Harris,3,7:19,35.1,5,23,0,0,1,2,6,33.3,1,1,100.0,0,0,0,Rui Hachimura
Jalen Williams,3,6:58,34.9,6,40,2,2,0,3,7,42.9,0,1,0.0,0,0,0,Rui Hachimura
Bobby Portis,2,6:32,32.7,2,37,2,0,0,1,4,25.0,0,0,0.0,0,0,0,Rui Hachimura
Rudy Gay,2,5:32,32.1,2,42,0,0,0,1,4,25.0,0,1,0.0,0,0,0,Rui Hachimura
Giannis Antetokounmpo,2,5:14,31.3,12,36,1,1,0,5,10,50.0,0,1,0.0,2,2,2,Rui Hachimura
Bol Bol,2,4:57,28.3,2,28,0,0,1,1,4,25.0,0,1,0.0,0,0,0,Rui Hachimura
Bennedict Mathurin,3,5:19,28.1,2,23,0,2,0,1,4,25.0,0,0,0.0,0,0,0,Rui Hachimura
David Roddy,2,7:12,27.6,0,18,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Rui Hachimura
Jalen McDaniels,1,5:29,26.5,0,21,1,0,0,0,3,0.0,0,3,0.0,0,0,0,Rui Hachimura
Oshae Brissett,2,5:15,26.2,0,5,0,0,0,0,4,0.0,0,1,0.0,0,0,0,Rui Hachimura
Lauri Markkanen,2,4:59,26.0,2,25,0,0,1,1,6,16.7,0,2,0.0,0,0,0,Rui Hachimura
Trey Murphy III,2,4:08,25.3,3,19,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Rui Hachimura
Montrezl Harrell,3,3:55,24.8,4,28,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Rui Hachimura
Grant Williams,2,5:10,24.8,3,40,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Rui Hachimura
Andrew Nembhard,2,3:38,23.1,0,20,2,0,0,0,0,0.0,0,0,0.0,0,0,0,Rui Hachimura
Larry Nance Jr.,2,4:19,22.7,4,26,0,0,0,2,3,66.7,0,0,0.0,0,0,0,Rui Hachimura
Brook Lopez,3,3:54,21.6,0,23,1,0,0,0,2,0.0,0,2,0.0,0,0,0,Rui Hachimura
Paolo Banchero,2,3:34,20.7,4,19,1,2,0,1,5,20.0,0,1,0.0,2,2,1,Rui Hachimura
Sandro Mamukelashvili,2,3:46,20.6,0,18,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Rui Hachimura
Georges Niang,3,4:42,20.4,0,24,1,0,1,0,1,0.0,0,0,0.0,0,0,0,Rui Hachimura
Obi Toppin,3,4:01,19.9,0,17,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Rui Hachimura
Royce O'Neale,2,4:08,19.8,8,15,0,0,0,3,5,60.0,2,3,66.7,0,0,0,Rui Hachimura
Yuta Watanabe,2,3:58,19.3,3,28,0,0,1,1,3,33.3,1,2,50.0,0,0,0,Rui Hachimura
Kenrich Williams,3,3:29,19.2,0,30,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Rui Hachimura
Santi Aldama,2,3:27,17.9,0,29,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Rui Hachimura
Isaiah Livers,1,3:29,17.3,0,19,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Rui Hachimura
Anthony Lamb,1,3:18,17.0,3,16,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Rui Hachimura
Isaiah Hartenstein,3,2:47,16.6,2,19,0,0,0,1,4,25.0,0,1,0.0,0,0,0,Rui Hachimura
Trey Lyles,1,2:12,16.4,0,15,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Rui Hachimura
Patrick Williams,2,3:28,16.3,0,13,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Rui Hachimura
Buddy Hield,3,2:25,15.5,11,26,0,2,0,4,5,80.0,3,4,75.0,0,0,0,Rui Hachimura
Jalen Brunson,3,3:14,15.4,9,17,0,1,0,3,7,42.9,1,2,50.0,2,2,1,Rui Hachimura
Ish Wainright,1,3:46,15.4,3,21,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Rui Hachimura
Naji Marshall,2,2:54,15.0,0,20,1,0,1,0,2,0.0,0,1,0.0,0,0,0,Rui Hachimura
Markieff Morris,2,2:37,14.8,2,20,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Rui Hachimura
Tyrese Haliburton,3,2:15,14.8,5,23,3,0,0,2,5,40.0,1,3,33.3,0,0,0,Rui Hachimura
Mike Muscala,3,2:34,14.6,2,13,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Rui Hachimura
Pat Connaughton,3,2:56,14.5,0,21,1,0,0,0,3,0.0,0,2,0.0,0,0,0,Rui Hachimura
Josh Giddey,3,2:22,14.3,2,21,1,0,0,1,4,25.0,0,1,0.0,0,0,0,Rui Hachimura
Franz Wagner,2,2:05,14.3,0,6,1,0,1,0,5,0.0,0,1,0.0,0,0,0,Rui Hachimura
Maxi Kleber,1,2:30,14.0,0,8,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Rui Hachimura
Haywood Highsmith,1,2:54,14.0,0,10,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Rui Hachimura
Jrue Holiday,2,1:27,13.7,3,24,0,1,0,1,4,25.0,1,3,33.3,0,0,0,Rui Hachimura
Kevon Harris,1,2:28,13.6,0,16,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Rui Hachimura
RJ Barrett,3,2:55,13.4,2,14,0,0,0,1,5,20.0,0,2,0.0,0,0,0,Rui Hachimura
Kevin Love,1,2:54,13.4,0,6,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Rui Hachimura
Jalen Smith,2,2:23,13.4,0,12,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Rui Hachimura
Quentin Grimes,3,2:45,12.6,2,10,2,0,0,1,3,33.3,0,1,0.0,0,0,0,Rui Hachimura
Luke Kornet,2,1:49,12.6,0,16,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Rui Hachimura
