Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Jose Alvarado,2,2:49,14.0,1,21,0,0,0,0,2,0.0,0,0,0.0,1,2,0,Ryan Rollins
Devonte' Graham,1,2:24,11.2,0,3,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Ryan Rollins
Jordan Hall,1,1:21,6.2,2,7,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Ryan Rollins
Cam Thomas,1,1:09,6.0,0,0,0,2,0,0,1,0.0,0,0,0.0,0,0,0,Ryan Rollins
Dyson Daniels,1,0:50,5.2,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Ryan Rollins
Miles McBride,1,1:01,4.9,2,3,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Ryan Rollins
Garrett Temple,1,0:46,4.6,2,9,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Ryan Rollins
Brandon Ingram,2,0:52,4.3,4,10,2,0,0,1,2,50.0,0,0,0.0,2,2,0,Ryan Rollins
Larry Nance Jr.,2,0:42,4.0,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
Norman Powell,1,0:37,3.9,0,6,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
Naji Marshall,2,0:22,3.8,0,2,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Ryan Rollins
CJ McCollum,2,0:35,3.4,0,6,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Ryan Rollins
Robert Covington,1,0:24,3.2,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
Zion Williamson,1,0:15,2.8,0,2,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
Edmond Sumner,1,0:30,2.8,0,3,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
Cole Anthony,1,0:32,2.7,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
Keita Bates-Diop,1,0:32,2.7,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
Isaiah Roby,1,0:20,2.4,3,3,0,0,0,1,2,50.0,0,1,0.0,1,2,1,Ryan Rollins
Isaiah Hartenstein,1,0:23,2.1,0,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
Dalano Banton,1,0:10,2.0,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
Herbert Jones,1,0:19,1.9,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
Ryan Arcidiacono,1,0:26,1.9,3,3,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Ryan Rollins
Patty Mills,1,0:24,1.9,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
Jeremy Sochan,1,0:22,1.9,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
Jericho Sims,1,0:19,1.8,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
Terance Mann,1,0:27,1.8,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
De'Aaron Fox,1,0:14,1.8,2,5,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Ryan Rollins
Shake Milton,1,0:31,1.7,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
Scotty Pippen Jr.,1,0:12,1.6,2,2,0,0,0,0,0,0.0,0,0,0.0,2,2,0,Ryan Rollins
Immanuel Quickley,1,0:23,1.5,0,2,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Ryan Rollins
Amir Coffey,1,0:12,1.4,0,2,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
Josh Richardson,1,0:10,1.4,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
Max Christie,1,0:13,1.4,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
Svi Mykhailiuk,1,0:08,1.3,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
Malachi Flynn,1,0:18,1.3,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
Thaddeus Young,1,0:03,1.0,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
Willy Hernangomez,1,0:11,0.9,0,0,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Ryan Rollins
Jaden Ivey,1,0:24,0.9,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
T.J. Warren,1,0:06,0.9,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
Jonas Valanciunas,1,0:09,0.8,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
Charles Bassey,1,0:11,0.8,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
Moses Brown,1,0:06,0.7,2,5,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Ryan Rollins
Markelle Fultz,1,0:10,0.7,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
Jaxson Hayes,1,0:07,0.7,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
Paolo Banchero,1,0:11,0.7,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
Gorgui Dieng,1,0:09,0.6,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
Quentin Grimes,1,0:12,0.5,2,2,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Ryan Rollins
Trey Murphy III,1,0:09,0.5,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
Cole Swider,1,0:03,0.4,0,3,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
Paul Reed,1,0:05,0.3,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Ryan Rollins
