Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Julius Randle,4,17:47,85.9,24,94,2,3,1,10,19,52.6,1,3,33.3,3,4,1,Saddiq Bey
John Collins,3,13:34,72.1,6,89,1,1,1,3,4,75.0,0,0,0.0,0,0,0,Saddiq Bey
DeMar DeRozan,2,12:22,69.5,10,68,6,2,1,5,12,41.7,0,1,0.0,0,0,0,Saddiq Bey
Paolo Banchero,2,10:39,52.0,8,43,1,1,0,2,8,25.0,0,0,0.0,4,4,2,Saddiq Bey
Jayson Tatum,3,10:29,49.6,10,41,4,0,0,3,7,42.9,0,2,0.0,4,5,2,Saddiq Bey
Dean Wade,3,10:23,49.1,0,50,1,2,0,0,1,0.0,0,1,0.0,0,0,0,Saddiq Bey
Paul George,2,9:02,44.3,3,33,4,2,0,1,4,25.0,0,2,0.0,1,2,0,Saddiq Bey
Grant Williams,3,7:33,38.9,7,53,1,0,0,3,4,75.0,1,2,50.0,0,0,0,Saddiq Bey
Evan Mobley,3,8:44,38.7,6,30,1,1,1,3,8,37.5,0,1,0.0,0,0,0,Saddiq Bey
Brook Lopez,3,7:23,37.3,10,37,1,0,0,4,4,100.0,0,0,0.0,2,2,0,Saddiq Bey
Giannis Antetokounmpo,3,6:10,36.3,13,37,2,1,0,6,13,46.2,0,1,0.0,1,2,1,Saddiq Bey
Montrezl Harrell,3,5:38,32.7,4,33,1,2,0,2,3,66.7,0,0,0.0,0,0,0,Saddiq Bey
Santi Aldama,2,5:58,32.4,5,35,1,0,0,2,3,66.7,1,1,100.0,0,0,0,Saddiq Bey
Anthony Edwards,2,5:54,31.2,12,34,4,0,0,5,7,71.4,2,2,100.0,0,0,0,Saddiq Bey
Draymond Green,2,5:50,29.8,3,37,6,0,0,1,2,50.0,1,1,100.0,0,0,0,Saddiq Bey
Isaac Okoro,3,5:01,26.8,4,34,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Saddiq Bey
Jalen Brunson,4,5:30,25.6,2,40,3,1,0,1,5,20.0,0,0,0.0,0,0,0,Saddiq Bey
Nick Richards,2,4:56,25.5,4,25,1,1,0,2,2,100.0,0,0,0.0,0,0,0,Saddiq Bey
Jrue Holiday,3,4:58,25.1,17,45,5,2,0,7,10,70.0,3,6,50.0,0,0,0,Saddiq Bey
Tobias Harris,3,4:38,24.7,4,26,0,1,1,2,3,66.7,0,0,0.0,0,0,0,Saddiq Bey
Damian Lillard,1,3:56,23.9,2,27,4,2,0,1,1,100.0,0,0,0.0,0,0,0,Saddiq Bey
RJ Barrett,4,5:00,23.5,4,28,0,0,0,2,6,33.3,0,1,0.0,0,0,0,Saddiq Bey
Trey Murphy III,2,4:44,23.4,5,26,1,0,0,2,4,50.0,1,3,33.3,0,0,0,Saddiq Bey
Mitchell Robinson,3,5:11,23.2,0,22,0,0,0,0,1,0.0,0,0,0.0,0,2,1,Saddiq Bey
Anthony Lamb,2,4:11,22.4,3,21,1,0,0,1,1,100.0,1,1,100.0,0,0,0,Saddiq Bey
Kenyon Martin Jr.,1,3:21,21.5,0,10,0,1,0,0,2,0.0,0,1,0.0,0,0,0,Saddiq Bey
Keegan Murray,1,3:44,21.4,3,20,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Saddiq Bey
Jalen Williams,1,3:39,20.9,0,14,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Saddiq Bey
Bennedict Mathurin,1,4:54,20.8,5,19,1,1,0,2,2,100.0,1,1,100.0,0,0,0,Saddiq Bey
Brandon Clarke,2,3:50,20.8,6,13,0,1,0,3,3,100.0,0,0,0.0,0,0,0,Saddiq Bey
Naji Marshall,2,3:51,19.7,5,24,2,1,0,2,3,66.7,1,2,50.0,0,0,0,Saddiq Bey
Obi Toppin,4,3:41,19.6,0,17,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Saddiq Bey
Georges Niang,3,3:19,19.4,3,28,0,0,0,1,4,25.0,1,4,25.0,0,0,0,Saddiq Bey
Dwight Powell,2,4:15,19.1,2,20,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Saddiq Bey
P.J. Tucker,2,2:57,18.3,0,28,0,0,0,0,2,0.0,0,0,0.0,0,0,0,Saddiq Bey
LeBron James,1,3:38,18.1,2,13,0,0,0,1,3,33.3,0,1,0.0,0,0,0,Saddiq Bey
Norman Powell,2,3:41,17.8,5,23,0,0,0,2,4,50.0,1,2,50.0,0,0,0,Saddiq Bey
Chris Boucher,1,3:56,17.6,2,13,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Saddiq Bey
Larry Nance Jr.,2,3:30,17.5,2,12,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Saddiq Bey
Jaylen Brown,1,3:11,17.4,2,19,2,0,0,1,3,33.3,0,1,0.0,0,0,0,Saddiq Bey
Ben Simmons,2,3:45,17.2,0,29,2,1,0,0,1,0.0,0,0,0.0,0,0,0,Saddiq Bey
Christian Wood,1,3:17,17.1,1,16,2,0,0,0,0,0.0,0,0,0.0,1,2,1,Saddiq Bey
Bam Adebayo,1,3:17,17.1,2,10,0,0,0,1,3,33.3,0,0,0.0,0,0,0,Saddiq Bey
Jordan Poole,2,3:03,17.0,10,24,2,0,0,4,6,66.7,2,3,66.7,0,0,0,Saddiq Bey
Sam Hauser,3,3:30,16.9,5,33,0,0,0,2,2,100.0,1,1,100.0,0,0,0,Saddiq Bey
Jordan Nwora,3,3:25,16.9,2,24,0,0,1,1,2,50.0,0,1,0.0,0,0,0,Saddiq Bey
Yuta Watanabe,2,3:07,16.8,0,24,1,1,0,0,0,0.0,0,0,0.0,0,0,0,Saddiq Bey
Jaren Jackson Jr.,2,3:27,16.6,2,11,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Saddiq Bey
Shake Milton,3,2:44,16.4,2,25,2,0,0,1,1,100.0,0,0,0.0,0,0,0,Saddiq Bey
James Harden,3,3:33,16.4,2,18,3,0,0,1,3,33.3,0,0,0.0,0,0,0,Saddiq Bey
