Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Rui Hachimura,2,4:50,25.2,7,21,0,1,0,3,4,75.0,1,1,100.0,0,0,0,Sandro Mamukelashvili
Jamal Cain,2,4:25,20.6,2,17,0,1,0,0,1,0.0,0,0,0.0,2,2,1,Sandro Mamukelashvili
Kai Jones,1,3:20,15.8,0,10,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
Rudy Gay,1,2:46,14.1,0,20,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Sandro Mamukelashvili
Caleb Houstan,1,2:42,13.6,0,6,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Sandro Mamukelashvili
Chris Boucher,1,3:01,13.0,2,6,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Sandro Mamukelashvili
Moritz Wagner,1,2:41,10.7,2,9,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
Isaac Okoro,2,2:42,10.5,0,8,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
John Butler Jr.,2,1:44,10.1,0,16,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
Christian Wood,1,1:47,8.9,3,16,1,1,0,1,3,33.3,1,2,50.0,0,0,0,Sandro Mamukelashvili
Wenyen Gabriel,1,1:52,8.1,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
Simone Fontecchio,1,1:21,7.4,2,9,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Sandro Mamukelashvili
Kelly Olynyk,1,1:26,7.3,2,2,2,1,0,0,1,0.0,0,1,0.0,2,2,1,Sandro Mamukelashvili
Haywood Highsmith,1,1:23,6.7,0,8,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Sandro Mamukelashvili
Bam Adebayo,2,0:58,5.8,2,8,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
Aaron Wiggins,1,1:24,5.1,0,11,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
Luke Kornet,1,0:56,5.0,2,4,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
Romeo Langford,1,0:57,5.0,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
Lauri Markkanen,1,0:43,4.9,2,2,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
Admiral Schofield,1,0:45,4.9,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
Robin Lopez,2,1:02,4.9,0,14,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
Vernon Carey Jr.,1,1:03,4.8,2,4,0,1,0,1,1,100.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
P.J. Washington,1,0:40,4.7,0,3,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
Mamadi Diakite,1,1:00,4.7,5,7,0,1,0,2,2,100.0,1,1,100.0,0,0,0,Sandro Mamukelashvili
Max Strus,2,0:55,4.6,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
Vit Krejci,1,1:14,4.6,3,3,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Sandro Mamukelashvili
Franz Wagner,1,1:05,4.3,2,5,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
Daniel Gafford,1,0:25,3.6,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
Orlando Robinson,2,0:26,3.4,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
Isaiah Mobley,2,0:24,3.4,2,2,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
Kenrich Williams,1,0:36,3.3,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
Jaden McDaniels,1,0:40,3.3,0,5,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
Jalen Johnson,1,0:37,3.1,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
Mason Plumlee,1,0:21,3.0,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
Davis Bertans,1,0:23,3.0,0,3,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
Herbert Jones,1,0:29,3.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
Deni Avdija,1,0:23,2.7,3,7,0,0,0,1,1,100.0,0,0,0.0,1,2,1,Sandro Mamukelashvili
Paolo Banchero,1,0:26,2.7,3,5,0,0,0,0,2,0.0,0,0,0.0,3,4,2,Sandro Mamukelashvili
Jeremy Sochan,1,0:52,2.7,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
Bol Bol,1,0:24,2.6,0,2,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
Dean Wade,1,0:29,2.6,0,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
Nick Richards,1,0:34,2.6,2,4,0,0,1,1,2,50.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
Markelle Fultz,1,0:24,2.4,0,1,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Sandro Mamukelashvili
Mike Conley,1,0:21,2.4,4,4,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
Isaiah Roby,1,0:18,2.2,0,3,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
Walker Kessler,1,0:29,2.2,2,5,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Sandro Mamukelashvili
