Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Tre Jones,2,9:12,46.3,6,42,3,0,0,3,9,33.3,0,5,0.0,0,0,0,Seth Curry
Derrick White,3,9:14,41.4,8,69,1,0,0,3,6,50.0,2,4,50.0,0,0,0,Seth Curry
Corey Kispert,3,8:11,40.4,14,57,0,0,0,5,6,83.3,3,4,75.0,1,2,1,Seth Curry
Jalen McDaniels,3,7:02,35.3,7,40,3,0,0,3,3,100.0,0,0,0.0,1,1,1,Seth Curry
Buddy Hield,2,6:58,34.0,8,42,2,1,1,3,4,75.0,2,3,66.7,0,0,0,Seth Curry
Coby White,1,6:14,32.5,3,38,1,0,0,1,2,50.0,1,1,100.0,0,0,0,Seth Curry
Shaedon Sharpe,2,7:31,30.8,10,26,0,0,0,3,4,75.0,2,3,66.7,2,2,1,Seth Curry
Josh Hart,2,6:33,27.8,0,26,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Seth Curry
Quentin Grimes,2,5:34,27.0,3,36,0,0,0,1,3,33.3,1,3,33.3,0,0,0,Seth Curry
Norman Powell,1,5:08,25.8,3,21,1,0,0,1,1,100.0,1,1,100.0,0,0,0,Seth Curry
Donte DiVincenzo,1,5:41,25.1,3,19,2,0,0,1,3,33.3,1,1,100.0,0,0,0,Seth Curry
Trent Forrest,2,4:30,24.8,2,19,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Seth Curry
Jordan Goodwin,3,4:08,24.4,3,23,1,1,0,1,1,100.0,0,0,0.0,1,1,1,Seth Curry
Ty Jerome,2,3:39,22.3,8,31,1,0,1,3,4,75.0,1,1,100.0,1,1,1,Seth Curry
R.J. Hampton,1,4:50,21.8,2,23,1,1,0,1,4,25.0,0,3,0.0,0,0,0,Seth Curry
Immanuel Quickley,2,3:56,21.5,0,25,3,0,0,0,4,0.0,0,4,0.0,0,0,0,Seth Curry
Gary Trent Jr.,1,3:54,21.1,2,16,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Seth Curry
Patrick Beverley,1,3:40,20.0,0,15,1,0,0,0,3,0.0,0,1,0.0,0,0,0,Seth Curry
Theo Maledon,3,3:57,18.2,7,17,2,0,0,2,5,40.0,1,3,33.3,2,2,1,Seth Curry
Jeremy Sochan,2,2:50,18.1,0,30,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Seth Curry
Damion Lee,1,3:51,18.0,2,21,0,0,0,0,1,0.0,0,0,0.0,2,2,1,Seth Curry
De'Anthony Melton,2,3:50,17.1,0,21,0,0,0,0,3,0.0,0,3,0.0,0,0,0,Seth Curry
Payton Pritchard,2,3:09,15.4,2,18,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Seth Curry
Tyus Jones,1,3:05,15.0,5,20,2,0,0,2,3,66.7,1,1,100.0,0,0,0,Seth Curry
Davion Mitchell,1,2:54,14.8,3,26,0,0,0,1,1,100.0,0,0,0.0,1,2,0,Seth Curry
Bryce McGowens,1,3:45,14.8,0,13,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Seth Curry
Justise Winslow,2,3:17,14.7,2,16,0,2,0,1,2,50.0,0,0,0.0,0,0,0,Seth Curry
Gabe Vincent,1,3:31,14.6,0,20,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Seth Curry
Will Barton,2,2:21,14.5,0,16,2,0,0,0,1,0.0,0,0,0.0,0,0,0,Seth Curry
John Konchar,1,2:26,13.8,3,12,0,0,0,1,3,33.3,1,3,33.3,0,0,0,Seth Curry
RJ Barrett,2,2:43,13.7,4,11,0,0,0,1,5,20.0,1,2,50.0,1,2,1,Seth Curry
Saben Lee,1,2:49,13.6,2,6,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Seth Curry
Dennis Schroder,1,2:42,13.4,3,18,0,0,0,1,4,25.0,1,3,33.3,0,1,1,Seth Curry
Matisse Thybulle,2,2:57,12.8,3,15,1,0,0,1,2,50.0,1,2,50.0,0,0,0,Seth Curry
Furkan Korkmaz,1,3:00,12.8,0,18,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Seth Curry
Deni Avdija,3,1:59,12.2,8,13,1,0,0,2,3,66.7,0,1,0.0,4,6,2,Seth Curry
Isaiah Joe,1,2:39,12.0,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Seth Curry
Tyrese Maxey,1,2:38,11.8,5,19,0,0,0,2,4,50.0,1,2,50.0,0,0,0,Seth Curry
Jose Alvarado,1,1:46,11.6,3,17,0,0,0,1,3,33.3,1,2,50.0,0,0,0,Seth Curry
Jakob Poeltl,2,1:58,11.6,2,9,1,1,0,1,3,33.3,0,0,0.0,0,0,0,Seth Curry
James Bouknight,2,3:03,11.6,0,7,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Seth Curry
Jordan Poole,2,1:43,11.4,3,14,0,0,0,1,1,100.0,0,0,0.0,1,1,1,Seth Curry
Mike Conley,1,2:27,11.4,0,10,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Seth Curry
Jaylen Brown,2,2:08,11.4,13,20,0,1,0,4,6,66.7,3,3,100.0,2,2,1,Seth Curry
Malcolm Brogdon,3,1:60,11.3,5,16,1,1,0,2,2,100.0,1,1,100.0,0,0,0,Seth Curry
Tobias Harris,2,2:14,11.3,0,18,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Seth Curry
Shake Milton,2,2:28,11.1,5,16,1,0,0,2,3,66.7,1,1,100.0,0,0,0,Seth Curry
Bennedict Mathurin,2,1:28,11.0,5,11,1,0,0,2,3,66.7,1,1,100.0,0,0,0,Seth Curry
Marcus Smart,1,2:19,10.8,0,5,1,1,0,0,2,0.0,0,2,0.0,0,0,0,Seth Curry
Justin Holiday,2,2:30,10.8,0,8,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Seth Curry
