Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Frank Ntilikina,3,7:11,37.6,8,35,3,1,0,3,4,75.0,2,3,66.7,0,0,0,Shaedon Sharpe
Bruce Brown,4,8:23,36.0,3,49,1,1,0,1,2,50.0,1,2,50.0,0,0,0,Shaedon Sharpe
Collin Sexton,3,6:01,32.0,14,34,3,0,1,5,7,71.4,3,4,75.0,1,1,1,Shaedon Sharpe
Bones Hyland,4,6:07,29.8,10,37,3,0,0,3,9,33.3,1,3,33.3,3,4,1,Shaedon Sharpe
Jaylen Nowell,3,5:38,28.7,7,24,1,2,0,3,5,60.0,1,3,33.3,0,0,0,Shaedon Sharpe
Kendrick Nunn,4,4:53,26.3,5,26,1,2,0,2,5,40.0,1,3,33.3,0,0,0,Shaedon Sharpe
Seth Curry,2,4:43,25.3,13,33,0,0,0,5,6,83.3,3,3,100.0,0,0,0,Shaedon Sharpe
Austin Rivers,3,4:39,24.9,3,32,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Shaedon Sharpe
Tim Hardaway Jr.,3,4:26,24.6,8,31,2,0,0,3,7,42.9,2,6,33.3,0,0,0,Shaedon Sharpe
Torrey Craig,3,5:08,24.5,3,28,2,0,0,1,2,50.0,1,2,50.0,0,0,0,Shaedon Sharpe
Tre Jones,3,4:33,23.8,0,18,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Shaedon Sharpe
Josh Richardson,3,5:06,23.3,4,27,2,1,0,1,2,50.0,0,1,0.0,2,2,0,Shaedon Sharpe
Jaden Hardy,3,3:59,21.8,11,31,1,0,0,3,4,75.0,1,2,50.0,4,4,0,Shaedon Sharpe
Russell Westbrook,2,3:29,21.3,3,30,2,1,0,1,4,25.0,1,2,50.0,0,0,0,Shaedon Sharpe
Malik Beasley,3,3:57,21.2,5,19,0,0,0,2,4,50.0,1,2,50.0,0,0,0,Shaedon Sharpe
Jevon Carter,2,3:05,19.4,0,12,2,1,0,0,1,0.0,0,1,0.0,0,0,0,Shaedon Sharpe
Grayson Allen,2,2:47,18.9,0,12,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Shaedon Sharpe
Santi Aldama,2,3:50,18.8,5,15,0,0,0,2,3,66.7,1,1,100.0,0,0,0,Shaedon Sharpe
Reggie Bullock,3,4:03,18.3,0,24,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Shaedon Sharpe
Jalen Green,2,3:34,17.6,0,12,0,0,0,0,5,0.0,0,5,0.0,0,0,0,Shaedon Sharpe
Damion Lee,3,3:29,17.6,6,16,1,0,0,2,3,66.7,2,2,100.0,0,0,0,Shaedon Sharpe
Austin Reaves,2,2:52,17.4,6,15,1,0,0,2,2,100.0,1,1,100.0,1,1,1,Shaedon Sharpe
Spencer Dinwiddie,4,3:36,17.1,3,25,4,0,0,1,1,100.0,1,1,100.0,0,0,0,Shaedon Sharpe
Devin Booker,3,3:14,16.7,8,22,1,1,0,3,11,27.3,1,5,20.0,1,1,1,Shaedon Sharpe
Bennedict Mathurin,2,2:54,16.6,6,20,0,1,0,3,5,60.0,0,1,0.0,0,0,0,Shaedon Sharpe
Malaki Branham,2,2:42,16.3,5,17,1,0,0,2,3,66.7,1,2,50.0,0,0,0,Shaedon Sharpe
Caris LeVert,1,3:17,15.8,0,17,2,1,0,0,1,0.0,0,0,0.0,0,0,0,Shaedon Sharpe
George Hill,1,2:17,14.9,0,19,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Shaedon Sharpe
Ty Jerome,2,2:39,14.9,0,9,3,0,0,0,1,0.0,0,1,0.0,0,0,0,Shaedon Sharpe
Cory Joseph,1,2:41,14.8,2,11,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Shaedon Sharpe
Duncan Robinson,2,2:58,14.4,0,16,3,0,0,0,2,0.0,0,2,0.0,0,0,0,Shaedon Sharpe
Jeremy Sochan,3,2:47,14.2,4,15,1,0,0,1,2,50.0,0,0,0.0,2,2,1,Shaedon Sharpe
Mikal Bridges,3,2:41,14.1,0,15,0,0,0,0,2,0.0,0,0,0.0,0,0,0,Shaedon Sharpe
Kenyon Martin Jr.,2,3:14,13.9,5,7,0,0,0,2,2,100.0,0,0,0.0,1,1,1,Shaedon Sharpe
Theo Pinson,3,2:47,13.8,2,14,2,0,0,1,2,50.0,0,1,0.0,0,0,0,Shaedon Sharpe
Bryn Forbes,1,2:17,13.6,0,14,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Shaedon Sharpe
Jordan Poole,2,2:38,13.6,6,8,0,1,0,3,6,50.0,0,2,0.0,0,0,0,Shaedon Sharpe
Doug McDermott,3,2:36,13.4,6,23,0,0,1,2,7,28.6,2,4,50.0,0,0,0,Shaedon Sharpe
Isaac Okoro,2,3:04,13.3,3,10,0,0,0,1,1,100.0,0,0,0.0,1,1,1,Shaedon Sharpe
Donte DiVincenzo,2,2:57,13.2,3,18,0,1,0,1,3,33.3,1,3,33.3,0,0,0,Shaedon Sharpe
Talen Horton-Tucker,3,2:17,12.8,2,19,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Shaedon Sharpe
Kyle Anderson,3,2:25,12.6,6,15,0,1,0,3,5,60.0,0,0,0.0,0,0,0,Shaedon Sharpe
Corey Kispert,1,2:19,12.1,5,15,0,0,0,2,2,100.0,1,1,100.0,0,0,0,Shaedon Sharpe
Jamal Murray,4,2:04,12.0,2,15,1,0,0,1,3,33.3,0,2,0.0,0,0,0,Shaedon Sharpe
Lamar Stevens,2,2:38,11.5,4,11,0,0,0,1,1,100.0,0,0,0.0,2,2,1,Shaedon Sharpe
Keldon Johnson,3,1:42,11.4,7,15,0,0,0,3,4,75.0,1,1,100.0,0,2,1,Shaedon Sharpe
LeBron James,3,2:07,11.4,16,22,2,0,0,6,6,100.0,4,4,100.0,0,0,0,Shaedon Sharpe
James Bouknight,1,2:16,11.3,0,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Shaedon Sharpe
Landry Shamet,2,2:40,11.3,3,7,0,0,0,1,4,25.0,1,4,25.0,0,0,0,Shaedon Sharpe
Tyrese Maxey,1,2:21,11.2,0,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Shaedon Sharpe
