Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Kentavious Caldwell-Pope,4,22:29,105.8,14,103,3,1,0,5,10,50.0,2,6,33.3,2,2,1,Shai Gilgeous Alexander
RJ Barrett,2,10:44,54.9,5,68,2,2,1,2,8,25.0,1,3,33.3,0,0,0,Shai Gilgeous Alexander
D'Angelo Russell,2,10:18,54.0,17,55,2,1,1,8,13,61.5,1,4,25.0,0,0,0,Shai Gilgeous Alexander
Tim Hardaway Jr.,3,11:03,51.4,8,43,0,0,1,3,11,27.3,2,7,28.6,0,0,0,Shai Gilgeous Alexander
Bruce Brown,4,10:51,51.2,13,64,6,0,0,5,7,71.4,3,3,100.0,0,0,0,Shai Gilgeous Alexander
Dorian Finney-Smith,2,10:08,48.5,3,40,0,0,0,1,7,14.3,1,6,16.7,0,0,0,Shai Gilgeous Alexander
Alex Caruso,2,10:22,47.0,4,38,4,1,1,2,3,66.7,0,0,0.0,0,0,0,Shai Gilgeous Alexander
Jordan Poole,2,7:24,44.7,7,52,7,2,1,2,6,33.3,2,4,50.0,1,2,0,Shai Gilgeous Alexander
Trey Murphy III,2,9:08,44.1,10,45,0,2,0,4,9,44.4,2,5,40.0,0,0,0,Shai Gilgeous Alexander
Dillon Brooks,2,8:06,43.1,12,39,4,0,1,5,14,35.7,2,7,28.6,0,0,0,Shai Gilgeous Alexander
Reggie Bullock,3,9:06,42.3,14,34,0,1,0,4,8,50.0,4,8,50.0,2,2,0,Shai Gilgeous Alexander
Jevon Carter,2,7:50,38.3,15,54,3,2,0,5,8,62.5,4,6,66.7,1,1,1,Shai Gilgeous Alexander
George Hill,2,8:24,36.6,5,44,6,1,1,2,5,40.0,1,1,100.0,0,0,0,Shai Gilgeous Alexander
De'Anthony Melton,2,7:33,36.1,4,34,2,0,0,2,6,33.3,0,3,0.0,0,0,0,Shai Gilgeous Alexander
Herbert Jones,2,7:05,34.9,6,31,0,0,0,2,9,22.2,0,3,0.0,2,4,1,Shai Gilgeous Alexander
Anfernee Simons,2,7:24,34.8,5,25,1,1,2,2,9,22.2,1,7,14.3,0,0,0,Shai Gilgeous Alexander
Monte Morris,2,6:31,34.3,0,27,2,1,0,0,1,0.0,0,1,0.0,0,0,0,Shai Gilgeous Alexander
Eric Gordon,2,7:18,33.9,0,32,1,2,0,0,3,0.0,0,2,0.0,0,2,1,Shai Gilgeous Alexander
Daishen Nix,2,6:39,31.4,6,24,3,1,0,2,5,40.0,0,3,0.0,2,2,1,Shai Gilgeous Alexander
Dejounte Murray,2,6:06,30.7,6,37,2,1,0,3,6,50.0,0,1,0.0,0,0,0,Shai Gilgeous Alexander
Jerami Grant,2,5:51,30.7,11,35,0,2,1,5,7,71.4,0,1,0.0,1,2,0,Shai Gilgeous Alexander
O.G. Anunoby,1,5:33,29.0,4,29,0,2,1,2,6,33.3,0,1,0.0,0,0,0,Shai Gilgeous Alexander
AJ Griffin,2,4:16,28.7,0,28,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Shai Gilgeous Alexander
Andrew Wiggins,2,5:44,28.4,4,44,1,0,0,2,3,66.7,0,1,0.0,0,0,0,Shai Gilgeous Alexander
Caris LeVert,2,6:30,27.7,4,31,2,0,0,2,7,28.6,0,2,0.0,0,0,0,Shai Gilgeous Alexander
Josh Hart,2,6:04,26.8,4,37,4,0,0,2,5,40.0,0,0,0.0,0,0,0,Shai Gilgeous Alexander
Jaden Ivey,1,5:37,26.5,5,25,0,0,1,2,6,33.3,1,4,25.0,0,0,0,Shai Gilgeous Alexander
Jaylen Nowell,3,4:59,26.4,2,15,0,1,1,1,8,12.5,0,1,0.0,0,0,0,Shai Gilgeous Alexander
Terance Mann,2,4:17,26.3,2,29,0,2,0,1,1,100.0,0,0,0.0,0,0,0,Shai Gilgeous Alexander
Ayo Dosunmu,2,4:54,26.1,3,29,2,0,0,1,2,50.0,0,1,0.0,1,1,1,Shai Gilgeous Alexander
Anthony Edwards,3,4:19,26.0,16,39,2,0,0,7,12,58.3,2,2,100.0,0,0,0,Shai Gilgeous Alexander
Rui Hachimura,3,5:07,26.0,7,29,3,0,1,2,4,50.0,0,0,0.0,3,3,2,Shai Gilgeous Alexander
Reggie Jackson,2,4:58,25.8,7,21,2,2,0,3,4,75.0,1,2,50.0,0,0,0,Shai Gilgeous Alexander
Austin Rivers,3,4:34,25.5,0,28,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Shai Gilgeous Alexander
Marcus Smart,1,4:47,25.4,3,17,2,1,0,1,2,50.0,0,0,0.0,1,2,1,Shai Gilgeous Alexander
Isaac Okoro,2,5:50,24.9,5,22,1,1,0,2,5,40.0,1,4,25.0,0,0,0,Shai Gilgeous Alexander
Dennis Schroder,1,4:06,24.7,2,23,1,1,0,1,2,50.0,0,1,0.0,0,0,0,Shai Gilgeous Alexander
Markelle Fultz,1,4:34,24.5,9,30,1,3,0,4,6,66.7,0,0,0.0,1,2,0,Shai Gilgeous Alexander
Terry Rozier,1,4:21,24.1,4,32,2,2,0,2,5,40.0,0,1,0.0,0,0,0,Shai Gilgeous Alexander
David Roddy,2,4:49,24.0,6,24,0,1,0,2,5,40.0,2,5,40.0,0,0,0,Shai Gilgeous Alexander
Aaron Gordon,4,4:12,23.5,6,24,2,1,0,2,3,66.7,1,1,100.0,1,2,0,Shai Gilgeous Alexander
Kyle Lowry,1,5:35,23.5,0,14,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Shai Gilgeous Alexander
MarJon Beauchamp,2,4:56,23.4,9,31,0,0,1,3,5,60.0,3,4,75.0,0,0,0,Shai Gilgeous Alexander
Jamal Murray,3,4:40,23.2,11,29,2,0,0,5,7,71.4,1,1,100.0,0,0,0,Shai Gilgeous Alexander
John Konchar,2,5:18,23.2,10,28,0,0,0,4,5,80.0,2,3,66.7,0,0,0,Shai Gilgeous Alexander
Kyle Anderson,3,3:12,23.0,2,29,2,0,0,1,2,50.0,0,0,0.0,0,0,0,Shai Gilgeous Alexander
Bol Bol,1,4:01,22.8,4,26,0,5,0,1,1,100.0,0,0,0.0,2,2,1,Shai Gilgeous Alexander
Jaden McDaniels,3,4:02,22.7,8,21,0,1,0,2,5,40.0,1,3,33.3,3,4,1,Shai Gilgeous Alexander
Lamar Stevens,2,4:28,22.0,0,14,0,0,1,0,2,0.0,0,1,0.0,0,0,0,Shai Gilgeous Alexander
Gabe Vincent,1,4:20,21.9,2,14,1,2,0,1,6,16.7,0,3,0.0,0,0,0,Shai Gilgeous Alexander
