Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Josh Green,1,1:26,7.6,0,3,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Ish Wainright,1,1:29,7.2,0,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Moses Moody,2,1:06,5.5,0,3,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Jonathan Kuminga,2,1:15,5.2,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Kessler Edwards,1,1:16,4.4,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Frank Ntilikina,1,0:46,4.3,0,2,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Isaiah Livers,1,0:22,3.5,0,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Jarrett Culver,1,0:55,3.4,2,5,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Derrick Jones Jr.,1,0:26,3.3,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Javonte Green,1,0:25,2.7,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Josh Okogie,1,0:35,2.5,0,4,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Jaden Hardy,1,0:32,2.3,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Ryan Rollins,1,0:35,2.3,0,3,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Theo Maledon,1,0:11,2.0,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Aaron Holiday,2,0:31,1.9,2,2,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Vit Krejci,2,0:24,1.8,0,6,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Ayo Dosunmu,1,0:09,1.7,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Anthony Lamb,1,0:20,1.7,0,0,0,1,0,0,0,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Justin Holiday,1,0:23,1.7,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Cory Joseph,1,0:21,1.4,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Buddy Boeheim,1,0:04,1.2,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Davis Bertans,1,0:10,1.2,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Hamidou Diallo,1,0:11,1.1,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Rodney McGruder,1,0:02,1.0,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Dwight Powell,1,0:09,1.0,0,3,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Bryce McGowens,1,0:15,1.0,0,2,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Cam Thomas,1,0:16,1.0,2,2,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Jalen Duren,1,0:05,1.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Kai Jones,1,0:06,1.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Braxton Key,1,0:15,1.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
James Bouknight,1,0:13,0.9,1,1,0,0,0,0,0,0.0,0,0,0.0,1,2,1,Svi Mykhailiuk
Nathan Knight,1,0:04,0.8,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Killian Hayes,1,0:08,0.8,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Landry Shamet,1,0:07,0.8,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
Damion Lee,1,0:12,0.8,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
David Duke Jr.,1,0:06,0.6,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Svi Mykhailiuk
