Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Anfernee Simons,3,5:27,30.0,21,45,6,0,0,7,13,53.8,4,8,50.0,3,3,2,Talen Horton Tucker
Kevin Porter Jr.,3,5:47,27.8,10,36,2,2,0,3,6,50.0,2,5,40.0,2,2,1,Talen Horton Tucker
Jaylen Nowell,4,3:57,25.1,17,36,2,0,0,6,8,75.0,3,5,60.0,2,3,2,Talen Horton Tucker
Kentavious Caldwell-Pope,1,4:27,20.2,5,23,0,0,0,2,2,100.0,1,1,100.0,0,0,0,Talen Horton Tucker
Justise Winslow,2,3:41,20.1,0,36,1,1,0,0,0,0.0,0,0,0.0,0,0,0,Talen Horton Tucker
Russell Westbrook,2,4:07,20.0,13,20,1,0,0,5,6,83.3,3,4,75.0,0,0,0,Talen Horton Tucker
Christian Braun,2,4:35,19.4,0,17,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Talen Horton Tucker
Bruce Brown,3,4:51,18.6,0,22,0,1,1,0,3,0.0,0,2,0.0,0,0,0,Talen Horton Tucker
Garrison Mathews,2,3:41,18.6,6,18,0,0,0,2,4,50.0,2,4,50.0,0,0,0,Talen Horton Tucker
Damian Lillard,2,3:42,18.3,0,7,1,1,0,0,5,0.0,0,4,0.0,0,0,0,Talen Horton Tucker
Tyrese Maxey,2,4:08,18.1,3,28,0,1,0,1,2,50.0,1,1,100.0,0,0,0,Talen Horton Tucker
Michael Porter Jr.,2,2:57,17.2,7,26,0,0,0,3,3,100.0,1,1,100.0,0,0,0,Talen Horton Tucker
Daishen Nix,2,2:38,16.1,0,13,1,1,0,0,2,0.0,0,2,0.0,0,0,0,Talen Horton Tucker
Jaden McDaniels,4,2:37,16.1,2,27,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Talen Horton Tucker
Norman Powell,2,2:59,16.1,2,9,0,0,0,0,2,0.0,0,2,0.0,2,2,0,Talen Horton Tucker
John Wall,2,2:36,15.5,4,8,1,2,0,2,2,100.0,0,0,0.0,0,2,1,Talen Horton Tucker
Caris LeVert,1,2:59,15.1,3,11,0,0,0,1,3,33.3,1,1,100.0,0,0,0,Talen Horton Tucker
Dejounte Murray,1,2:27,14.9,0,7,2,1,0,0,0,0.0,0,0,0.0,0,0,0,Talen Horton Tucker
Tari Eason,3,2:42,14.4,4,7,0,1,2,1,5,20.0,0,1,0.0,2,3,2,Talen Horton Tucker
Zach LaVine,2,2:55,14.3,6,11,0,0,0,2,4,50.0,0,2,0.0,2,2,1,Talen Horton Tucker
Duane Washington Jr.,2,2:53,14.0,2,17,0,0,0,1,3,33.3,0,1,0.0,0,0,0,Talen Horton Tucker
Dennis Smith Jr.,1,2:41,13.5,4,7,0,0,0,2,2,100.0,0,0,0.0,0,0,0,Talen Horton Tucker
Jordan McLaughlin,3,2:28,13.0,0,15,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Talen Horton Tucker
Reggie Jackson,1,2:54,12.7,3,11,0,0,0,1,2,50.0,0,1,0.0,1,1,1,Talen Horton Tucker
Matt Ryan,3,2:05,12.3,0,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Talen Horton Tucker
Tyrese Haliburton,1,2:29,12.3,3,7,0,2,0,1,2,50.0,1,1,100.0,0,0,0,Talen Horton Tucker
