Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Eric Gordon,4,9:52,47.8,8,52,5,1,0,3,3,100.0,2,2,100.0,0,0,0,Terence Davis
Bennedict Mathurin,2,5:57,33.9,12,32,0,0,1,5,9,55.6,0,0,0.0,2,2,1,Terence Davis
Jalen Green,4,5:24,28.5,7,36,0,0,1,3,7,42.9,1,3,33.3,0,0,0,Terence Davis
Jae'Sean Tate,4,4:19,20.0,4,16,0,2,0,2,3,66.7,0,1,0.0,0,0,0,Terence Davis
Klay Thompson,3,3:43,19.3,3,12,0,1,0,1,5,20.0,1,4,25.0,0,0,0,Terence Davis
Devin Vassell,1,3:35,18.2,6,6,1,1,0,2,3,66.7,1,2,50.0,1,2,1,Terence Davis
Jordan Poole,3,3:47,18.2,2,15,3,1,0,1,1,100.0,0,0,0.0,0,0,0,Terence Davis
Alec Burks,2,3:58,18.1,5,19,0,2,0,0,3,0.0,0,1,0.0,5,5,2,Terence Davis
Lonnie Walker IV,2,2:45,16.5,7,17,0,1,0,3,3,100.0,1,1,100.0,0,0,0,Terence Davis
Stephen Curry,3,2:59,16.3,7,17,0,0,0,2,4,50.0,0,2,0.0,3,3,1,Terence Davis
Kenyon Martin Jr.,4,3:00,15.9,7,26,0,0,0,2,4,50.0,2,3,66.7,1,2,1,Terence Davis
Russell Westbrook,2,3:21,15.8,7,16,3,0,0,3,3,100.0,1,1,100.0,0,0,0,Terence Davis
Desmond Bane,1,3:33,15.1,6,18,0,0,0,2,2,100.0,2,2,100.0,0,0,0,Terence Davis
Royce O'Neale,1,2:34,13.2,0,9,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Terence Davis
Andrew Wiggins,3,2:30,13.2,0,16,0,1,0,0,1,0.0,0,1,0.0,0,0,0,Terence Davis
Donte DiVincenzo,2,2:23,12.8,2,21,1,0,0,0,2,0.0,0,2,0.0,2,2,1,Terence Davis
Gary Trent Jr.,1,3:03,12.8,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Terence Davis
Buddy Hield,2,2:21,12.7,5,10,0,0,0,2,3,66.7,1,1,100.0,0,0,0,Terence Davis
Garrison Mathews,2,2:02,12.6,3,8,0,0,0,1,3,33.3,1,3,33.3,0,0,0,Terence Davis
Jerami Grant,1,2:28,12.4,3,11,0,0,0,1,4,25.0,0,0,0.0,1,2,1,Terence Davis
Josh Hart,1,2:21,12.2,2,17,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Terence Davis
Jabari Smith Jr.,4,1:48,11.5,2,18,1,0,0,1,1,100.0,0,0,0.0,0,0,0,Terence Davis
Robert Covington,2,2:22,11.5,2,13,0,0,0,1,3,33.3,0,1,0.0,0,0,0,Terence Davis
Tyus Jones,2,1:50,11.0,3,9,2,0,0,1,1,100.0,1,1,100.0,0,0,0,Terence Davis
Damian Lillard,1,2:51,10.8,0,3,0,2,0,0,0,0.0,0,0,0.0,0,0,0,Terence Davis
Gordon Hayward,2,1:43,9.7,4,12,0,0,0,1,1,100.0,0,0,0.0,2,2,1,Terence Davis
Kelly Oubre Jr.,2,2:05,9.3,6,7,0,1,0,3,5,60.0,0,2,0.0,0,0,0,Terence Davis
Keldon Johnson,2,1:51,9.2,3,10,1,1,0,1,2,50.0,1,1,100.0,0,0,0,Terence Davis
Moses Moody,2,1:42,9.2,0,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Terence Davis
Trey Murphy III,1,2:07,8.9,5,8,0,0,0,1,2,50.0,1,2,50.0,2,2,1,Terence Davis
Alperen Sengun,4,1:43,8.9,2,15,1,0,0,1,3,33.3,0,0,0.0,0,0,0,Terence Davis
Malaki Branham,2,1:47,8.2,0,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Terence Davis
David Roddy,3,1:16,8.2,0,5,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Terence Davis
Taurean Prince,1,1:24,8.0,3,8,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Terence Davis
Max Christie,3,1:28,7.9,3,11,1,0,0,1,2,50.0,1,2,50.0,0,0,0,Terence Davis
Jalen Suggs,1,1:26,7.8,2,8,0,0,0,1,2,50.0,0,1,0.0,0,0,0,Terence Davis
Dejounte Murray,1,1:19,7.7,0,8,1,0,0,0,1,0.0,0,0,0.0,0,0,0,Terence Davis
Chuma Okeke,1,1:12,7.7,0,10,0,0,0,0,1,0.0,0,1,0.0,0,0,0,Terence Davis
Fred VanVleet,1,1:19,7.7,6,12,0,0,0,2,3,66.7,0,0,0.0,2,2,1,Terence Davis
Edmond Sumner,1,1:10,7.6,0,12,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Terence Davis
Dennis Schroder,2,1:20,7.3,6,9,0,0,0,2,4,50.0,0,0,0.0,2,2,0,Terence Davis
Tyrese Haliburton,2,1:32,7.3,0,4,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Terence Davis
Joe Harris,1,1:33,7.2,0,4,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Terence Davis
Damion Lee,1,1:37,7.2,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Terence Davis
Tyler Herro,2,1:14,7.2,8,16,0,0,0,3,3,100.0,2,2,100.0,0,0,0,Terence Davis
D'Angelo Russell,1,1:29,7.2,2,4,0,0,0,1,1,100.0,0,0,0.0,0,2,1,Terence Davis
Tari Eason,2,1:03,7.2,2,9,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Terence Davis
Kevin Knox II,1,1:21,7.1,4,9,0,0,0,2,4,50.0,0,0,0.0,0,0,0,Terence Davis
Aaron Nesmith,2,1:00,7.1,0,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Terence Davis
Kendrick Nunn,2,1:24,7.0,0,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Terence Davis
