Match Up,GP,MATCHUP MIN,PARTIAL POSS,PTS,TEAM PTS,AST,TOV,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,SFL,Player
Gary Trent Jr.,3,12:15,58.2,6,55,2,2,0,3,9,33.3,0,4,0.0,0,0,0,Terrence Ross
Derrick White,3,9:04,45.7,15,48,3,0,0,5,11,45.5,2,5,40.0,3,3,2,Terrence Ross
De'Andre Hunter,3,8:56,44.8,11,54,1,1,0,4,9,44.4,2,3,66.7,1,1,1,Terrence Ross
AJ Griffin,3,8:34,39.8,9,49,0,1,0,4,4,100.0,1,1,100.0,0,0,0,Terrence Ross
Justin Holiday,2,7:54,37.3,3,34,1,0,0,1,1,100.0,1,1,100.0,0,0,0,Terrence Ross
Reggie Bullock,2,7:52,35.7,0,36,0,0,0,0,2,0.0,0,1,0.0,0,0,0,Terrence Ross
Evan Fournier,1,7:21,34.1,3,46,1,0,0,1,6,16.7,1,6,16.7,0,0,0,Terrence Ross
Sam Hauser,3,6:04,31.5,0,28,0,0,0,0,3,0.0,0,3,0.0,0,0,0,Terrence Ross
Saddiq Bey,1,7:03,30.7,2,30,1,1,0,0,1,0.0,0,0,0.0,2,2,1,Terrence Ross
Tim Hardaway Jr.,2,5:53,29.7,10,23,1,0,0,4,8,50.0,2,5,40.0,0,0,0,Terrence Ross
Corey Kispert,2,5:53,29.2,3,32,0,0,0,1,3,33.3,1,2,50.0,0,0,0,Terrence Ross
Kelly Oubre Jr.,2,6:12,28.0,9,28,0,1,1,4,7,57.1,1,3,33.3,0,0,0,Terrence Ross
Bennedict Mathurin,2,4:48,27.7,5,31,0,1,0,2,4,50.0,1,2,50.0,0,0,0,Terrence Ross
Marcus Smart,3,5:11,26.0,2,31,3,0,0,1,3,33.3,0,2,0.0,0,0,0,Terrence Ross
Malik Monk,2,3:43,24.1,2,32,4,0,0,1,1,100.0,0,0,0.0,0,0,0,Terrence Ross
Trent Forrest,2,4:11,21.4,4,22,0,0,0,2,3,66.7,0,1,0.0,0,0,0,Terrence Ross
Dean Wade,2,5:25,21.4,0,16,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Terrence Ross
Deni Avdija,2,3:50,21.1,0,24,0,0,0,0,1,0.0,0,0,0.0,0,0,0,Terrence Ross
Caris LeVert,2,3:45,20.8,3,23,3,1,0,1,2,50.0,1,2,50.0,0,0,0,Terrence Ross
Aaron Nesmith,2,4:27,20.6,6,28,0,0,0,2,3,66.7,2,3,66.7,0,0,0,Terrence Ross
Cedi Osman,2,4:33,20.2,2,22,1,0,0,1,2,50.0,0,0,0.0,0,0,0,Terrence Ross
Donte DiVincenzo,1,4:01,19.7,9,19,0,1,0,3,3,100.0,3,3,100.0,0,0,0,Terrence Ross
Chris Boucher,3,4:09,19.7,3,31,0,0,0,1,3,33.3,1,2,50.0,0,0,0,Terrence Ross
Kenyon Martin Jr.,2,3:42,19.4,2,11,1,0,0,0,2,0.0,0,2,0.0,2,2,0,Terrence Ross
Bogdan Bogdanovic,2,2:47,18.2,2,33,0,0,0,1,2,50.0,0,0,0.0,0,0,0,Terrence Ross
Tari Eason,2,4:05,17.7,0,21,0,2,1,0,3,0.0,0,0,0.0,0,0,0,Terrence Ross
Mikal Bridges,1,3:52,16.3,0,11,0,0,0,0,2,0.0,0,2,0.0,0,0,0,Terrence Ross
Jaylen Brown,3,2:55,16.0,0,11,2,0,0,0,5,0.0,0,3,0.0,0,0,0,Terrence Ross
Trey Murphy III,1,3:03,14.8,0,15,0,0,0,0,0,0.0,0,0,0.0,0,0,0,Terrence Ross
Monte Morris,2,2:39,14.2,4,20,3,0,0,2,2,100.0,0,0,0.0,0,0,0,Terrence Ross
Jayson Tatum,2,2:29,14.1,5,24,0,1,0,2,3,66.7,1,2,50.0,0,0,0,Terrence Ross
Malik Beasley,1,2:54,13.9,3,9,0,1,0,1,4,25.0,1,4,25.0,0,0,0,Terrence Ross
Eric Gordon,2,2:33,13.8,3,9,2,0,0,1,2,50.0,1,2,50.0,0,0,0,Terrence Ross
James Bouknight,2,3:10,13.5,0,5,0,0,0,0,2,0.0,0,0,0.0,0,0,0,Terrence Ross
Tyus Jones,1,2:04,13.4,4,15,2,0,0,1,2,50.0,0,1,0.0,2,2,1,Terrence Ross
Fred VanVleet,3,2:05,13.4,6,21,1,1,0,1,1,100.0,0,0,0.0,4,5,2,Terrence Ross
Kyle Kuzma,2,2:23,13.1,0,8,0,1,0,0,3,0.0,0,2,0.0,0,0,0,Terrence Ross
Damion Lee,1,2:53,12.8,0,16,1,0,0,0,0,0.0,0,0,0.0,0,0,0,Terrence Ross
Taurean Prince,1,2:11,12.8,0,15,1,0,0,0,1,0.0,0,1,0.0,0,0,0,Terrence Ross
Garrison Mathews,1,3:11,12.8,3,16,0,0,0,1,1,100.0,1,1,100.0,0,0,0,Terrence Ross
Ziaire Williams,1,2:18,12.7,7,23,0,1,0,3,3,100.0,1,1,100.0,0,0,0,Terrence Ross
Isaiah Joe,1,2:11,12.6,6,17,0,0,0,2,3,66.7,2,3,66.7,0,0,0,Terrence Ross
Donovan Mitchell,2,2:35,12.6,10,28,3,1,0,3,4,75.0,3,3,100.0,1,2,0,Terrence Ross
O.G. Anunoby,2,1:54,12.5,2,10,0,0,0,0,1,0.0,0,0,0.0,2,2,0,Terrence Ross
Christian Braun,1,2:19,11.5,2,13,0,0,0,1,1,100.0,0,0,0.0,0,0,0,Terrence Ross
Dejounte Murray,3,1:31,11.2,0,11,1,1,0,0,2,0.0,0,1,0.0,0,0,0,Terrence Ross
Cade Cunningham,1,1:58,11.0,3,15,3,0,0,1,4,25.0,1,2,50.0,0,0,0,Terrence Ross
Austin Reaves,1,2:21,10.6,3,9,0,0,0,1,2,50.0,1,2,50.0,0,0,0,Terrence Ross
Luguentz Dort,2,1:56,10.3,5,12,1,1,0,1,2,50.0,1,1,100.0,2,2,1,Terrence Ross
Oshae Brissett,2,1:59,10.2,2,13,0,0,1,1,3,33.3,0,1,0.0,0,0,0,Terrence Ross
